S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	720	720	1	pa_ill_pa_contig35	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	266935	1330	268265	pa_ill_pa_contig6	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	379476	268266	pa_ill_pa_contig20	contig_151	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	384873	379477	pa_ill_pa_contig45	contig_151	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	384874	503575	pa_ill_pa_contig19	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	503576	504067	pa_ill_pa_contig80	contig_151	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	505304	504068	pa_ill_pa_contig65	contig_151	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	506194	505305	pa_ill_pa_contig71	contig_151	98.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	506195	506841	pa_ill_pa_contig8	contig_151	99.05		True
translocation
1	23992	506842	530833	pa_ill_pa_contig40	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	530834	532191	pa_ill_pa_contig62	contig_151	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	532192	588873	pa_ill_pa_contig30	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	588874	589690	pa_ill_pa_contig73	contig_151	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	794574	589691	pa_ill_pa_contig12	contig_151	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	794575	795956	pa_ill_pa_contig61	contig_151	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	795957	902754	pa_ill_pa_contig21	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	903902	902755	pa_ill_pa_contig64	contig_151	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	903903	938231	pa_ill_pa_contig15	contig_151	99.86		True
local misassembly
34236	173697	938232	1077770	pa_ill_pa_contig15	contig_151	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	1077771	1078405	pa_ill_pa_contig76	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	1079548	1078521	pa_ill_pa_contig68	contig_151	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	1080307	1080898	pa_ill_pa_contig77	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	1080899	1081588	pa_ill_pa_contig76	contig_151	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	1082676	1081704	pa_ill_pa_contig68	contig_151	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	1084282	1082677	pa_ill_pa_contig59	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	1084283	1085909	pa_ill_pa_contig58	contig_151	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	1085910	1090880	pa_ill_pa_contig46	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	1090881	1092452	pa_ill_pa_contig58	contig_151	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	1092453	1095690	pa_ill_pa_contig50	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1095691	1096434	pa_ill_pa_contig75	contig_151	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	1103271	1097124	pa_ill_pa_contig43	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1103272	1104015	pa_ill_pa_contig75	contig_151	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	1104705	1173037	pa_ill_pa_contig28	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	1173038	1173912	pa_ill_pa_contig69	contig_151	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	1204680	1173913	pa_ill_pa_contig38	contig_151	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1207113	1204681	pa_ill_pa_contig48	contig_151	99.44		True
local misassembly
56	1079	1208292	1207269	pa_ill_pa_contig48	contig_151	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	1208293	1214882	pa_ill_pa_contig42	contig_151	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	1217836	1214883	pa_ill_pa_contig51	contig_151	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	1217837	1244631	pa_ill_pa_contig39	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1245124	1244632	pa_ill_pa_contig79	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	1503695	1245125	pa_ill_pa_contig8	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	1503696	1504529	pa_ill_pa_contig71	contig_151	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1504530	1505766	pa_ill_pa_contig65	contig_151	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1506258	1505767	pa_ill_pa_contig80	contig_151	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	1506259	1697585	pa_ill_pa_contig13	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	1698711	1697586	pa_ill_pa_contig67	contig_151	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	1698712	1785108	pa_ill_pa_contig25	contig_151	100.0		True
translocation
161	249467	1785109	2034418	pa_ill_pa_contig9	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	2037313	2034783	pa_ill_pa_contig53	contig_151	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	2038369	2037441	pa_ill_pa_contig72	contig_151	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2038882	2038370	pa_ill_pa_contig78	contig_151	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2038883	2042662	pa_ill_pa_contig47	contig_151	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2043091	2042663	pa_ill_pa_contig84	contig_151	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	2164161	2043092	pa_ill_pa_contig17	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	2164423	2220429	pa_ill_pa_contig32	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	2221577	2220430	pa_ill_pa_contig64	contig_151	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	2516744	2221578	pa_ill_pa_contig2	contig_151	100.0		True
local misassembly
1	247083	2763829	2516745	pa_ill_pa_contig2	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2763830	2764258	pa_ill_pa_contig84	contig_151	98.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2768032	2764259	pa_ill_pa_contig47	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2768033	2768545	pa_ill_pa_contig78	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	2768546	2769475	pa_ill_pa_contig72	contig_151	98.39		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	2769603	2772151	pa_ill_pa_contig52	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	3176825	2772510	pa_ill_pa_contig4	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	3176826	3178183	pa_ill_pa_contig62	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	3178184	3300652	pa_ill_pa_contig16	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	3354339	3301067	pa_ill_pa_contig33	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	3354832	3354340	pa_ill_pa_contig79	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	3390006	3354833	pa_ill_pa_contig26	contig_151	99.99		True
local misassembly
1	41228	3431234	3390007	pa_ill_pa_contig26	contig_151	100.0		True
translocation
56	770	3431943	3431235	pa_ill_pa_contig20	contig_151	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	3437395	3431944	pa_ill_pa_contig45	contig_151	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	3437396	3505808	pa_ill_pa_contig27	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	3511412	3505809	pa_ill_pa_contig44	contig_151	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	3599407	3511413	pa_ill_pa_contig24	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	3599408	3600494	pa_ill_pa_contig67	contig_151	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	3600495	3895082	pa_ill_pa_contig5	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	3895083	3895899	pa_ill_pa_contig73	contig_151	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	35776	3895900	3931674	pa_ill_pa_contig37	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3934695	3932544	pa_ill_pa_contig55	contig_151	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3934696	4167263	pa_ill_pa_contig10	contig_151	99.99		True
translocation
129	1718	4167264	4168853	pa_ill_pa_contig57	contig_151	100.0		True
translocation
232388	237415	4168854	4173880	pa_ill_pa_contig10	contig_151	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	4176313	4173881	pa_ill_pa_contig48	contig_151	99.6		True
local misassembly
1	1079	4177547	4176469	pa_ill_pa_contig48	contig_151	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	4177548	4178393	pa_ill_pa_contig70	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	4181402	4178394	pa_ill_pa_contig51	contig_151	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	4299310	4181403	pa_ill_pa_contig11	contig_151	99.99		True
local misassembly
1	92856	4392167	4299311	pa_ill_pa_contig11	contig_151	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	4392168	4393042	pa_ill_pa_contig69	contig_151	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	4393043	4442013	pa_ill_pa_contig34	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	4442014	4447616	pa_ill_pa_contig44	contig_151	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	4553941	4447617	pa_ill_pa_contig22	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	4644469	4554317	pa_ill_pa_contig23	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	4644470	4645556	pa_ill_pa_contig67	contig_151	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	4645557	5111209	pa_ill_pa_contig3	contig_151	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	5111210	5113668	pa_ill_pa_contig54	contig_151	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	5114119	5113669	pa_ill_pa_contig83	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	5114120	5114987	pa_ill_pa_contig74	contig_151	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	5115791	5234795	pa_ill_pa_contig18	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	5234796	5240453	pa_ill_pa_contig44	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	5240454	5241291	pa_ill_pa_contig63	contig_151	100.0		True
translocation
56	1405	5242641	5241292	pa_ill_pa_contig12	contig_151	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1437	5242642	5244078	pa_ill_pa_contig61	contig_151	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21904	5244079	5265982	pa_ill_pa_contig41	contig_151	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	868	5267510	5266637	pa_ill_pa_contig74	contig_151	98.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	5267511	5267961	pa_ill_pa_contig83	contig_151	95.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
