S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102691	ec_ill_ec_contig2	contig_95	99.99		True
local misassembly
310191	312944	102692	105445	ec_ill_ec_contig2	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303806	105535	ec_ill_ec_contig4	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306778	303807	ec_ill_ec_contig65	contig_95	99.93		True
local misassembly
1	1463	308639	307176	ec_ill_ec_contig65	contig_95	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309006	346306	ec_ill_ec_contig39	contig_95	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346402	346730	ec_ill_ec_contig104	contig_95	91.19		True
indel: indel (> 5bp)
384	502	346731	346849	ec_ill_ec_contig104	contig_95	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346922	392230	ec_ill_ec_contig15	contig_95	99.94		True
local misassembly
45064	105217	392245	452397	ec_ill_ec_contig15	contig_95	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452398	453630	ec_ill_ec_contig79	contig_95	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453631	514049	ec_ill_ec_contig31	contig_95	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514237	857477	ec_ill_ec_contig1	contig_95	99.99		True
local misassembly
343563	393863	857478	907780	ec_ill_ec_contig1	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980741	907781	ec_ill_ec_contig16	contig_95	99.99		True
local misassembly
1	31383	1012127	980742	ec_ill_ec_contig16	contig_95	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015155	1012129	ec_ill_ec_contig65	contig_95	99.93		True
local misassembly
1	1463	1017022	1015559	ec_ill_ec_contig65	contig_95	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058570	1017293	ec_ill_ec_contig37	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059490	1058571	ec_ill_ec_contig83	contig_95	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059491	1206991	ec_ill_ec_contig7	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206992	1208915	ec_ill_ec_contig73	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209477	1208916	ec_ill_ec_contig91	contig_95	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209478	1210122	ec_ill_ec_contig94	contig_95	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210376	1212104	ec_ill_ec_contig75	contig_95	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212553	1213038	ec_ill_ec_contig104	contig_95	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1221011	1213106	ec_ill_ec_contig60	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222133	1221012	ec_ill_ec_contig80	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222134	1315534	ec_ill_ec_contig20	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315535	1317458	ec_ill_ec_contig73	contig_95	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1318020	1317459	ec_ill_ec_contig91	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1318021	1318645	ec_ill_ec_contig94	contig_95	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318646	1390495	ec_ill_ec_contig25	contig_95	99.94		True
local misassembly [fragmentation of reference genome]
1	5324	1395927	1390603	ec_ill_ec_contig64	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396210	1412282	ec_ill_ec_contig53	contig_95	99.96		True
translocation
26703	27345	1412283	1412924	ec_ill_ec_contig46	contig_95	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412925	1413379	ec_ill_ec_contig101	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415961	1413380	ec_ill_ec_contig70	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416244	1418668	ec_ill_ec_contig72	contig_95	100.0		True
translocation
4875	5324	1418669	1419118	ec_ill_ec_contig64	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419831	1419221	ec_ill_ec_contig25	contig_95	97.25		True
translocation
1	22687	1442523	1419832	ec_ill_ec_contig48	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442524	1443083	ec_ill_ec_contig92	contig_95	99.55		True
