S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
52883	53273	49756	50146	pa_ill_pa_contig33	contig_165	91.6		False
2771	3517	49806	50552	pa_ill_pa_contig6	contig_165	94.65		False
55609	56418	50568	49759	pa_ill_pa_contig20	contig_165	92.74		False
46745	46820	555315	555390	pa_ill_pa_contig33	contig_165	98.68		False
1578	1661	1128692	1128609	pa_ill_pa_contig59	contig_165	90.48		False
3591	3857	1128866	1129132	pa_ill_pa_contig46	contig_165	91.76		False
1136	1458	1129134	1128812	pa_ill_pa_contig59	contig_165	96.28		False
947	1065	1129323	1129205	pa_ill_pa_contig59	contig_165	94.12		False
4046	4212	1129320	1129486	pa_ill_pa_contig46	contig_165	95.81		False
710	945	1129559	1129324	pa_ill_pa_contig59	contig_165	92.37		False
25910	26592	1222344	1223029	pa_ill_pa_contig14	contig_165	90.39		False
1	2549	2086320	2083790	pa_ill_pa_contig52	contig_165	93.19		False
1	3774	2087888	2091665	pa_ill_pa_contig47	contig_165	90.12		False
401	476	2213099	2213174	pa_ill_pa_contig9	contig_165	100.0		False
99	178	2213217	2213296	pa_ill_pa_contig32	contig_165	98.75		False
401	477	2213390	2213466	pa_ill_pa_contig9	contig_165	100.0		False
1	2531	2818526	2821074	pa_ill_pa_contig53	contig_165	93.34		False
55696	56158	3349578	3350040	pa_ill_pa_contig20	contig_165	95.25		False
2820	3940	3350204	3349084	pa_ill_pa_contig6	contig_165	90.51		False
1	77	3980663	3980587	pa_ill_pa_contig22	contig_165	98.7		False
46729	47071	3980321	3980663	pa_ill_pa_contig35	contig_165	97.67		False
25874	26153	4441090	4441369	pa_ill_pa_contig14	contig_165	92.5		False
26159	26292	4441375	4441508	pa_ill_pa_contig14	contig_165	93.28		False
106243	106324	5289173	5289092	pa_ill_pa_contig22	contig_165	100.0		False
1	82	5289092	5289173	pa_ill_pa_contig29	contig_165	98.78		False
68330	68413	5289175	5289092	pa_ill_pa_contig27	contig_165	98.81		False
1099	1184	5375405	5375320	pa_ill_pa_contig31	contig_165	91.86		False
1	124	5375301	5375424	pa_ill_pa_contig14	contig_165	92.74		False
354	504	5375424	5375274	pa_ill_pa_contig31	contig_165	90.73		False
1	420	5375058	5375477	pa_ill_pa_contig14	contig_165	90.71		False
117	348	5375658	5375427	pa_ill_pa_contig31	contig_165	90.52		False
216	367	5375513	5375664	pa_ill_pa_contig14	contig_165	90.13		False
12	334	5375552	5375874	pa_ill_pa_contig14	contig_165	94.43		False
6	131	5375789	5375914	pa_ill_pa_contig14	contig_165	93.65		False
590	763	5375914	5375741	pa_ill_pa_contig31	contig_165	93.1		False
1105	1184	5376125	5376046	pa_ill_pa_contig31	contig_165	92.5		False
136	749	5376125	5375512	pa_ill_pa_contig31	contig_165	90.6		False
144	420	5375927	5376203	pa_ill_pa_contig14	contig_165	90.25		False
419	580	5376325	5376164	pa_ill_pa_contig31	contig_165	91.36		False
176	337	5376325	5376164	pa_ill_pa_contig31	contig_165	91.36		False
1	124	5376510	5376633	pa_ill_pa_contig14	contig_165	90.32		False
1105	1184	5376848	5376769	pa_ill_pa_contig31	contig_165	90.0		False
104	348	5377120	5376876	pa_ill_pa_contig31	contig_165	91.43		False
509	749	5377201	5376961	pa_ill_pa_contig31	contig_165	93.78		False
266	591	5377201	5376876	pa_ill_pa_contig31	contig_165	91.72		False
141	261	5377326	5377206	pa_ill_pa_contig31	contig_165	93.39		False
104	348	5377603	5377359	pa_ill_pa_contig31	contig_165	91.02		False
266	591	5377684	5377359	pa_ill_pa_contig31	contig_165	91.41		False
292	749	5377898	5377444	pa_ill_pa_contig31	contig_165	90.63		False
3381	3503	5831374	5831252	pa_ill_pa_contig49	contig_165	91.87		False
264591	265097	5832629	5833135	pa_ill_pa_contig7	contig_165	93.14		False
264617	265097	5836538	5837018	pa_ill_pa_contig7	contig_165	92.36		False
1	2207	3	2209	pa_ill_pa_contig55	contig_165	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	47071	49951	2887	pa_ill_pa_contig35	contig_165	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	266935	50561	317478	pa_ill_pa_contig6	contig_165	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	428682	317479	pa_ill_pa_contig20	contig_165	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	434076	428683	pa_ill_pa_contig45	contig_165	99.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	434077	552760	pa_ill_pa_contig19	contig_165	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	552761	553252	pa_ill_pa_contig80	contig_165	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	554489	553253	pa_ill_pa_contig65	contig_165	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	555378	554490	pa_ill_pa_contig71	contig_165	98.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	555379	556025	pa_ill_pa_contig8	contig_165	99.05		True
translocation
1	23992	556026	580014	pa_ill_pa_contig40	contig_165	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	580015	581372	pa_ill_pa_contig62	contig_165	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	581373	638051	pa_ill_pa_contig30	contig_165	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	638052	638868	pa_ill_pa_contig73	contig_165	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	843720	638869	pa_ill_pa_contig12	contig_165	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	843721	845102	pa_ill_pa_contig61	contig_165	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	845103	951880	pa_ill_pa_contig21	contig_165	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	953028	951881	pa_ill_pa_contig64	contig_165	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	953029	987356	pa_ill_pa_contig15	contig_165	99.85		True
local misassembly
34236	173697	987357	1126885	pa_ill_pa_contig15	contig_165	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	1126886	1127520	pa_ill_pa_contig76	contig_165	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	1128663	1127636	pa_ill_pa_contig68	contig_165	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	1129421	1130012	pa_ill_pa_contig77	contig_165	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	1130013	1130702	pa_ill_pa_contig76	contig_165	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	1131790	1130818	pa_ill_pa_contig68	contig_165	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	1133395	1131791	pa_ill_pa_contig59	contig_165	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	1133396	1135022	pa_ill_pa_contig58	contig_165	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	1135023	1139991	pa_ill_pa_contig46	contig_165	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	1139992	1141562	pa_ill_pa_contig58	contig_165	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	1141563	1144800	pa_ill_pa_contig50	contig_165	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1144801	1145544	pa_ill_pa_contig75	contig_165	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	1152379	1146234	pa_ill_pa_contig43	contig_165	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1152380	1153123	pa_ill_pa_contig75	contig_165	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	1153813	1222134	pa_ill_pa_contig28	contig_165	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	1222135	1223009	pa_ill_pa_contig69	contig_165	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	1253776	1223010	pa_ill_pa_contig38	contig_165	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1256209	1253777	pa_ill_pa_contig48	contig_165	99.4		True
local misassembly
56	1079	1257388	1256365	pa_ill_pa_contig48	contig_165	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	1257389	1263973	pa_ill_pa_contig42	contig_165	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	1266925	1263974	pa_ill_pa_contig51	contig_165	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	1266926	1293717	pa_ill_pa_contig39	contig_165	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1294210	1293718	pa_ill_pa_contig79	contig_165	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	1552750	1294211	pa_ill_pa_contig8	contig_165	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	1552751	1553583	pa_ill_pa_contig71	contig_165	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1553584	1554819	pa_ill_pa_contig65	contig_165	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1555311	1554820	pa_ill_pa_contig80	contig_165	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	1555312	1746635	pa_ill_pa_contig13	contig_165	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	1747761	1746636	pa_ill_pa_contig67	contig_165	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	1747762	1834147	pa_ill_pa_contig25	contig_165	99.97		True
translocation
161	249467	1834148	2083425	pa_ill_pa_contig9	contig_165	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	2086320	2083790	pa_ill_pa_contig53	contig_165	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	2087374	2086448	pa_ill_pa_contig72	contig_165	99.14		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2087887	2087375	pa_ill_pa_contig78	contig_165	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1235	2089122	2087888	pa_ill_pa_contig66	contig_165	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	528	2089595	2089123	pa_ill_pa_contig81	contig_165	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2072	2091665	2089596	pa_ill_pa_contig56	contig_165	99.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2092094	2091666	pa_ill_pa_contig84	contig_165	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	2213150	2092095	pa_ill_pa_contig17	contig_165	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	2213412	2269413	pa_ill_pa_contig32	contig_165	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	2270561	2269414	pa_ill_pa_contig64	contig_165	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
244790	542364	2567990	2270562	pa_ill_pa_contig2	contig_165	99.94		True
indel: stretch of mismatches
1	244789	2812753	2567991	pa_ill_pa_contig2	contig_165	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
