S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_98	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_98	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2998	2515	sa_ill_sa_contig65	contig_98	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226564	2999	sa_ill_sa_contig1	contig_98	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226565	227895	sa_ill_sa_contig48	contig_98	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326585	227896	sa_ill_sa_contig11	contig_98	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326586	333672	sa_ill_sa_contig36	contig_98	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355478	333673	sa_ill_sa_contig30	contig_98	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355479	356190	sa_ill_sa_contig55	contig_98	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370412	356191	sa_ill_sa_contig34	contig_98	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370566	403564	sa_ill_sa_contig26	contig_98	99.84		True
local misassembly [fragmentation of reference genome]
2	925	403769	404687	sa_ill_sa_contig51	contig_98	98.06		True
translocation
198	3323	405242	408372	sa_ill_sa_contig41	contig_98	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408794	410399	sa_ill_sa_contig8	contig_98	99.59		True
translocation
1	28120	410400	438539	sa_ill_sa_contig28	contig_98	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438544	478303	sa_ill_sa_contig21	contig_98	99.88		True
local misassembly [fragmentation of reference genome]
98092	98471	478682	478304	sa_ill_sa_contig11	contig_98	97.97		True
translocation
1	62604	478683	541187	sa_ill_sa_contig14	contig_98	99.62		True
local misassembly
62396	62502	541237	541343	sa_ill_sa_contig14	contig_98	98.6		True
translocation
203	3323	541344	544467	sa_ill_sa_contig41	contig_98	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544885	546489	sa_ill_sa_contig8	contig_98	99.53		True
translocation
19	34443	580937	546490	sa_ill_sa_contig24	contig_98	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619748	580938	sa_ill_sa_contig22	contig_98	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619749	620281	sa_ill_sa_contig63	contig_98	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654677	620282	sa_ill_sa_contig25	contig_98	99.85		True
translocation
203	3323	654842	657968	sa_ill_sa_contig41	contig_98	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	658340	790437	sa_ill_sa_contig8	contig_98	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790779	940323	sa_ill_sa_contig5	contig_98	99.56		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	940369	971289	sa_ill_sa_contig27	contig_98	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	971290	972096	sa_ill_sa_contig53	contig_98	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	975139	972215	sa_ill_sa_contig43	contig_98	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988843	975140	sa_ill_sa_contig35	contig_98	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989575	1115362	sa_ill_sa_contig10	contig_98	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1115363	1116027	sa_ill_sa_contig60	contig_98	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117631	1117148	sa_ill_sa_contig65	contig_98	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1138479	1117632	sa_ill_sa_contig32	contig_98	99.86		True
translocation
1	130429	1268935	1138480	sa_ill_sa_contig9	contig_98	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1268936	1273518	sa_ill_sa_contig40	contig_98	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1273519	1278844	sa_ill_sa_contig38	contig_98	99.85		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1283426	1278845	sa_ill_sa_contig40	contig_98	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1309624	1283427	sa_ill_sa_contig29	contig_98	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1309990	1310846	sa_ill_sa_contig54	contig_98	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1313051	1311376	sa_ill_sa_contig46	contig_98	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
