S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102738	ec_ill_ec_contig2	contig_89	99.97		True
local misassembly
310191	312944	102739	105491	ec_ill_ec_contig2	contig_89	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303838	105581	ec_ill_ec_contig4	contig_89	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306810	303839	ec_ill_ec_contig65	contig_89	99.93		True
local misassembly
1	1463	308669	307208	ec_ill_ec_contig65	contig_89	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309036	346326	ec_ill_ec_contig39	contig_89	99.97		True
local misassembly [fragmentation of reference genome]
22	350	346422	346750	ec_ill_ec_contig104	contig_89	91.19		True
indel: indel (> 5bp)
384	502	346751	346869	ec_ill_ec_contig104	contig_89	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346942	392241	ec_ill_ec_contig15	contig_89	99.92		True
local misassembly
45064	105217	392256	452402	ec_ill_ec_contig15	contig_89	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452403	453633	ec_ill_ec_contig79	contig_89	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453634	514047	ec_ill_ec_contig31	contig_89	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514235	857415	ec_ill_ec_contig1	contig_89	99.97		True
local misassembly
343563	393863	857416	907710	ec_ill_ec_contig1	contig_89	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980657	907711	ec_ill_ec_contig16	contig_89	99.97		True
local misassembly
1	31383	1012033	980658	ec_ill_ec_contig16	contig_89	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015061	1012035	ec_ill_ec_contig65	contig_89	99.93		True
local misassembly
1	1463	1016927	1015465	ec_ill_ec_contig65	contig_89	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058469	1017198	ec_ill_ec_contig37	contig_89	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059389	1058470	ec_ill_ec_contig83	contig_89	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059390	1206863	ec_ill_ec_contig7	contig_89	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206864	1208787	ec_ill_ec_contig73	contig_89	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209349	1208788	ec_ill_ec_contig91	contig_89	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209350	1209994	ec_ill_ec_contig94	contig_89	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210248	1211976	ec_ill_ec_contig75	contig_89	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212425	1212909	ec_ill_ec_contig104	contig_89	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220879	1212977	ec_ill_ec_contig60	contig_89	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222001	1220880	ec_ill_ec_contig80	contig_89	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222002	1315431	ec_ill_ec_contig20	contig_89	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315432	1317355	ec_ill_ec_contig73	contig_89	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317917	1317356	ec_ill_ec_contig91	contig_89	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317918	1318542	ec_ill_ec_contig94	contig_89	98.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318543	1390376	ec_ill_ec_contig25	contig_89	99.91		True
local misassembly [fragmentation of reference genome]
1	5324	1395805	1390484	ec_ill_ec_contig64	contig_89	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396088	1412156	ec_ill_ec_contig53	contig_89	99.98		True
translocation
26703	27345	1412157	1412798	ec_ill_ec_contig46	contig_89	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412799	1413253	ec_ill_ec_contig101	contig_89	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415833	1413254	ec_ill_ec_contig70	contig_89	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416116	1418540	ec_ill_ec_contig72	contig_89	100.0		True
translocation
4875	5324	1418541	1418990	ec_ill_ec_contig64	contig_89	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419703	1419093	ec_ill_ec_contig25	contig_89	97.25		True
translocation
1	22687	1442388	1419704	ec_ill_ec_contig48	contig_89	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442389	1442948	ec_ill_ec_contig92	contig_89	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442949	1444304	ec_ill_ec_contig77	contig_89	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444817	1444305	ec_ill_ec_contig97	contig_89	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555889	1444818	ec_ill_ec_contig12	contig_89	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556074	1557535	ec_ill_ec_contig65	contig_89	99.86		True
local misassembly
1876	4847	1557856	1560827	ec_ill_ec_contig65	contig_89	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649269	1560828	ec_ill_ec_contig23	contig_89	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1649673	1651133	ec_ill_ec_contig65	contig_89	99.73		True
local misassembly
1876	4902	1651546	1654575	ec_ill_ec_contig65	contig_89	99.67		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1654794	1708472	ec_ill_ec_contig33	contig_89	99.97		True
local misassembly [fragmentation of reference genome]
1	71920	1708473	1780383	ec_ill_ec_contig24	contig_89	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1780782	1782243	ec_ill_ec_contig65	contig_89	99.79		True
local misassembly
1876	4902	1782564	1785590	ec_ill_ec_contig65	contig_89	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790076	1785809	ec_ill_ec_contig66	contig_89	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790077	1790996	ec_ill_ec_contig83	contig_89	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1821830	1790997	ec_ill_ec_contig43	contig_89	99.94		True
translocation
56	399	1822172	1821831	ec_ill_ec_contig6	contig_89	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822173	1823634	ec_ill_ec_contig65	contig_89	99.93		True
local misassembly
1876	4902	1823955	1826981	ec_ill_ec_contig65	contig_89	99.5		True
fake: not a misassembly [fragmentation of reference genome]
1	5384	1826983	1832364	ec_ill_ec_contig8	contig_89	99.91		True
local misassembly
5483	83127	1832365	1909992	ec_ill_ec_contig8	contig_89	99.96		True
local misassembly
82979	138617	1910183	1965815	ec_ill_ec_contig8	contig_89	99.97		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1966368	1965883	ec_ill_ec_contig104	contig_89	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1966464	1996711	ec_ill_ec_contig44	contig_89	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2104641	1996903	ec_ill_ec_contig14	contig_89	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2104642	2105753	ec_ill_ec_contig81	contig_89	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2105754	2115447	ec_ill_ec_contig59	contig_89	99.96		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2115969	2115520	ec_ill_ec_contig104	contig_89	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2115970	2119514	ec_ill_ec_contig67	contig_89	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120203	2119515	ec_ill_ec_contig89	contig_89	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2209777	2120204	ec_ill_ec_contig21	contig_89	99.97		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218165	2209991	ec_ill_ec_contig35	contig_89	99.86		True
local misassembly
1	42569	2260724	2218166	ec_ill_ec_contig35	contig_89	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2261955	2260725	ec_ill_ec_contig79	contig_89	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265140	2261956	ec_ill_ec_contig68	contig_89	99.97		True
local misassembly [fragmentation of reference genome]
22	507	2265236	2265721	ec_ill_ec_contig104	contig_89	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	21779	2287567	2265789	ec_ill_ec_contig49	contig_89	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	2288121	2287636	ec_ill_ec_contig104	contig_89	91.77		True
local misassembly [fragmentation of reference genome]
1	181861	2469957	2288217	ec_ill_ec_contig6	contig_89	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1463	2469958	2471363	ec_ill_ec_contig65	contig_89	99.25		True
local misassembly
1876	4847	2471776	2474749	ec_ill_ec_contig65	contig_89	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17355	2492105	2474750	ec_ill_ec_contig52	contig_89	99.87		True
local misassembly [fragmentation of reference genome]
6	105426	2492724	2598127	ec_ill_ec_contig5	contig_89	99.78		True
local misassembly
105527	184250	2598128	2676841	ec_ill_ec_contig5	contig_89	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2678072	2676842	ec_ill_ec_contig79	contig_89	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	67050	2678073	2745112	ec_ill_ec_contig29	contig_89	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	59988	2745994	2805975	ec_ill_ec_contig32	contig_89	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2805976	2807205	ec_ill_ec_contig79	contig_89	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
33156	119686	2893830	2807206	ec_ill_ec_contig10	contig_89	99.84		True
local misassembly
1	32653	2926476	2893831	ec_ill_ec_contig10	contig_89	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	2926477	2928400	ec_ill_ec_contig73	contig_89	98.18		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	2928962	2928401	ec_ill_ec_contig91	contig_89	95.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	2928963	2929607	ec_ill_ec_contig94	contig_89	99.22		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	2929861	2930888	ec_ill_ec_contig84	contig_89	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	645	2930889	2931478	ec_ill_ec_contig94	contig_89	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
21	331	2931479	2931789	ec_ill_ec_contig25	contig_89	97.46		True
translocation
1	1672	2931790	2933458	ec_ill_ec_contig76	contig_89	99.76		True
translocation
182	998	2933459	2934274	ec_ill_ec_contig36	contig_89	94.92		True
relocation, inconsistency = -1267
1	43039	2934544	2977568	ec_ill_ec_contig36	contig_89	99.94		True
local misassembly
42883	42981	2977717	2977815	ec_ill_ec_contig36	contig_89	98.99		True
local misassembly [fragmentation of reference genome]
1	101963	2978445	3080387	ec_ill_ec_contig17	contig_89	99.97		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3080941	3080456	ec_ill_ec_contig104	contig_89	91.77		True
local misassembly [fragmentation of reference genome]
1	4424	3081037	3085459	ec_ill_ec_contig28	contig_89	99.98		True
translocation
1	5981	3085460	3091439	ec_ill_ec_contig63	contig_89	99.95		True
fake: not a misassembly [fragmentation of reference genome]
22	507	3091991	3091507	ec_ill_ec_contig104	contig_89	91.56		True
local misassembly [fragmentation of reference genome]
1	70123	3092087	3162194	ec_ill_ec_contig28	contig_89	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	3162195	3163425	ec_ill_ec_contig79	contig_89	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89333	3252748	3163426	ec_ill_ec_contig22	contig_89	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	3252749	3253859	ec_ill_ec_contig81	contig_89	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	64433	3318291	3253860	ec_ill_ec_contig30	contig_89	99.97		True
