S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1142	34	1175	pa_ill_pa_contig67	contig_297	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	192484	1176	pa_ill_pa_contig13	contig_297	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	192485	192976	pa_ill_pa_contig80	contig_297	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	194213	192977	pa_ill_pa_contig65	contig_297	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	195046	194214	pa_ill_pa_contig71	contig_297	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	195047	453599	pa_ill_pa_contig8	contig_297	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	453600	454092	pa_ill_pa_contig79	contig_297	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	480886	454093	pa_ill_pa_contig39	contig_297	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	480887	483840	pa_ill_pa_contig51	contig_297	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	490425	483841	pa_ill_pa_contig42	contig_297	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1079	490426	491449	pa_ill_pa_contig48	contig_297	99.54		True
local misassembly
1235	3667	491605	494037	pa_ill_pa_contig48	contig_297	99.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	494038	524802	pa_ill_pa_contig38	contig_297	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	525677	524803	pa_ill_pa_contig69	contig_297	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68331	593999	525678	pa_ill_pa_contig28	contig_297	99.99		True
fake: not a misassembly [fragmentation of reference genome]
56	799	595432	594689	pa_ill_pa_contig75	contig_297	98.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6148	595433	601577	pa_ill_pa_contig43	contig_297	99.93		True
fake: not a misassembly [fragmentation of reference genome]
