Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# contigs (>= 5000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 10000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 25000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
# contigs (>= 50000 bp)	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Total length (>= 5000 bp)	24074494	24070200	24072211	24064284	24060998	24055678	24060917	24074257	24070195	24072707	24061315	24060258	24055824	24061249	24075009	24068751	24072195	24065063	24060094	24056380	24061591
Total length (>= 10000 bp)	24074494	24070200	24072211	24064284	24060998	24055678	24060917	24074257	24070195	24072707	24061315	24060258	24055824	24061249	24075009	24068751	24072195	24065063	24060094	24056380	24061591
Total length (>= 25000 bp)	24074494	24070200	24072211	24064284	24060998	24055678	24060917	24074257	24070195	24072707	24061315	24060258	24055824	24061249	24075009	24068751	24072195	24065063	24060094	24056380	24061591
Total length (>= 50000 bp)	24074494	24070200	24072211	24064284	24060998	24055678	24060917	24074257	24070195	24072707	24061315	24060258	24055824	24061249	24075009	24068751	24072195	24065063	24060094	24056380	24061591
# contigs	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
Largest contig	4765367	4765335	4765354	4765366	4764519	4764885	4763493	4765367	4765342	4765360	4765365	4764481	4764611	4763481	4765870	4765291	4765346	4765353	4764528	4764900	4763766
Total length	24074494	24070200	24072211	24064284	24060998	24055678	24060917	24074257	24070195	24072707	24061315	24060258	24055824	24061249	24075009	24068751	24072195	24065063	24060094	24056380	24061591
Reference length	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205	2689205
GC (%)	44.80	44.80	44.80	44.80	44.79	44.78	44.77	44.80	44.80	44.80	44.79	44.79	44.78	44.77	44.80	44.80	44.80	44.80	44.78	44.78	44.77
Reference GC (%)	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69	32.69
N50	4045598	4045621	4045594	4045589	4045227	4045309	4043006	4045598	4045629	4045591	4045590	4045220	4045285	4043036	4045598	4045626	4045592	4045592	4045212	4045306	4043032
NG50	4765367	4765335	4765354	4765366	4764519	4764885	4763493	4765367	4765342	4765360	4765365	4764481	4764611	4763481	4765870	4765291	4765346	4765353	4764528	4764900	4763766
N75	2845422	2845369	2845428	2845432	2845260	2845328	2843368	2845425	2845372	2845428	2845431	2845275	2845354	2843858	2845425	2845364	2845429	2845427	2845297	2845324	2843845
NG75	4765367	4765335	4765354	4765366	4764519	4764885	4763493	4765367	4765342	4765360	4765365	4764481	4764611	4763481	4765870	4765291	4765346	4765353	4764528	4764900	4763766
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
LG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
LG75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
# misassemblies	13	13	13	13	13	13	14	13	13	13	13	13	13	13	13	13	13	13	13	13	15
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	2719717	2717967	2719596	2719631	2720606	2720621	2718836	2719580	2717932	2719533	2719556	2720595	2720631	2718436	2719746	2717979	2719620	2719614	2720627	2720623	2718867
# local misassemblies	9	9	10	10	10	9	21	9	9	9	9	10	9	20	10	10	10	10	10	10	19
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
