S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102675	ec_ill_ec_contig2	contig_92	99.96		True
local misassembly
310191	312944	102676	105428	ec_ill_ec_contig2	contig_92	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303763	105518	ec_ill_ec_contig4	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306734	303764	ec_ill_ec_contig65	contig_92	99.9		True
local misassembly
1	1463	308594	307132	ec_ill_ec_contig65	contig_92	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308961	346255	ec_ill_ec_contig39	contig_92	99.96		True
local misassembly [fragmentation of reference genome]
22	350	346351	346679	ec_ill_ec_contig104	contig_92	91.19		True
indel: indel (> 5bp)
384	502	346680	346798	ec_ill_ec_contig104	contig_92	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346871	392169	ec_ill_ec_contig15	contig_92	99.91		True
local misassembly
45064	105217	392184	452325	ec_ill_ec_contig15	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452326	453556	ec_ill_ec_contig79	contig_92	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453557	513962	ec_ill_ec_contig31	contig_92	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514150	857311	ec_ill_ec_contig1	contig_92	99.96		True
local misassembly
343563	393863	857312	907603	ec_ill_ec_contig1	contig_92	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980552	907604	ec_ill_ec_contig16	contig_92	99.97		True
local misassembly
1	31383	1011927	980553	ec_ill_ec_contig16	contig_92	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1014950	1011929	ec_ill_ec_contig65	contig_92	99.77		True
local misassembly
1	1463	1016816	1015354	ec_ill_ec_contig65	contig_92	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058356	1017084	ec_ill_ec_contig37	contig_92	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059275	1058357	ec_ill_ec_contig83	contig_92	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059276	1206741	ec_ill_ec_contig7	contig_92	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206742	1208665	ec_ill_ec_contig73	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209227	1208666	ec_ill_ec_contig91	contig_92	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209228	1209872	ec_ill_ec_contig94	contig_92	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210126	1211854	ec_ill_ec_contig75	contig_92	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212303	1212787	ec_ill_ec_contig104	contig_92	91.56		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220755	1212855	ec_ill_ec_contig60	contig_92	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1221877	1220756	ec_ill_ec_contig80	contig_92	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1221878	1315266	ec_ill_ec_contig20	contig_92	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315267	1317192	ec_ill_ec_contig73	contig_92	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317754	1317193	ec_ill_ec_contig91	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317755	1318378	ec_ill_ec_contig94	contig_92	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318379	1390196	ec_ill_ec_contig25	contig_92	99.91		True
local misassembly [fragmentation of reference genome]
1	5324	1395625	1390304	ec_ill_ec_contig64	contig_92	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1395908	1411976	ec_ill_ec_contig53	contig_92	99.98		True
translocation
26703	27345	1411977	1412618	ec_ill_ec_contig46	contig_92	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412619	1413074	ec_ill_ec_contig101	contig_92	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1415655	1413075	ec_ill_ec_contig70	contig_92	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1415938	1418365	ec_ill_ec_contig72	contig_92	99.88		True
translocation
4875	5324	1418366	1418815	ec_ill_ec_contig64	contig_92	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1419528	1418918	ec_ill_ec_contig25	contig_92	97.25		True
translocation
1	22687	1442217	1419529	ec_ill_ec_contig48	contig_92	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1442218	1442777	ec_ill_ec_contig92	contig_92	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1442778	1444134	ec_ill_ec_contig77	contig_92	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1444647	1444135	ec_ill_ec_contig97	contig_92	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1555719	1444648	ec_ill_ec_contig12	contig_92	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1555904	1557366	ec_ill_ec_contig65	contig_92	99.93		True
local misassembly
1876	4847	1557687	1560658	ec_ill_ec_contig65	contig_92	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
