S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	3	734	sa_ill_sa_contig10	contig_100	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	735	1399	sa_ill_sa_contig60	contig_100	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_100	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226288	3001	sa_ill_sa_contig1	contig_100	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226289	227616	sa_ill_sa_contig48	contig_100	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326177	227617	sa_ill_sa_contig11	contig_100	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326178	333255	sa_ill_sa_contig36	contig_100	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355039	333256	sa_ill_sa_contig30	contig_100	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355040	355750	sa_ill_sa_contig55	contig_100	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	369958	355751	sa_ill_sa_contig34	contig_100	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370111	403073	sa_ill_sa_contig26	contig_100	99.96		True
local misassembly [fragmentation of reference genome]
2	925	403278	404190	sa_ill_sa_contig51	contig_100	98.38		True
translocation
198	3323	404743	407868	sa_ill_sa_contig41	contig_100	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408290	409893	sa_ill_sa_contig8	contig_100	99.76		True
translocation
1	28120	409894	438007	sa_ill_sa_contig28	contig_100	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438012	477725	sa_ill_sa_contig21	contig_100	99.94		True
local misassembly [fragmentation of reference genome]
98092	98471	478104	477726	sa_ill_sa_contig11	contig_100	97.97		True
translocation
1	62604	478105	540504	sa_ill_sa_contig14	contig_100	99.66		True
local misassembly
62396	62502	540554	540660	sa_ill_sa_contig14	contig_100	98.6		True
translocation
203	3323	540661	543776	sa_ill_sa_contig41	contig_100	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544195	545792	sa_ill_sa_contig8	contig_100	99.36		True
translocation
19	34443	580215	545793	sa_ill_sa_contig24	contig_100	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	618988	580216	sa_ill_sa_contig22	contig_100	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	618989	619521	sa_ill_sa_contig63	contig_100	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	653868	619522	sa_ill_sa_contig25	contig_100	99.92		True
translocation
203	3323	654033	657153	sa_ill_sa_contig41	contig_100	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657526	789490	sa_ill_sa_contig8	contig_100	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	789832	939252	sa_ill_sa_contig5	contig_100	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939298	970195	sa_ill_sa_contig27	contig_100	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970196	971001	sa_ill_sa_contig53	contig_100	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974042	971120	sa_ill_sa_contig43	contig_100	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	987731	974043	sa_ill_sa_contig35	contig_100	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	988463	1114119	sa_ill_sa_contig10	contig_100	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114120	1114784	sa_ill_sa_contig60	contig_100	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1116386	1115903	sa_ill_sa_contig65	contig_100	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137212	1116387	sa_ill_sa_contig32	contig_100	99.99		True
translocation
1	130429	1267511	1137213	sa_ill_sa_contig9	contig_100	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1267512	1272092	sa_ill_sa_contig40	contig_100	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272093	1277411	sa_ill_sa_contig38	contig_100	99.98		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1281992	1277412	sa_ill_sa_contig40	contig_100	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308167	1281993	sa_ill_sa_contig29	contig_100	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1308533	1309389	sa_ill_sa_contig54	contig_100	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1311590	1309919	sa_ill_sa_contig46	contig_100	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1311591	1355086	sa_ill_sa_contig18	contig_100	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1355619	1355087	sa_ill_sa_contig63	contig_100	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1355620	1498463	sa_ill_sa_contig6	contig_100	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1498617	1519660	sa_ill_sa_contig31	contig_100	99.98		True
translocation
