All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly               # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50   NGA75   LGA50  LGA75
r10_8bins_1_MP         7                       7                        7                        7                        24074745                   24074745                    24074745                    24074745                    7          4765396         24074745      4738357           44.80   52.15             4045595  4765396  2845436  4765396  3    1     5    1     15               1                       4758957                      8                      0                         0                         6                         0 + 7 part           19038030          98.920               1.075              0.00               411.42                    21.11                 2147330            5034318               613190  571162  2      4    
r10_8bins_1_MP_helen   7                       7                        7                        7                        24070729                   24070729                    24070729                    24070729                    7          4765339         24070729      4738357           44.80   52.15             4045615  4765339  2845374  4765339  3    1     5    1     15               1                       4758026                      8                      0                         0                         6                         0 + 7 part           19034407          98.920               1.075              0.00               409.03                    15.24                 2147000            5033925               613138  571129  2      4    
r10_8bins_1_r1_medaka  7                       7                        7                        7                        24072155                   24072155                    24072155                    24072155                    7          4765361         24072155      4738357           44.80   52.15             4045602  4765361  2845428  4765361  3    1     5    1     15               1                       4758581                      8                      0                         0                         6                         0 + 7 part           19034996          98.920               1.075              0.00               410.07                    11.50                 2147613            5034760               613151  571141  2      4    
r10_8bins_1_r2_medaka  7                       7                        7                        7                        24064354                   24064354                    24064354                    24064354                    7          4765365         24064354      4738357           44.80   52.15             4045598  4765365  2845430  4765365  3    1     5    1     15               1                       4758584                      8                      0                         0                         6                         0 + 7 part           19027181          98.920               1.075              0.00               410.16                    11.44                 2147616            5034774               613150  571141  2      4    
r10_8bins_1_racon_r1   7                       7                        7                        7                        24061185                   24061185                    24061185                    24061185                    7          4764689         24061185      4738357           44.79   52.15             4045293  4764689  2845286  4764689  3    1     5    1     15               1                       4758019                      8                      0                         0                         6                         0 + 7 part           19022446          98.920               1.075              0.00               419.82                    35.00                 2147331            5036342               613053  571083  2      4    
r10_8bins_1_racon_r2   7                       7                        7                        7                        24054036                   24054036                    24054036                    24054036                    7          4764726         24054036      4738357           44.79   52.15             4045319  4764726  2845307  4764726  3    1     5    1     15               1                       4758050                      8                      0                         0                         6                         0 + 7 part           19016640          98.920               1.075              0.00               416.90                    33.76                 2147378            5034984               613065  571075  2      4    
r10_8bins_1_raw        7                       7                        7                        7                        28131334                   28131334                    28131334                    28131334                    7          6788614         28131334      4738357           51.10   52.15             4755933  6788614  2990636  6788614  3    1     5    1     19               1                       4755933                      28                     0                         0                         6                         0 + 7 part           23171699          98.889               1.059              0.00               469.18                    220.19                2119053            4957791               571016  373676  2      5    
r10_8bins_2_MP         7                       7                        7                        7                        24074631                   24074631                    24074631                    24074631                    7          4765403         24074631      4738357           44.80   52.15             4045596  4765403  2845427  4765403  3    1     5    1     15               1                       4758981                      8                      0                         0                         6                         0 + 7 part           19037327          98.920               1.075              0.00               412.08                    21.34                 1342507            5034962               745405  611519  3      5    
r10_8bins_2_MP_helen   7                       7                        7                        7                        24069339                   24069339                    24069339                    24069339                    7          4765334         24069339      4738357           44.80   52.15             4045616  4765334  2845364  4765334  3    1     5    1     16               1                       4757842                      8                      0                         0                         6                         0 + 7 part           19032820          98.919               1.075              0.00               409.50                    15.71                 1342444            5034232               745357  611511  3      5    
r10_8bins_2_r1_medaka  7                       7                        7                        7                        24071923                   24071923                    24071923                    24071923                    7          4765359         24071923      4738357           44.80   52.15             4045587  4765359  2845435  4765359  3    1     5    1     15               1                       4758589                      8                      0                         0                         6                         0 + 7 part           19034783          98.920               1.075              0.00               409.77                    11.52                 1342475            5034796               745369  611516  3      5    
r10_8bins_2_r2_medaka  7                       7                        7                        7                        24062244                   24062244                    24062244                    24062244                    7          4765364         24062244      4738357           44.80   52.15             4045593  4765364  2845433  4765364  3    1     5    1     15               1                       4758101                      8                      0                         0                         6                         0 + 7 part           19024995          98.920               1.075              0.00               411.20                    11.50                 1342475            5034905               745372  611513  3      5    
r10_8bins_2_racon_r1   7                       7                        7                        7                        24061038                   24061038                    24061038                    24061038                    7          4764683         24061038      4738357           44.79   52.15             4045258  4764683  2845287  4764683  3    1     5    1     15               1                       4757934                      8                      0                         0                         6                         0 + 7 part           19026206          98.920               1.074              0.00               410.20                    35.49                 1342281            5032487               745295  611426  3      5    
r10_8bins_2_racon_r2   7                       7                        7                        7                        24054829                   24054829                    24054829                    24054829                    7          4764682         24054829      4738357           44.79   52.15             4045323  4764682  2845362  4764682  3    1     5    1     15               1                       4757912                      8                      0                         0                         6                         0 + 7 part           19016910          98.920               1.075              0.00               418.03                    33.67                 1342301            5035576               745312  611459  3      5    
r10_8bins_2_raw        8                       8                        8                        8                        30849057                   30849057                    30849057                    30849057                    8          6788581         30849057      4738357           49.48   52.15             4756088  6788581  2990626  6788581  3    1     5    1     18               1                       4756088                      20                     0                         0                         6                         0 + 8 part           25895582          98.896               1.057              0.00               461.21                    225.09                1341457            4951293               744987  433868  3      5    
r10_8bins_3_MP         7                       7                        7                        7                        24074724                   24074724                    24074724                    24074724                    7          4765471         24074724      4738357           44.80   52.15             4045596  4765471  2845427  4765471  3    1     5    1     15               1                       4758992                      8                      0                         0                         6                         0 + 7 part           19038932          98.918               1.075              0.00               410.51                    21.83                 1342519            5033450               745424  611519  3      5    
r10_8bins_3_MP_helen   7                       7                        7                        7                        24069480                   24069480                    24069480                    24069480                    7          4765411         24069480      4738357           44.80   52.15             4045613  4765411  2845365  4765411  3    1     5    1     15               1                       4758031                      8                      0                         0                         6                         0 + 7 part           19033947          98.920               1.075              0.00               408.73                    15.47                 1342440            5033191               745358  611509  3      5    
r10_8bins_3_r1_medaka  7                       7                        7                        7                        24072032                   24072032                    24072032                    24072032                    7          4765372         24072032      4738357           44.80   52.15             4045582  4765372  2845437  4765372  3    1     5    1     15               1                       4758588                      8                      0                         0                         6                         0 + 7 part           19037508          98.920               1.074              0.00               404.10                    11.35                 1342475            5032182               745369  611516  3      5    
r10_8bins_3_r2_medaka  7                       7                        7                        7                        24064645                   24064645                    24064645                    24064645                    7          4765365         24064645      4738357           44.80   52.15             4045587  4765365  2845434  4765365  3    1     5    1     15               1                       4758092                      7                      0                         0                         6                         0 + 7 part           19030718          98.920               1.074              0.00               404.63                    11.35                 1342473            5029157               745371  611515  3      5    
r10_8bins_3_racon_r1   7                       7                        7                        7                        24060108                   24060108                    24060108                    24060108                    7          4764770         24060108      4738357           44.79   52.15             4045248  4764770  2845286  4764770  3    1     5    1     15               1                       4757964                      8                      0                         0                         6                         0 + 7 part           19021363          98.920               1.075              0.00               418.95                    35.81                 1342293            5036402               745289  611437  3      5    
r10_8bins_3_racon_r2   7                       7                        7                        7                        24055808                   24055808                    24055808                    24055808                    7          4764744         24055808      4738357           44.79   52.15             4045358  4764744  2845324  4764744  3    1     5    1     15               1                       4757944                      8                      0                         0                         6                         0 + 7 part           19019652          98.920               1.075              0.00               414.62                    32.97                 1342321            5033812               745281  611447  3      5    
r10_8bins_3_raw        7                       7                        7                        7                        28130815                   28130815                    28130815                    28130815                    7          6788292         28130815      4738357           51.10   52.15             4756065  6788292  2990261  6788292  3    1     5    1     18               1                       4756065                      23                     0                         0                         6                         0 + 7 part           23171200          98.893               1.059              0.00               462.22                    224.56                1341465            4957557               744976  433947  3      5    
