S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200254	1	ec_ill_ec_contig2	contig_33	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200255	200739	ec_ill_ec_contig98	contig_33	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	216102	200740	ec_ill_ec_contig54	contig_33	99.86		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216655	216170	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	97294	314023	216751	ec_ill_ec_contig19	contig_33	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2582	314024	316550	ec_ill_ec_contig71	contig_33	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	576	316766	317341	ec_ill_ec_contig95	contig_33	99.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	7694	317342	325029	ec_ill_ec_contig61	contig_33	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325484	325030	ec_ill_ec_contig101	contig_33	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352829	325485	ec_ill_ec_contig46	contig_33	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352830	353402	ec_ill_ec_contig96	contig_33	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
569	912	353744	353403	ec_ill_ec_contig85	contig_33	93.23		True
translocation
1	1970	355714	353745	ec_ill_ec_contig74	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356688	355715	ec_ill_ec_contig82	contig_33	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356689	371061	ec_ill_ec_contig55	contig_33	99.96		True
translocation
1	384	371445	371062	ec_ill_ec_contig50	contig_33	98.97		True
fake: not a misassembly [fragmentation of reference genome]
124743	125137	371959	371565	ec_ill_ec_contig9	contig_33	97.18		True
translocation
1	18741	371960	390699	ec_ill_ec_contig51	contig_33	99.98		True
fake: not a misassembly [fragmentation of reference genome]
22	507	391255	390767	ec_ill_ec_contig104	contig_33	91.21		True
local misassembly [fragmentation of reference genome]
1	31688	391351	423035	ec_ill_ec_contig42	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435900	423036	ec_ill_ec_contig57	contig_33	99.96		True
local misassembly [fragmentation of reference genome]
22	507	435996	436481	ec_ill_ec_contig104	contig_33	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	535305	436549	ec_ill_ec_contig18	contig_33	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536536	535306	ec_ill_ec_contig79	contig_33	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707820	536537	ec_ill_ec_contig3	contig_33	99.98		True
local misassembly
1	57666	765480	707821	ec_ill_ec_contig3	contig_33	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	765481	766053	ec_ill_ec_contig96	contig_33	99.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
551	912	766415	766054	ec_ill_ec_contig85	contig_33	94.88		True
translocation
56	550	766910	766416	ec_ill_ec_contig102	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	767502	766911	ec_ill_ec_contig93	contig_33	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	767503	768341	ec_ill_ec_contig88	contig_33	95.2		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1084	769424	768342	ec_ill_ec_contig82	contig_33	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	920	769425	770289	ec_ill_ec_contig87	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	580	770290	770814	ec_ill_ec_contig100	contig_33	99.66		True
fake: not a misassembly [fragmentation of reference genome]
