Assembly	r10_1bin_v2_1_MP	r10_1bin_v2_1_MP_helen	r10_1bin_v2_1_r1_medaka	r10_1bin_v2_1_r2_medaka	r10_1bin_v2_1_racon_r1	r10_1bin_v2_1_racon_r2	r10_1bin_v2_1_raw	r10_1bin_v2_2_MP	r10_1bin_v2_2_MP_helen	r10_1bin_v2_2_r1_medaka	r10_1bin_v2_2_r2_medaka	r10_1bin_v2_2_racon_r1	r10_1bin_v2_2_racon_r2	r10_1bin_v2_2_raw	r10_1bin_v2_3_MP	r10_1bin_v2_3_MP_helen	r10_1bin_v2_3_r1_medaka	r10_1bin_v2_3_r2_medaka	r10_1bin_v2_3_racon_r1	r10_1bin_v2_3_racon_r2	r10_1bin_v2_3_raw
# contigs (>= 0 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 1000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 5000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 0 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Total length (>= 1000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Total length (>= 5000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Total length (>= 10000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Total length (>= 25000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Total length (>= 50000 bp)	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
# contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792277	6792242	6792250	6792256	6791584	6791674	6787707	6792192	6792152	6792241	6792246	6791553	6791665	6787702	6792242	6792185	6792243	6792245	6791548	6791645	6788581
Total length	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
Reference length	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959	30512959
N50	4758918	4757927	4758579	4758111	4757861	4757873	4755626	4758939	4757856	4758583	4758093	4757899	4757820	4756102	4758920	4757780	4758582	4758118	4757872	4757851	4755682
N75	2992095	2992079	2992073	2992075	2991950	2991981	2990263	2992085	2992067	2992071	2992073	2991978	2991952	2990631	2992051	2992049	2992047	2992047	2991957	2991941	2990406
L50	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
L75	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
# misassemblies	171	168	171	173	174	174	175	171	169	169	176	170	177	172	170	170	168	173	168	174	176
# misassembled contigs	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Misassembled contigs length	30867141	30861676	30864248	30856517	30851576	30847638	30847730	30866597	30861823	30864057	30853121	30851361	30844132	30848669	30867787	30864288	30867356	30861838	30856703	30852242	30851275
# local misassemblies	116	121	127	131	152	138	218	115	119	136	130	146	145	211	114	113	122	124	142	139	213
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# unaligned contigs	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 7 part	0 + 8 part
Unaligned length	79123	80182	80803	81232	77326	76833	143089	78620	78897	82450	81228	78832	77254	136980	77562	78324	79894	81584	77903	76296	141107
Genome fraction (%)	99.400	99.391	99.398	99.399	99.397	99.398	99.369	99.400	99.394	99.398	99.399	99.398	99.397	99.371	99.400	99.399	99.399	99.398	99.398	99.397	99.371
Duplication ratio	1.044	1.044	1.044	1.043	1.043	1.043	1.027	1.044	1.044	1.043	1.043	1.043	1.043	1.028	1.043	1.044	1.044	1.044	1.043	1.043	1.028
# N's per 100 kbp	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
