S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_101	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_101	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2999	2516	sa_ill_sa_contig65	contig_101	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226279	3000	sa_ill_sa_contig1	contig_101	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226280	227607	sa_ill_sa_contig48	contig_101	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326178	227608	sa_ill_sa_contig11	contig_101	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326179	333254	sa_ill_sa_contig36	contig_101	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355039	333255	sa_ill_sa_contig30	contig_101	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355040	355750	sa_ill_sa_contig55	contig_101	99.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	369958	355751	sa_ill_sa_contig34	contig_101	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370111	403074	sa_ill_sa_contig26	contig_101	99.97		True
local misassembly [fragmentation of reference genome]
2	925	403279	404192	sa_ill_sa_contig51	contig_101	98.49		True
translocation
198	3323	404746	407868	sa_ill_sa_contig41	contig_101	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408287	409890	sa_ill_sa_contig8	contig_101	99.71		True
translocation
1	28120	409891	437999	sa_ill_sa_contig28	contig_101	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438004	477736	sa_ill_sa_contig21	contig_101	99.96		True
local misassembly [fragmentation of reference genome]
98092	98471	478115	477737	sa_ill_sa_contig11	contig_101	97.97		True
translocation
1	62604	478116	540515	sa_ill_sa_contig14	contig_101	99.65		True
local misassembly
62396	62502	540565	540671	sa_ill_sa_contig14	contig_101	98.6		True
translocation
203	3323	540672	543788	sa_ill_sa_contig41	contig_101	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544207	545804	sa_ill_sa_contig8	contig_101	99.36		True
translocation
19	34443	580229	545805	sa_ill_sa_contig24	contig_101	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	618990	580230	sa_ill_sa_contig22	contig_101	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	618991	619523	sa_ill_sa_contig63	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	653875	619524	sa_ill_sa_contig25	contig_101	99.93		True
translocation
203	3323	654040	657154	sa_ill_sa_contig41	contig_101	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657527	789486	sa_ill_sa_contig8	contig_101	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	789828	939254	sa_ill_sa_contig5	contig_101	99.64		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	939300	970185	sa_ill_sa_contig27	contig_101	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	970186	970991	sa_ill_sa_contig53	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974028	971110	sa_ill_sa_contig43	contig_101	99.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	987720	974029	sa_ill_sa_contig35	contig_101	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	988452	1114103	sa_ill_sa_contig10	contig_101	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1114104	1114768	sa_ill_sa_contig60	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1116370	1115887	sa_ill_sa_contig65	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1137193	1116371	sa_ill_sa_contig32	contig_101	99.97		True
translocation
1	130429	1267498	1137194	sa_ill_sa_contig9	contig_101	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	1267499	1272079	sa_ill_sa_contig40	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	1272080	1277398	sa_ill_sa_contig38	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	1281979	1277399	sa_ill_sa_contig40	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	1308153	1281980	sa_ill_sa_contig29	contig_101	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	857	1308519	1309375	sa_ill_sa_contig54	contig_101	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	1311576	1309905	sa_ill_sa_contig46	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	1311577	1355077	sa_ill_sa_contig18	contig_101	99.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	1355610	1355078	sa_ill_sa_contig63	contig_101	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	1355611	1498445	sa_ill_sa_contig6	contig_101	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	1498599	1519638	sa_ill_sa_contig31	contig_101	99.99		True
translocation
98057	98213	1519639	1519795	sa_ill_sa_contig11	contig_101	98.58		True
local misassembly
98340	98561	1519796	1520017	sa_ill_sa_contig11	contig_101	98.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1546607	1520018	sa_ill_sa_contig12	contig_101	99.35		True
local misassembly
46	44268	1590819	1546608	sa_ill_sa_contig12	contig_101	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1590820	1641506	sa_ill_sa_contig17	contig_101	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1641507	1646500	sa_ill_sa_contig39	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1646501	1660863	sa_ill_sa_contig33	contig_101	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1661574	1660864	sa_ill_sa_contig55	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6686	1668260	1661575	sa_ill_sa_contig37	contig_101	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	2840	1668286	1671125	sa_ill_sa_contig44	contig_101	99.61		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1576	1672700	1671126	sa_ill_sa_contig47	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	41074	1713797	1672726	sa_ill_sa_contig20	contig_101	99.96		True
translocation
1	1649	1715446	1713798	sa_ill_sa_contig8	contig_101	99.82		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1718953	1715834	sa_ill_sa_contig41	contig_101	99.84		True
translocation
38161	38352	1719236	1719046	sa_ill_sa_contig23	contig_101	95.31		True
local misassembly
38187	38352	1719489	1719324	sa_ill_sa_contig23	contig_101	98.8		True
local misassembly
1	38352	1757933	1719582	sa_ill_sa_contig23	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
688	925	1758325	1758074	sa_ill_sa_contig51	contig_101	94.44		True
translocation
1	1703	1759993	1758339	sa_ill_sa_contig8	contig_101	95.61		True
fake: not a misassembly [fragmentation of reference genome]
1	3323	1763642	1760323	sa_ill_sa_contig41	contig_101	99.85		True
translocation
1	1604	1765244	1763643	sa_ill_sa_contig8	contig_101	99.71		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	1768660	1765541	sa_ill_sa_contig41	contig_101	99.81		True
translocation
1	56123	1825114	1769112	sa_ill_sa_contig15	contig_101	99.73		True
indel: indel (<= 5bp) [fragmentation of reference genome]
4	718	1825115	1825829	sa_ill_sa_contig58	contig_101	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3261	1829089	1825830	sa_ill_sa_contig42	contig_101	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	211909	1829288	2041159	sa_ill_sa_contig2	contig_101	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
55	207093	2041160	2248038	sa_ill_sa_contig3	contig_101	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	78138	2248051	2326054	sa_ill_sa_contig7	contig_101	99.79		True
local misassembly
78271	134302	2326055	2382049	sa_ill_sa_contig7	contig_101	99.9		True
fake: not a misassembly [fragmentation of reference genome]
21	50729	2432806	2382112	sa_ill_sa_contig16	contig_101	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	177172	2609925	2432807	sa_ill_sa_contig4	contig_101	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	41771	2610114	2651879	sa_ill_sa_contig19	contig_101	99.98		True
