All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50   NGA75   LGA50  LGA75
r10_1bin_1_MP         7                       7                        7                        7                        24074494                   24074494                    24074494                    24074494                    7          4765367         24074494      3985829           44.80   43.82             4045598  4765367  2845422  4765367  3    1     5    1     34               1                       4045598                      13                     0                         0                         6                         0 + 7 part           19976670          99.999               1.028              0.00               97.87                     11.04                 788689             4097279               329474  257050  4      8    
r10_1bin_1_MP_helen   7                       7                        7                        7                        24070200                   24070200                    24070200                    24070200                    7          4765335         24070200      3985829           44.80   43.82             4045621  4765335  2845369  4765335  3    1     5    1     34               1                       4045621                      13                     0                         0                         6                         0 + 7 part           19974023          99.999               1.028              0.00               95.36                     11.11                 788691             4095632               329468  257050  4      8    
r10_1bin_1_r1_medaka  7                       7                        7                        7                        24072211                   24072211                    24072211                    24072211                    7          4765354         24072211      3985829           44.80   43.82             4045594  4765354  2845428  4765354  3    1     5    1     34               1                       4045594                      13                     0                         0                         6                         0 + 7 part           19975788          99.999               1.028              0.00               96.09                     10.46                 788691             4095878               329466  257051  4      8    
r10_1bin_1_r2_medaka  7                       7                        7                        7                        24064284                   24064284                    24064284                    24064284                    7          4765366         24064284      3985829           44.80   43.82             4045589  4765366  2845432  4765366  3    1     5    1     34               1                       4045589                      13                     0                         0                         6                         0 + 7 part           19967939          99.999               1.028              0.00               96.22                     10.09                 788689             4095800               329464  257051  4      8    
r10_1bin_1_racon_r1   7                       7                        7                        7                        24060998                   24060998                    24060998                    24060998                    7          4764519         24060998      3985829           44.79   43.82             4045227  4764519  2845260  4764519  3    1     5    1     34               1                       4045227                      13                     0                         0                         6                         0 + 7 part           19964250          99.999               1.028              0.00               97.02                     23.21                 788631             4096149               329426  257017  4      8    
r10_1bin_1_racon_r2   7                       7                        7                        7                        24055678                   24055678                    24055678                    24055678                    7          4764885         24055678      3985829           44.78   43.82             4045309  4764885  2845328  4764885  3    1     5    1     34               1                       4045309                      13                     0                         0                         6                         0 + 7 part           19958899          99.999               1.028              0.00               98.60                     20.10                 788620             4096289               329440  257030  4      8    
r10_1bin_1_raw        7                       7                        7                        7                        24060917                   24060917                    24060917                    24060917                    7          4763493         24060917      3985829           44.77   43.82             4043006  4763493  2843368  4763493  3    1     5    1     31               1                       4043006                      17                     0                         0                         5                         0 + 7 part           20003263          99.993               1.018              0.00               83.05                     104.08                788122             4056663               329353  256904  4      8    
r10_1bin_2_MP         7                       7                        7                        7                        24074257                   24074257                    24074257                    24074257                    7          4765367         24074257      3985829           44.80   43.82             4045598  4765367  2845425  4765367  3    1     5    1     34               1                       4045598                      13                     0                         0                         6                         0 + 7 part           19976186          99.999               1.028              0.00               98.40                     11.21                 788689             4097573               329474  257050  4      8    
r10_1bin_2_MP_helen   7                       7                        7                        7                        24070195                   24070195                    24070195                    24070195                    7          4765342         24070195      3985829           44.80   43.82             4045629  4765342  2845372  4765342  3    1     5    1     34               1                       4045629                      13                     0                         0                         6                         0 + 7 part           19973604          99.999               1.028              0.04               96.07                     11.29                 788691             4096083               329470  257052  4      8    
r10_1bin_2_r1_medaka  7                       7                        7                        7                        24072707                   24072707                    24072707                    24072707                    7          4765360         24072707      3985829           44.80   43.82             4045591  4765360  2845428  4765360  3    1     5    1     34               1                       4045591                      13                     0                         0                         6                         0 + 7 part           19975379          99.999               1.028              0.00               97.70                     10.49                 788691             4096884               329466  257051  4      8    
