S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	720	720	1	pa_ill_pa_contig35	contig_142	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	266935	1330	268266	pa_ill_pa_contig6	contig_142	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	379474	268267	pa_ill_pa_contig20	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	384871	379475	pa_ill_pa_contig45	contig_142	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	384872	503565	pa_ill_pa_contig19	contig_142	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	503566	504057	pa_ill_pa_contig80	contig_142	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	505294	504058	pa_ill_pa_contig65	contig_142	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	506183	505295	pa_ill_pa_contig71	contig_142	98.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	506184	506830	pa_ill_pa_contig8	contig_142	99.05		True
translocation
1	23992	506831	530822	pa_ill_pa_contig40	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	530823	532180	pa_ill_pa_contig62	contig_142	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	532181	588862	pa_ill_pa_contig30	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	588863	589679	pa_ill_pa_contig73	contig_142	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	794565	589680	pa_ill_pa_contig12	contig_142	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	794566	795947	pa_ill_pa_contig61	contig_142	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	795948	902743	pa_ill_pa_contig21	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	903891	902744	pa_ill_pa_contig64	contig_142	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	903892	938220	pa_ill_pa_contig15	contig_142	99.86		True
local misassembly
34236	173697	938221	1077765	pa_ill_pa_contig15	contig_142	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	1077766	1078400	pa_ill_pa_contig76	contig_142	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	1079543	1078516	pa_ill_pa_contig68	contig_142	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	1080303	1080894	pa_ill_pa_contig77	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
