S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
114	240	271927	271801	ef_ill_ef_contig1	contig_102	97.64		False
1	77	271930	272006	ef_ill_ef_contig6	contig_102	100.0		False
52440	52512	271936	272008	ef_ill_ef_contig7	contig_102	100.0		False
1027346	1027576	272008	271778	ef_ill_ef_contig1	contig_102	99.13		False
78	235	272051	272208	ef_ill_ef_contig6	contig_102	99.37		False
22954	23120	272254	272088	ef_ill_ef_contig13	contig_102	96.41		False
29598	30337	302237	302976	ef_ill_ef_contig10	contig_102	93.14		False
30504	31456	302219	303171	ef_ill_ef_contig10	contig_102	92.58		False
1136	1374	604768	604530	sa_ill_sa_contig8	contig_102	92.47		False
656	727	605063	605134	ec_ill_ec_contig65	contig_102	95.83		False
1200	1338	604996	605134	pa_ill_pa_contig44	contig_102	91.37		False
4115	4186	605135	605064	se_ill_se_contig42	contig_102	95.83		False
786	906	605194	605314	ec_ill_ec_contig65	contig_102	95.87		False
1397	1538	605194	605335	pa_ill_pa_contig44	contig_102	90.85		False
561	1110	605343	604794	sa_ill_sa_contig8	contig_102	94.73		False
437	551	605465	605351	sa_ill_sa_contig8	contig_102	96.52		False
1	965	604593	605556	bs_ill_bs_contig933	contig_102	93.89		False
38	431	605864	605471	sa_ill_sa_contig8	contig_102	90.61		False
174	1725	604303	605865	lm_ill_lm_contig16	contig_102	90.95		False
40	1288	604618	605866	lf_ill_lf_contig57	contig_102	91.08		False
701	775	605937	606011	ef_ill_ef_contig21	contig_102	100.0		False
1684	1803	606198	606317	lf_ill_lf_contig57	contig_102	91.67		False
95	215	606198	606318	bs_ill_bs_contig1146	contig_102	92.56		False
2977	3114	606335	606198	lm_ill_lm_contig12	contig_102	92.75		False
3006	3124	606492	606374	sa_ill_sa_contig41	contig_102	96.64		False
2820	2949	606492	606363	lm_ill_lm_contig12	contig_102	91.54		False
483	720	606578	606815	bs_ill_bs_contig1146	contig_102	93.28		False
2078	2322	606586	606830	lf_ill_lf_contig57	contig_102	90.2		False
2474	2720	606831	606585	lm_ill_lm_contig12	contig_102	92.31		False
666	889	607064	606841	bs_ill_bs_contig991	contig_102	91.52		False
2240	2418	607065	606887	lm_ill_lm_contig12	contig_102	94.41		False
2346	2414	607148	607080	sa_ill_sa_contig41	contig_102	95.65		False
2388	2882	606894	607388	lf_ill_lf_contig57	contig_102	90.71		False
1914	2233	607391	607072	lm_ill_lm_contig12	contig_102	94.06		False
2102	2316	607392	607178	sa_ill_sa_contig41	contig_102	95.35		False
337	569	607394	607162	bs_ill_bs_contig991	contig_102	93.56		False
108	329	607626	607405	bs_ill_bs_contig991	contig_102	91.44		False
3233	3431	607739	607937	lf_ill_lf_contig57	contig_102	92.96		False
3783	3873	608086	608176	ec_ill_ec_contig65	contig_102	96.7		False
960	1050	608176	608086	se_ill_se_contig42	contig_102	96.7		False
4406	4500	608086	608180	pa_ill_pa_contig44	contig_102	96.84		False
1191	1538	608294	607947	sa_ill_sa_contig41	contig_102	95.11		False
912	1344	608380	607948	lm_ill_lm_contig12	contig_102	91.92		False
3441	3911	607945	608415	lf_ill_lf_contig57	contig_102	93.84		False
1	1065	608874	607823	bs_ill_bs_contig839	contig_102	92.31		False
497	1095	608988	608390	sa_ill_sa_contig41	contig_102	94.66		False
9	171	608828	608990	bs_ill_bs_contig13	contig_102	93.25		False
296	907	608996	608385	lm_ill_lm_contig12	contig_102	94.28		False
23	757	609098	608362	lf_ill_lf_contig82	contig_102	93.9		False
645532	646246	1614333	1615065	ef_ill_ef_contig1	contig_102	90.5		False
9	171	2112835	2112673	bs_ill_bs_contig13	contig_102	93.25		False
497	1095	2112675	2113273	sa_ill_sa_contig41	contig_102	94.66		False
296	907	2112667	2113278	lm_ill_lm_contig12	contig_102	94.28		False
23	757	2112565	2113301	lf_ill_lf_contig82	contig_102	93.9		False
960	1050	2113487	2113577	se_ill_se_contig42	contig_102	96.7		False
3783	3873	2113577	2113487	ec_ill_ec_contig65	contig_102	96.7		False
4406	4500	2113577	2113483	pa_ill_pa_contig44	contig_102	96.84		False
912	1344	2113283	2113715	lm_ill_lm_contig12	contig_102	91.92		False
1191	1538	2113369	2113716	sa_ill_sa_contig41	contig_102	95.11		False
3441	3911	2113718	2113248	lf_ill_lf_contig57	contig_102	93.84		False
1	1065	2112789	2113840	bs_ill_bs_contig839	contig_102	92.31		False
3233	3431	2113924	2113726	lf_ill_lf_contig57	contig_102	92.96		False
108	329	2114037	2114258	bs_ill_bs_contig991	contig_102	91.44		False
2102	2316	2114271	2114485	sa_ill_sa_contig41	contig_102	95.35		False
337	569	2114269	2114501	bs_ill_bs_contig991	contig_102	93.56		False
2346	2414	2114515	2114583	sa_ill_sa_contig41	contig_102	95.65		False
1914	2233	2114272	2114591	lm_ill_lm_contig12	contig_102	94.06		False
2388	2882	2114769	2114275	lf_ill_lf_contig57	contig_102	90.71		False
2240	2418	2114598	2114776	lm_ill_lm_contig12	contig_102	94.41		False
666	889	2114599	2114822	bs_ill_bs_contig991	contig_102	91.07		False
2078	2322	2115077	2114833	lf_ill_lf_contig57	contig_102	90.2		False
2474	2720	2114832	2115078	lm_ill_lm_contig12	contig_102	92.31		False
483	720	2115085	2114848	bs_ill_bs_contig1146	contig_102	93.28		False
3006	3134	2115171	2115299	sa_ill_sa_contig41	contig_102	93.8		False
2820	2949	2115171	2115300	lm_ill_lm_contig12	contig_102	91.54		False
1684	1803	2115465	2115346	lf_ill_lf_contig57	contig_102	92.5		False
95	215	2115465	2115345	bs_ill_bs_contig1146	contig_102	93.39		False
2977	3114	2115328	2115465	lm_ill_lm_contig12	contig_102	93.48		False
3184	3302	2115348	2115466	sa_ill_sa_contig41	contig_102	94.12		False
38	431	2115697	2116090	sa_ill_sa_contig8	contig_102	90.61		False
437	551	2116096	2116210	sa_ill_sa_contig8	contig_102	96.52		False
786	906	2116367	2116247	ec_ill_ec_contig65	contig_102	95.87		False
1397	1538	2116367	2116226	pa_ill_pa_contig44	contig_102	90.85		False
4115	4186	2116426	2116497	se_ill_se_contig42	contig_102	95.83		False
656	727	2116498	2116427	ec_ill_ec_contig65	contig_102	95.83		False
1200	1338	2116565	2116427	pa_ill_pa_contig44	contig_102	91.37		False
561	1110	2116218	2116767	sa_ill_sa_contig8	contig_102	94.73		False
40	1288	2116943	2115695	lf_ill_lf_contig57	contig_102	91.08		False
1	965	2116968	2116005	bs_ill_bs_contig933	contig_102	93.89		False
1136	1374	2116793	2117031	sa_ill_sa_contig8	contig_102	92.47		False
174	1725	2117258	2115696	lm_ill_lm_contig16	contig_102	90.95		False
1	93	2117448	2117540	ef_ill_ef_contig4	contig_102	95.7		False
238692	238991	2117747	2117448	ef_ill_ef_contig3	contig_102	99.67		False
1136	1374	2387819	2387581	sa_ill_sa_contig8	contig_102	92.47		False
656	727	2388114	2388185	ec_ill_ec_contig65	contig_102	95.83		False
1200	1338	2388047	2388185	pa_ill_pa_contig44	contig_102	91.37		False
4115	4186	2388186	2388115	se_ill_se_contig42	contig_102	95.83		False
786	906	2388245	2388365	ec_ill_ec_contig65	contig_102	95.87		False
1397	1538	2388245	2388386	pa_ill_pa_contig44	contig_102	90.85		False
561	1110	2388394	2387845	sa_ill_sa_contig8	contig_102	94.73		False
437	551	2388516	2388402	sa_ill_sa_contig8	contig_102	96.52		False
1	965	2387644	2388607	bs_ill_bs_contig933	contig_102	93.89		False
38	431	2388915	2388522	sa_ill_sa_contig8	contig_102	90.61		False
174	1725	2387354	2388916	lm_ill_lm_contig16	contig_102	90.95		False
40	1288	2387669	2388917	lf_ill_lf_contig57	contig_102	91.08		False
3184	3302	2389264	2389146	sa_ill_sa_contig41	contig_102	94.12		False
1684	1803	2389147	2389266	lf_ill_lf_contig57	contig_102	92.5		False
95	215	2389147	2389267	bs_ill_bs_contig1146	contig_102	93.39		False
2977	3114	2389284	2389147	lm_ill_lm_contig12	contig_102	93.48		False
3006	3134	2389441	2389313	sa_ill_sa_contig41	contig_102	93.8		False
2820	2949	2389441	2389312	lm_ill_lm_contig12	contig_102	91.54		False
483	720	2389527	2389764	bs_ill_bs_contig1146	contig_102	93.28		False
2078	2322	2389535	2389779	lf_ill_lf_contig57	contig_102	90.2		False
2474	2720	2389780	2389534	lm_ill_lm_contig12	contig_102	92.31		False
666	889	2390013	2389790	bs_ill_bs_contig991	contig_102	91.52		False
2240	2418	2390014	2389836	lm_ill_lm_contig12	contig_102	94.41		False
2346	2414	2390097	2390029	sa_ill_sa_contig41	contig_102	95.65		False
