S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
38187	38352	1	166	sa_ill_sa_contig23	contig_42	98.8		True
local misassembly
38161	38352	254	444	sa_ill_sa_contig23	contig_42	95.31		True
translocation
203	3323	537	3654	sa_ill_sa_contig41	contig_42	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1649	4042	5692	sa_ill_sa_contig8	contig_42	99.71		True
translocation
1	41074	5693	46775	sa_ill_sa_contig20	contig_42	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	1576	46801	48377	sa_ill_sa_contig47	contig_42	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2840	51215	48378	sa_ill_sa_contig44	contig_42	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	6686	51241	57931	sa_ill_sa_contig37	contig_42	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	57932	58642	sa_ill_sa_contig55	contig_42	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	73009	58643	sa_ill_sa_contig33	contig_42	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	78003	73010	sa_ill_sa_contig39	contig_42	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	128730	78004	sa_ill_sa_contig17	contig_42	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	44268	128731	172974	sa_ill_sa_contig12	contig_42	99.7		True
local misassembly
43758	70357	172975	199581	sa_ill_sa_contig12	contig_42	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
98340	98561	199803	199582	sa_ill_sa_contig11	contig_42	98.02		True
local misassembly
98057	98213	199960	199804	sa_ill_sa_contig11	contig_42	98.58		True
translocation
1	21042	221008	199961	sa_ill_sa_contig31	contig_42	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	142808	364072	221162	sa_ill_sa_contig6	contig_42	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	364073	364605	sa_ill_sa_contig63	contig_42	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	408130	364606	sa_ill_sa_contig18	contig_42	99.41		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	408131	409803	sa_ill_sa_contig46	contig_42	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	857	411189	410333	sa_ill_sa_contig54	contig_42	100.0		True
fake: not a misassembly [fragmentation of reference genome]
