Assembly	MP_helen_r10_bins_1	MP_helen_r10_bins_2	MP_helen_r10_bins_3	MP_r10_bins_1	MP_r10_bins_2	MP_r10_bins_3	r1_medaka_r10_bins_1	r1_medaka_r10_bins_2	r1_medaka_r10_bins_3	r2_medaka_r10_bins_1	r2_medaka_r10_bins_2	r2_medaka_r10_bins_3	racon_r1_r10_bins_1	racon_r1_r10_bins_2	racon_r1_r10_bins_3	racon_r2_r10_bins_1	racon_r2_r10_bins_2	racon_r2_r10_bins_3	raw_r10_bins_1	raw_r10_bins_2	raw_r10_bins_3
# misassemblies	6	6	6	8	6	8	6	6	6	6	6	6	6	6	6	6	6	6	9	10	10
  # contig misassemblies	6	6	6	8	6	8	6	6	6	6	6	6	6	6	6	6	6	6	9	10	10
    # c. relocations	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	6	6	6	7	6	7	6	6	6	6	6	6	6	6	6	6	6	6	9	10	10
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792153	6792196	6792204	6792195	6792258	6792206	6792241	6792240	6792231	6792247	6792237	6792231	6791608	6791632	6791594	6791690	6791710	6791707	6787702	6787718	6788614
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	18	18	18	16	18	16	18	18	18	18	18	18	18	18	18	18	18	18	33	34	34
# local misassemblies	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	29	29	24
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	21	21	21	20	21	20	21	21	21	21	21	21	21	21	21	21	21	21	16	16	16
# unaligned mis. contigs	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	6	7	7	6	7	6
# mismatches	3783	3729	3710	3982	3892	3936	3801	3720	3748	3765	3756	3716	3929	3808	3869	3915	3921	3865	4350	4358	4391
# indels	366	348	256	395	369	384	241	246	241	241	253	240	952	918	926	840	876	871	6519	6504	6544
    # indels (<= 5 bp)	265	250	161	298	273	289	148	152	148	148	159	147	858	822	833	746	779	776	6398	6383	6420
    # indels (> 5 bp)	101	98	95	97	96	95	93	94	93	93	94	93	94	96	93	94	97	95	121	121	124
Indels length	5444	5418	5294	5480	5417	5428	5202	5264	5243	5202	5270	5239	6032	6045	6039	5876	6008	5993	12832	12818	12975
