All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# misassemblies                                 6               6                     6                      6                      6                     6                     10               8               6                     6                      6                      6                     6                     10               8               6                     6                      6                      6                     6                     10             
  # contig misassemblies                        6               6                     6                      6                      6                     6                     10               8               6                     6                      6                      6                     6                     10               8               6                     6                      6                      6                     6                     10             
    # c. relocations                            0               0                     0                      0                      0                     0                     0                1               0                     0                      0                      0                     0                     0                1               0                     0                      0                      0                     0                     0              
    # c. translocations                         6               6                     6                      6                      6                     6                     10               7               6                     6                      6                      6                     6                     10               7               6                     6                      6                      6                     6                     10             
    # c. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
  # scaffold misassemblies                      0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. relocations                            0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. translocations                         0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
    # s. inversions                             0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassembled contigs                          1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
Misassembled contigs length                     6792253         6792196               6792240                6792242                6791560               6791674               6787718          6792241         6792182               6792245                6792248                6791611               6791688               6788581          6792241         6792182               6792244                6792249                6791613               6791620               6788581        
# possibly misassembled contigs                 1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1                1               1                     1                      1                      1                     1                     1              
    # possible misassemblies                    18              18                    18                     18                     18                    18                    34               16              18                    18                     18                     18                    18                    34               16              18                    18                     18                     18                    18                    34             
# local misassemblies                           11              11                    11                     11                     11                    11                    29               11              11                    11                     11                     11                    11                    25               11              11                    11                     11                     11                    11                    25             
# scaffold gap ext. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.                        0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# misassemblies caused by fragmented reference  21              21                    21                     21                     21                    21                    16               20              21                    21                     21                     21                    21                    16               20              21                    21                     21                     21                    21                    16             
# unaligned mis. contigs                        7               7                     7                      7                      7                     7                     6                7               7                     7                      7                      7                     7                     6                7               7                     7                      7                      7                     7                     6              
# mismatches                                    3945            3777                  3793                   3769                   3880                  3921                  4359             3982            3779                  3805                   3799                   3938                  4023                  4326             3967            3775                  3805                   3801                   4015                  4053                  4373           
# indels                                        367             342                   246                    244                    979                   900                   6498             361             338                   237                    237                    999                   905                   6522             361             338                   238                    244                    1000                  910                   6534           
    # indels (<= 5 bp)                          271             244                   152                    150                    883                   806                   6377             266             241                   143                    143                    904                   810                   6399             266             241                   144                    150                    905                   816                   6411           
    # indels (> 5 bp)                           96              98                    94                     94                     96                    94                    121              95              97                    94                     94                     95                    95                    123              95              97                    94                     94                     95                    94                    123            
Indels length                                   5411            5408                  5265                   5261                   6096                  6012                  12810            5393            5398                  5253                   5252                   6126                  6000                  12909            5393            5398                  5254                   5260                   6128                  6002                  12929          
