S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
500	577	1	78	sa_ill_sa_contig41	contig_12	92.31		False
1	166	166	1	bs_ill_bs_contig13	contig_12	93.98		False
134	701	1	568	lf_ill_lf_contig82	contig_12	96.13		False
589	1151	90	652	sa_ill_sa_contig41	contig_12	93.25		False
3783	3865	900	818	ec_ill_ec_contig65	contig_12	97.59		False
4406	4488	900	818	pa_ill_pa_contig44	contig_12	97.59		False
968	1050	818	900	se_ill_se_contig42	contig_12	97.59		False
3577	3824	905	658	lf_ill_lf_contig57	contig_12	94.35		False
3443	3552	1039	930	lf_ill_lf_contig57	contig_12	93.64		False
1158	1540	659	1041	sa_ill_sa_contig41	contig_12	94.78		False
1559	1639	1061	1141	sa_ill_sa_contig41	contig_12	97.53		False
1	1065	112	1176	bs_ill_bs_contig839	contig_12	95.6		False
3315	3430	1178	1063	lf_ill_lf_contig57	contig_12	97.41		False
1871	2057	1371	1557	sa_ill_sa_contig41	contig_12	90.37		False
2099	2316	1604	1821	sa_ill_sa_contig41	contig_12	91.74		False
2566	2641	1927	1852	lf_ill_lf_contig57	contig_12	90.79		False
328	2426	1	2112	ef_ill_ef_contig17	contig_12	90.13		False
108	910	1371	2179	bs_ill_bs_contig991	contig_12	91.87		False
2079	2322	2412	2169	lf_ill_lf_contig57	contig_12	91.39		False
47	293	2168	2414	ef_ill_ef_contig25	contig_12	92.31		False
2614	2917	2121	2424	sa_ill_sa_contig41	contig_12	93.09		False
386	515	2514	2643	ef_ill_ef_contig25	contig_12	91.54		False
2985	3136	2493	2644	sa_ill_sa_contig41	contig_12	92.11		False
1684	1803	2808	2689	lf_ill_lf_contig57	contig_12	90.0		False
543	680	2671	2808	ef_ill_ef_contig25	contig_12	93.48		False
83	720	2820	2184	bs_ill_bs_contig1146	contig_12	90.39		False
3523	3637	3197	3311	se_ill_se_contig42	contig_12	93.91		False
1206	1320	3311	3197	ec_ill_ec_contig65	contig_12	93.91		False
3694	3767	3368	3441	se_ill_se_contig42	contig_12	91.89		False
1075	1149	3442	3368	ec_ill_ec_contig65	contig_12	90.67		False
904	1287	3442	3059	lf_ill_lf_contig57	contig_12	90.36		False
1397	1517	3729	3609	pa_ill_pa_contig44	contig_12	95.04		False
786	911	3729	3604	ec_ill_ec_contig65	contig_12	93.65		False
3937	4076	3609	3748	se_ill_se_contig42	contig_12	93.57		False
656	727	3860	3789	ec_ill_ec_contig65	contig_12	97.22		False
4115	4187	3788	3860	se_ill_se_contig42	contig_12	97.26		False
1201	1338	3926	3789	pa_ill_pa_contig44	contig_12	92.03		False
1	966	4330	3367	bs_ill_bs_contig933	contig_12	94.21		False
1	735	4344	3610	lf_ill_lf_contig57	contig_12	90.2		False
1	133	4276	4408	bs_ill_bs_contig3	contig_12	91.73		False
159	246	4434	4521	bs_ill_bs_contig3	contig_12	90.91		False
266	333	4543	4610	bs_ill_bs_contig3	contig_12	95.59		False
38	1590	3060	4610	sa_ill_sa_contig8	contig_12	90.82		False
245	1807	4610	3059	ef_ill_ef_contig19	contig_12	90.95		False
1703	2436	261040	261773	lm_ill_lm_contig10	contig_12	92.28		False
935	1665	261938	261208	lm_ill_lm_contig11	contig_12	91.24		False
2007	2579	265211	264639	lm_ill_lm_contig11	contig_12	91.62		False
1932	2006	265287	265213	lm_ill_lm_contig11	contig_12	93.33		False
18222	18293	376358	376429	bs_ill_bs_contig20	contig_12	100.0		False
99075	99146	376429	376358	bs_ill_bs_contig3	contig_12	100.0		False
461	532	376429	376358	lm_ill_lm_contig29	contig_12	100.0		False
34981	35053	376357	376429	bs_ill_bs_contig15	contig_12	100.0		False
1141	1216	376354	376429	lm_ill_lm_contig1	contig_12	100.0		False
782245	782323	376435	376357	lm_ill_lm_contig1	contig_12	100.0		False
106	324	376670	376893	sa_ill_sa_contig25	contig_12	91.56		False
666	745	597066	596987	lm_ill_lm_contig1	contig_12	97.5		False
18712	18794	597163	597245	ef_ill_ef_contig14	contig_12	90.36		False
782151	782225	597343	597417	lm_ill_lm_contig1	contig_12	100.0		False
18914	18992	597339	597417	ef_ill_ef_contig14	contig_12	98.73		False
398	640	597508	597264	lm_ill_lm_contig1	contig_12	99.18		False
19002	19075	597521	597594	ef_ill_ef_contig14	contig_12	97.3		False
782251	782322	597651	597722	lm_ill_lm_contig1	contig_12	100.0		False
1145	1217	597722	597650	lm_ill_lm_contig1	contig_12	100.0		False
34982	35054	597722	597650	bs_ill_bs_contig15	contig_12	100.0		False
18222	18295	597722	597649	bs_ill_bs_contig20	contig_12	100.0		False
19096	19173	597645	597722	ef_ill_ef_contig14	contig_12	98.72		False
99073	99150	597649	597726	bs_ill_bs_contig3	contig_12	97.44		False
786378	786452	597854	597928	lm_ill_lm_contig1	contig_12	100.0		False
938	1014	597930	597854	lm_ill_lm_contig1	contig_12	100.0		False
232021	232164	597847	597990	lm_ill_lm_contig5	contig_12	100.0		False
497	577	598239	598319	sa_ill_sa_contig41	contig_12	92.59		False
1	277	598407	598131	bs_ill_bs_contig13	contig_12	91.07		False
129	701	598237	598809	lf_ill_lf_contig82	contig_12	96.16		False
589	1151	598331	598893	sa_ill_sa_contig41	contig_12	93.25		False
4406	4488	599141	599059	pa_ill_pa_contig44	contig_12	97.59		False
3783	3865	599141	599059	ec_ill_ec_contig65	contig_12	97.59		False
968	1050	599059	599141	se_ill_se_contig42	contig_12	97.59		False
3577	3824	599146	598899	lf_ill_lf_contig57	contig_12	94.35		False
3443	3552	599280	599171	lf_ill_lf_contig57	contig_12	93.64		False
1158	1540	598900	599282	sa_ill_sa_contig41	contig_12	94.78		False
1559	1639	599302	599382	sa_ill_sa_contig41	contig_12	97.53		False
1	1065	598353	599417	bs_ill_bs_contig839	contig_12	95.6		False
3315	3430	599419	599304	lf_ill_lf_contig57	contig_12	97.41		False
1871	2057	599612	599798	sa_ill_sa_contig41	contig_12	90.37		False
2099	2316	599845	600062	sa_ill_sa_contig41	contig_12	91.74		False
2566	2641	600168	600093	lf_ill_lf_contig57	contig_12	90.79		False
214	2426	598129	600353	ef_ill_ef_contig17	contig_12	90.0		False
108	910	599612	600420	bs_ill_bs_contig991	contig_12	91.87		False
2079	2322	600653	600410	lf_ill_lf_contig57	contig_12	91.39		False
47	293	600409	600655	ef_ill_ef_contig25	contig_12	92.31		False
2614	2917	600362	600665	sa_ill_sa_contig41	contig_12	93.09		False
386	515	600755	600884	ef_ill_ef_contig25	contig_12	91.54		False
2985	3136	600734	600885	sa_ill_sa_contig41	contig_12	92.11		False
1684	1803	601049	600930	lf_ill_lf_contig57	contig_12	90.0		False
543	680	600912	601049	ef_ill_ef_contig25	contig_12	93.48		False
83	720	601061	600425	bs_ill_bs_contig1146	contig_12	90.39		False
689	759	601234	601304	sa_ill_sa_contig51	contig_12	98.59		False
701	773	601309	601237	ef_ill_ef_contig21	contig_12	100.0		False
862	935	601429	601356	lm_ill_lm_contig1	contig_12	100.0		False
82	155	601429	601356	ef_ill_ef_contig2	contig_12	100.0		False
3523	3637	601689	601803	se_ill_se_contig42	contig_12	93.91		False
1206	1320	601803	601689	ec_ill_ec_contig65	contig_12	93.91		False
3694	3767	601860	601933	se_ill_se_contig42	contig_12	91.89		False
1075	1149	601934	601860	ec_ill_ec_contig65	contig_12	90.67		False
904	1287	601934	601551	lf_ill_lf_contig57	contig_12	90.36		False
1397	1517	602221	602101	pa_ill_pa_contig44	contig_12	95.04		False
786	911	602221	602096	ec_ill_ec_contig65	contig_12	93.65		False
3937	4076	602101	602240	se_ill_se_contig42	contig_12	93.57		False
656	727	602352	602281	ec_ill_ec_contig65	contig_12	97.22		False
4115	4187	602280	602352	se_ill_se_contig42	contig_12	97.26		False
1201	1338	602418	602281	pa_ill_pa_contig44	contig_12	92.03		False
1	966	602822	601859	bs_ill_bs_contig933	contig_12	94.21		False
1	735	602836	602102	lf_ill_lf_contig57	contig_12	90.2		False
1	133	602768	602900	bs_ill_bs_contig3	contig_12	91.73		False
159	246	602926	603013	bs_ill_bs_contig3	contig_12	90.91		False
266	333	603035	603102	bs_ill_bs_contig3	contig_12	95.59		False
38	1590	601552	603102	sa_ill_sa_contig8	contig_12	90.82		False
245	1807	603102	601551	ef_ill_ef_contig19	contig_12	90.95		False
266	333	1146382	1146315	bs_ill_bs_contig3	contig_12	95.59		False
159	246	1146491	1146404	bs_ill_bs_contig3	contig_12	90.91		False
1	133	1146649	1146517	bs_ill_bs_contig3	contig_12	91.73		False
656	727	1147065	1147136	ec_ill_ec_contig65	contig_12	97.22		False
1201	1338	1146999	1147136	pa_ill_pa_contig44	contig_12	92.03		False
4115	4187	1147137	1147065	se_ill_se_contig42	contig_12	97.26		False
1	735	1146581	1147315	lf_ill_lf_contig57	contig_12	90.2		False
1397	1517	1147196	1147316	pa_ill_pa_contig44	contig_12	95.04		False
3937	4076	1147316	1147177	se_ill_se_contig42	contig_12	93.57		False
786	911	1147196	1147321	ec_ill_ec_contig65	contig_12	93.65		False
3694	3767	1147557	1147484	se_ill_se_contig42	contig_12	91.89		False
1075	1149	1147483	1147557	ec_ill_ec_contig65	contig_12	90.67		False
1	966	1146595	1147558	bs_ill_bs_contig933	contig_12	94.21		False
