S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207318	310075	1	102756	ec_ill_ec_contig2	contig_33	99.99		True
local misassembly
310191	312944	102757	105510	ec_ill_ec_contig2	contig_33	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303858	105600	ec_ill_ec_contig4	contig_33	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306829	303859	ec_ill_ec_contig65	contig_33	99.9		True
local misassembly
1	1463	308689	307227	ec_ill_ec_contig65	contig_33	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309056	346355	ec_ill_ec_contig39	contig_33	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346451	346779	ec_ill_ec_contig104	contig_33	91.19		True
indel: indel (> 5bp)
384	502	346780	346898	ec_ill_ec_contig104	contig_33	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346971	392277	ec_ill_ec_contig15	contig_33	99.94		True
local misassembly
45064	105217	392292	452446	ec_ill_ec_contig15	contig_33	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452447	453678	ec_ill_ec_contig79	contig_33	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453679	514091	ec_ill_ec_contig31	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514279	857494	ec_ill_ec_contig1	contig_33	99.99		True
local misassembly
343563	393863	857495	907794	ec_ill_ec_contig1	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980755	907795	ec_ill_ec_contig16	contig_33	99.99		True
local misassembly
1	31383	1012137	980756	ec_ill_ec_contig16	contig_33	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015165	1012139	ec_ill_ec_contig65	contig_33	99.93		True
local misassembly
1	1463	1017032	1015569	ec_ill_ec_contig65	contig_33	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058580	1017303	ec_ill_ec_contig37	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059501	1058581	ec_ill_ec_contig83	contig_33	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059502	1206998	ec_ill_ec_contig7	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206999	1208922	ec_ill_ec_contig73	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209484	1208923	ec_ill_ec_contig91	contig_33	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209485	1210129	ec_ill_ec_contig94	contig_33	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210383	1212111	ec_ill_ec_contig75	contig_33	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212560	1213045	ec_ill_ec_contig104	contig_33	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1221018	1213113	ec_ill_ec_contig60	contig_33	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222140	1221019	ec_ill_ec_contig80	contig_33	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93076	1222141	1315213	ec_ill_ec_contig20	contig_33	99.99		True
local misassembly
93043	93344	1315681	1315984	ec_ill_ec_contig20	contig_33	99.44		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1979	1315985	1317962	ec_ill_ec_contig73	contig_33	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1318524	1317963	ec_ill_ec_contig91	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1318525	1319150	ec_ill_ec_contig94	contig_33	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1319151	1390995	ec_ill_ec_contig25	contig_33	99.94		True
local misassembly [fragmentation of reference genome]
1	5324	1396428	1391103	ec_ill_ec_contig64	contig_33	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396711	1412780	ec_ill_ec_contig53	contig_33	99.98		True
translocation
26703	27345	1412781	1413423	ec_ill_ec_contig46	contig_33	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1413424	1413878	ec_ill_ec_contig101	contig_33	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2582	1416459	1413879	ec_ill_ec_contig70	contig_33	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	2425	1416742	1419166	ec_ill_ec_contig72	contig_33	100.0		True
translocation
4875	5324	1419167	1419616	ec_ill_ec_contig64	contig_33	100.0		True
fake: not a misassembly [fragmentation of reference genome]
71245	71855	1420329	1419719	ec_ill_ec_contig25	contig_33	97.25		True
translocation
1	22687	1443015	1420330	ec_ill_ec_contig48	contig_33	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	1443016	1443575	ec_ill_ec_contig92	contig_33	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	1443576	1444932	ec_ill_ec_contig77	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	1445446	1444933	ec_ill_ec_contig97	contig_33	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111087	1556532	1445447	ec_ill_ec_contig12	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1556717	1558180	ec_ill_ec_contig65	contig_33	99.86		True
local misassembly
1876	4847	1558501	1561472	ec_ill_ec_contig65	contig_33	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	88468	1649933	1561473	ec_ill_ec_contig23	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1650337	1651800	ec_ill_ec_contig65	contig_33	99.86		True
local misassembly
1876	4902	1652213	1655242	ec_ill_ec_contig65	contig_33	99.67		True
fake: not a misassembly [fragmentation of reference genome]
1	53688	1655462	1709147	ec_ill_ec_contig33	contig_33	99.99		True
local misassembly [fragmentation of reference genome]
1	71920	1709148	1781066	ec_ill_ec_contig24	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1463	1781465	1782928	ec_ill_ec_contig65	contig_33	99.86		True
local misassembly
1876	4902	1783249	1786275	ec_ill_ec_contig65	contig_33	99.7		True
fake: not a misassembly [fragmentation of reference genome]
1	4268	1790762	1786495	ec_ill_ec_contig66	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1790763	1791683	ec_ill_ec_contig83	contig_33	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30843	1822525	1791684	ec_ill_ec_contig43	contig_33	99.98		True
translocation
56	399	1822867	1822526	ec_ill_ec_contig6	contig_33	98.24		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1463	1822868	1824331	ec_ill_ec_contig65	contig_33	99.93		True
local misassembly
1876	4902	1824652	1827677	ec_ill_ec_contig65	contig_33	99.47		True
fake: not a misassembly [fragmentation of reference genome]
1	3011	1827679	1830689	ec_ill_ec_contig8	contig_33	99.95		True
indel: stretch of mismatches
3012	83127	1830690	1910706	ec_ill_ec_contig8	contig_33	99.86		True
local misassembly
82979	138617	1910897	1966534	ec_ill_ec_contig8	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	1967087	1966602	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	30252	1967183	1997443	ec_ill_ec_contig44	contig_33	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	107753	2105390	1997635	ec_ill_ec_contig14	contig_33	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1166	2105391	2106501	ec_ill_ec_contig81	contig_33	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	9696	2106502	2116196	ec_ill_ec_contig59	contig_33	99.99		True
indel: indel (<= 5bp) [fragmentation of reference genome]
56	502	2116718	2116269	ec_ill_ec_contig104	contig_33	99.01		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3545	2116719	2120262	ec_ill_ec_contig67	contig_33	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	744	2120951	2120263	ec_ill_ec_contig89	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	89591	2210540	2120952	ec_ill_ec_contig21	contig_33	99.98		True
fake: not a misassembly [fragmentation of reference genome]
42469	50645	2218932	2210756	ec_ill_ec_contig35	contig_33	99.89		True
local misassembly
1	42569	2261499	2218933	ec_ill_ec_contig35	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2262732	2261500	ec_ill_ec_contig79	contig_33	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3185	2265917	2262733	ec_ill_ec_contig68	contig_33	100.0		True
local misassembly [fragmentation of reference genome]
22	507	2266013	2266498	ec_ill_ec_contig104	contig_33	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	21779	2288342	2266566	ec_ill_ec_contig49	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
22	507	2288896	2288411	ec_ill_ec_contig104	contig_33	91.77		True
local misassembly [fragmentation of reference genome]
1	181861	2470762	2288992	ec_ill_ec_contig6	contig_33	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1463	2470763	2472170	ec_ill_ec_contig65	contig_33	99.52		True
local misassembly
1876	4847	2472583	2475555	ec_ill_ec_contig65	contig_33	99.5		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17355	2492912	2475556	ec_ill_ec_contig52	contig_33	99.9		True
local misassembly [fragmentation of reference genome]
6	105426	2493531	2598951	ec_ill_ec_contig5	contig_33	99.79		True
local misassembly
105527	184250	2598952	2677675	ec_ill_ec_contig5	contig_33	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2678908	2677676	ec_ill_ec_contig79	contig_33	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	67050	2678909	2745956	ec_ill_ec_contig29	contig_33	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	59988	2746838	2806828	ec_ill_ec_contig32	contig_33	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	2806829	2808062	ec_ill_ec_contig79	contig_33	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
33156	119686	2894696	2808063	ec_ill_ec_contig10	contig_33	99.86		True
local misassembly
1	32653	2927349	2894697	ec_ill_ec_contig10	contig_33	100.0		True
