S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
46754	47071	3	320	pa_ill_pa_contig35	contig_125	98.43		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3149	998	pa_ill_pa_contig55	contig_125	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3150	235720	pa_ill_pa_contig10	contig_125	99.98		True
translocation
129	1718	235721	237310	pa_ill_pa_contig57	contig_125	100.0		True
translocation
232388	237415	237311	242337	pa_ill_pa_contig10	contig_125	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	244770	242338	pa_ill_pa_contig48	contig_125	99.6		True
local misassembly
1	1079	246004	244926	pa_ill_pa_contig48	contig_125	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	246005	246850	pa_ill_pa_contig70	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	249859	246851	pa_ill_pa_contig51	contig_125	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	367766	249860	pa_ill_pa_contig11	contig_125	99.98		True
local misassembly
1	92856	460623	367767	pa_ill_pa_contig11	contig_125	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	460624	461498	pa_ill_pa_contig69	contig_125	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	461499	510468	pa_ill_pa_contig34	contig_125	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	510469	516071	pa_ill_pa_contig44	contig_125	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	622398	516072	pa_ill_pa_contig22	contig_125	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	712927	622774	pa_ill_pa_contig23	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	712928	714013	pa_ill_pa_contig67	contig_125	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	714014	1179674	pa_ill_pa_contig3	contig_125	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1179675	1182132	pa_ill_pa_contig54	contig_125	99.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1182583	1182133	pa_ill_pa_contig83	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	1182584	1183451	pa_ill_pa_contig74	contig_125	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	1184255	1303260	pa_ill_pa_contig18	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	1303261	1308918	pa_ill_pa_contig44	contig_125	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	1308919	1309756	pa_ill_pa_contig63	contig_125	100.0		True
translocation
56	1405	1311106	1309757	pa_ill_pa_contig12	contig_125	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
