S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	103	126235	126337	sa_ill_sa_contig29	contig_10	99.03		False
337	638	126355	126054	sa_ill_sa_contig54	contig_10	90.73		False
1	370	126071	126440	sa_ill_sa_contig46	contig_10	91.35		False
410	549	126480	126619	sa_ill_sa_contig46	contig_10	92.86		False
1230	1434	126465	126669	sa_ill_sa_contig46	contig_10	90.24		False
1654	1727	126876	126949	sa_ill_sa_contig46	contig_10	93.24		False
1	280	126893	127172	sa_ill_sa_contig46	contig_10	91.07		False
1	120	127057	127176	sa_ill_sa_contig29	contig_10	92.5		False
1287	1420	127345	127478	sa_ill_sa_contig46	contig_10	97.76		False
287	451	127344	127508	sa_ill_sa_contig29	contig_10	92.12		False
334	638	128003	127699	sa_ill_sa_contig54	contig_10	90.16		False
3124	3352	448001	448229	sa_ill_sa_contig35	contig_10	93.01		False
3411	3583	448234	448406	sa_ill_sa_contig35	contig_10	95.38		False
3584	3906	448491	448813	sa_ill_sa_contig35	contig_10	95.05		False
2568	3906	447445	448813	sa_ill_sa_contig35	contig_10	91.24		False
13097	13239	464994	465136	sa_ill_sa_contig35	contig_10	97.9		False
29935	30062	465226	465097	sa_ill_sa_contig27	contig_10	93.85		False
1	162	465226	465063	sa_ill_sa_contig53	contig_10	93.29		False
13419	13639	465180	465400	sa_ill_sa_contig35	contig_10	91.44		False
30669	30897	465400	465172	sa_ill_sa_contig27	contig_10	91.7		False
29935	30062	466097	465970	sa_ill_sa_contig27	contig_10	94.53		False
41686	41771	496904	496989	sa_ill_sa_contig19	contig_10	94.19		False
207021	207093	496975	497047	sa_ill_sa_contig3	contig_10	95.89		False
126	348	496917	497138	sa_ill_sa_contig31	contig_10	91.67		False
31786	31950	496975	497139	sa_ill_sa_contig10	contig_10	96.36		False
78636	78790	496991	497145	sa_ill_sa_contig8	contig_10	98.71		False
34638	34810	497151	496979	sa_ill_sa_contig6	contig_10	99.42		False
46303	46464	496991	497152	sa_ill_sa_contig4	contig_10	98.15		False
206209	206371	496991	497153	sa_ill_sa_contig2	contig_10	98.77		False
70243	70357	646385	646499	sa_ill_sa_contig12	contig_10	98.26		False
46187	46447	646721	646461	sa_ill_sa_contig14	contig_10	94.64		False
98002	98191	646932	646743	sa_ill_sa_contig11	contig_10	97.89		False
98002	98221	646932	646714	sa_ill_sa_contig11	contig_10	96.82		False
45846	46038	646935	646743	sa_ill_sa_contig14	contig_10	98.45		False
106941	107135	646935	646741	sa_ill_sa_contig3	contig_10	98.46		False
