All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50    NGA75    LGA50  LGA75
MP_helen_r10_bins_1   8                       8                        8                        8                        30861647                   30861647                    30861647                    30861647                    8          6792153         30861647      6728151           49.51   66.21             4757946  6792153  2992064  6792153  3    1     5    1     6                1                       6792153                      11                     0                         0                         7                         0 + 8 part           24042643          99.894               1.015              0.00               56.29                     5.45                  1643815            6815252               1274462  1070325  3      4    
MP_helen_r10_bins_2   8                       8                        8                        8                        30864927                   30864927                    30864927                    30864927                    8          6792196         30864927      6728151           49.51   66.21             4757846  6792196  2992055  6792196  3    1     5    1     6                1                       6792196                      11                     0                         0                         7                         0 + 8 part           24046657          99.894               1.014              0.00               55.48                     5.18                  1643826            6814518               1274461  1070325  3      4    
MP_helen_r10_bins_3   8                       8                        8                        8                        30862476                   30862476                    30862476                    30862476                    8          6792204         30862476      6728151           49.51   66.21             4757780  6792204  2992078  6792204  3    1     5    1     6                1                       6792204                      11                     0                         0                         7                         0 + 8 part           24044196          99.894               1.014              0.00               55.20                     3.81                  2052278            6814997               1643773  1070208  2      4    
MP_r10_bins_1         8                       8                        8                        8                        30867341                   30867341                    30867341                    30867341                    8          6792195         30867341      6728151           49.50   66.21             4758962  6792195  2992084  6792195  3    1     5    1     8                1                       6792195                      11                     0                         0                         7                         0 + 8 part           24047730          99.894               1.015              0.00               59.25                     5.88                  1643836            6815859               1274471  1070339  3      4    
MP_r10_bins_2         8                       8                        8                        8                        30868189                   30868189                    30868189                    30868189                    8          6792258         30868189      6728151           49.50   66.21             4758994  6792258  2992059  6792258  3    1     5    1     6                1                       6792258                      11                     0                         0                         7                         0 + 8 part           24049851          99.894               1.015              0.00               57.91                     5.49                  1643839            6814586               1274471  1070339  3      4    
MP_r10_bins_3         8                       8                        8                        8                        30867430                   30867430                    30867430                    30867430                    8          6792206         30867430      6728151           49.50   66.21             4758970  6792206  2992095  6792206  3    1     5    1     8                1                       6792206                      11                     0                         0                         7                         0 + 8 part           24048222          99.894               1.015              0.00               58.56                     5.71                  1643777            6815908               1188534  1070192  3      4    
r1_medaka_r10_bins_1  8                       8                        8                        8                        30864833                   30864833                    30864833                    30864833                    8          6792241         30864833      6728151           49.50   66.21             4758583  6792241  2992070  6792241  3    1     5    1     6                1                       6792241                      11                     0                         0                         7                         0 + 8 part           24045077          99.894               1.015              0.00               56.56                     3.59                  1643845            6816004               1274468  1070330  3      4    
r1_medaka_r10_bins_2  8                       8                        8                        8                        30867104                   30867104                    30867104                    30867104                    8          6792240         30867104      6728151           49.50   66.21             4758586  6792240  2992047  6792240  3    1     5    1     6                1                       6792240                      11                     0                         0                         7                         0 + 8 part           24048537          99.894               1.015              0.00               55.35                     3.66                  1643844            6814815               1274469  1070333  3      4    
r1_medaka_r10_bins_3  8                       8                        8                        8                        30865019                   30865019                    30865019                    30865019                    8          6792231         30865019      6728151           49.50   66.21             4758587  6792231  2992077  6792231  3    1     5    1     6                1                       6792231                      11                     0                         0                         7                         0 + 8 part           24046109          99.894               1.015              0.00               55.77                     3.59                  2052326            6815627               1643772  1070188  2      4    
r2_medaka_r10_bins_1  8                       8                        8                        8                        30857195                   30857195                    30857195                    30857195                    8          6792247         30857195      6728151           49.50   66.21             4758100  6792247  2992072  6792247  3    1     5    1     6                1                       6792247                      11                     0                         0                         6                         0 + 8 part           24037819          99.894               1.015              0.00               56.02                     3.59                  1643846            6815624               1274472  1070330  3      4    
r2_medaka_r10_bins_2  8                       8                        8                        8                        30860390                   30860390                    30860390                    30860390                    8          6792237         30860390      6728151           49.50   66.21             4758114  6792237  2992049  6792237  3    1     5    1     6                1                       6792237                      11                     0                         0                         7                         0 + 8 part           24041340          99.894               1.015              0.00               55.89                     3.76                  1643841            6815298               1274470  1070331  3      4    
r2_medaka_r10_bins_3  8                       8                        8                        8                        30858038                   30858038                    30858038                    30858038                    8          6792231         30858038      6728151           49.50   66.21             4758101  6792231  2992076  6792231  3    1     5    1     6                1                       6792231                      11                     0                         0                         7                         0 + 8 part           24039429          99.894               1.015              0.00               55.29                     3.57                  2052324            6815326               1643777  1070186  2      4    
racon_r1_r10_bins_1   8                       8                        8                        8                        30851337                   30851337                    30851337                    30851337                    8          6791608         30851337      6728151           49.49   66.21             4757934  6791608  2991922  6791608  3    1     5    1     6                1                       6791608                      11                     0                         0                         7                         0 + 8 part           24032724          99.894               1.015              0.00               58.46                     14.16                 1643669            6814861               1274332  1070260  3      4    
racon_r1_r10_bins_2   8                       8                        8                        8                        30856276                   30856276                    30856276                    30856276                    8          6791632         30856276      6728151           49.49   66.21             4757908  6791632  2991946  6791632  3    1     5    1     6                1                       6791632                      11                     0                         0                         7                         0 + 8 part           24039288          99.894               1.014              0.00               56.66                     13.66                 1643678            6813236               1274331  1070256  3      4    
racon_r1_r10_bins_3   8                       8                        8                        8                        30850927                   30850927                    30850927                    30850927                    8          6791594         30850927      6728151           49.49   66.21             4757887  6791594  2991934  6791594  3    1     5    1     6                1                       6791594                      11                     0                         0                         7                         0 + 8 part           24033116          99.894               1.014              0.00               57.57                     13.78                 2052173            6814529               1643599  1070099  2      4    
racon_r2_r10_bins_1   8                       8                        8                        8                        30846769                   30846769                    30846769                    30846769                    8          6791690         30846769      6728151           49.49   66.21             4757853  6791690  2991954  6791690  3    1     5    1     6                1                       6791690                      11                     0                         0                         6                         0 + 8 part           24028398          99.894               1.015              0.00               58.25                     12.50                 1643691            6814619               1274366  1070257  3      4    
racon_r2_r10_bins_2   8                       8                        8                        8                        30852342                   30852342                    30852342                    30852342                    8          6791710         30852342      6728151           49.50   66.21             4757839  6791710  2991964  6791710  3    1     5    1     6                1                       6791710                      11                     0                         0                         7                         0 + 8 part           24034056          99.894               1.014              0.00               58.34                     13.03                 1643705            6814534               1274358  1070262  3      4    
racon_r2_r10_bins_3   8                       8                        8                        8                        30844210                   30844210                    30844210                    30844210                    8          6791707         30844210      6728151           49.49   66.21             4757857  6791707  2991975  6791707  3    1     5    1     6                1                       6791707                      11                     0                         0                         7                         0 + 8 part           24026484          99.894               1.014              0.00               57.51                     12.96                 2052196            6814444               1643642  1070117  2      4    
raw_r10_bins_1        8                       8                        8                        8                        30847938                   30847938                    30847938                    30847938                    8          6787702         30847938      6728151           49.48   66.21             4755983  6787702  2990633  6787702  3    1     5    1     9                1                       6787702                      29                     0                         0                         6                         0 + 8 part           24077032          99.863               1.008              0.00               64.74                     97.03                 2098266            6768420               1471342  610112   2      4    
raw_r10_bins_2        8                       8                        8                        8                        30850309                   30850309                    30850309                    30850309                    8          6787718         30850309      6728151           49.48   66.21             4756088  6787718  2990279  6787718  3    1     5    1     10               1                       6787718                      29                     0                         0                         7                         0 + 8 part           24079252          99.864               1.008              0.00               64.86                     96.80                 2098268            6768571               1471391  610115   2      4    
raw_r10_bins_3        8                       8                        8                        8                        30849039                   30849039                    30849039                    30849039                    8          6788614         30849039      6728151           49.48   66.21             4755683  6788614  2990261  6788614  3    1     5    1     10               1                       6788614                      24                     0                         0                         6                         0 + 8 part           24076394          99.875               1.008              0.00               65.35                     97.39                 2098661            6770126               1471541  569700   2      4    
