Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_2bins_1_MP	7	7	7	7	24075406	24075406	24075406	24075406	7	4766016	24075406	1805517	44.80	52.72	4045595	4766016	2845426	4766016	3	1	5	1	74	1	1947363	12	0	0	6	0 + 7 part	22083235	99.936	1.104	0.00	267.33	11.58	177205	1988417	89790	35505	8	16
r10_2bins_1_MP_helen	7	7	7	7	24070890	24070890	24070890	24070890	7	4765867	24070890	1805517	44.80	52.72	4045617	4765867	2845369	4765867	3	1	5	1	73	1	1945924	15	0	0	6	0 + 7 part	22080532	99.865	1.104	0.00	266.13	11.09	177204	1986604	88405	35503	8	16
r10_2bins_1_r1_medaka	7	7	7	7	24072753	24072753	24072753	24072753	7	4765431	24072753	1805517	44.80	52.72	4045595	4765431	2845429	4765431	3	1	5	1	74	1	1946055	31	0	0	6	0 + 7 part	22086147	99.927	1.101	0.00	297.73	14.52	173115	1980576	89889	34836	8	17
r10_2bins_1_r2_medaka	7	7	7	7	24062203	24062203	24062203	24062203	7	4765364	24062203	1805517	44.80	52.72	4045588	4765364	2845431	4765364	3	1	5	1	78	1	1936041	30	0	0	6	0 + 7 part	22085384	99.923	1.096	0.00	274.40	10.53	177199	1970889	81505	35032	8	17
r10_2bins_1_racon_r1	7	7	7	7	24060263	24060263	24060263	24060263	7	4764829	24060263	1805517	44.79	52.72	4045225	4764829	2845288	4764829	3	1	5	1	74	1	1934715	45	0	0	6	0 + 7 part	22081110	99.891	1.097	0.00	266.17	56.01	173026	1975644	81598	34816	8	17
r10_2bins_1_racon_r2	7	7	7	7	24054195	24054195	24054195	24054195	7	4764690	24054195	1805517	44.78	52.72	4045305	4764690	2845343	4764690	3	1	5	1	80	1	1928577	35	0	0	6	0 + 7 part	22079991	99.894	1.095	0.00	268.05	53.79	177108	1968327	81441	34890	8	17
r10_2bins_1_raw	7	7	7	7	24062019	24062019	24062019	24062019	7	4764018	24062019	1805517	44.77	52.72	4042957	4764018	2843857	4764018	3	1	5	1	76	1	1945528	29	0	0	6	0 + 7 part	22110443	99.873	1.082	0.00	360.29	349.80	177004	1945838	69730	34945	8	18
r10_2bins_2_MP	7	7	7	7	24074923	24074923	24074923	24074923	7	4765469	24074923	1805517	44.80	52.72	4045604	4765469	2845426	4765469	3	1	5	1	74	1	1947395	12	0	0	6	0 + 7 part	22082790	99.936	1.104	0.00	267.16	12.08	177206	1988386	89792	35504	8	16
r10_2bins_2_MP_helen	7	7	7	7	24071344	24071344	24071344	24071344	7	4765339	24071344	1805517	44.80	52.72	4045620	4765339	2845369	4765339	3	1	5	1	73	1	1946836	12	0	0	6	0 + 7 part	22079536	99.943	1.104	0.00	267.64	13.91	177204	1985729	89688	35032	8	17
r10_2bins_2_r1_medaka	7	7	7	7	24072870	24072870	24072870	24072870	7	4765413	24072870	1805517	44.80	52.72	4045593	4765413	2845430	4765413	3	1	5	1	73	1	1946184	29	0	0	6	0 + 7 part	22085840	99.908	1.102	0.00	292.08	12.64	177201	1983441	89898	35033	8	17
r10_2bins_2_r2_medaka	7	7	7	7	24062184	24062184	24062184	24062184	7	4765389	24062184	1805517	44.80	52.72	4045591	4765389	2845431	4765389	3	1	5	1	77	1	1935951	30	0	0	6	0 + 7 part	22083946	99.885	1.097	0.00	282.77	12.92	177197	1972337	81317	35032	8	17
r10_2bins_2_racon_r1	7	7	7	7	24061558	24061558	24061558	24061558	7	4765359	24061558	1805517	44.79	52.72	4045221	4765359	2845286	4765359	3	1	5	1	74	1	1935382	44	0	0	6	0 + 7 part	22080616	99.896	1.098	0.00	268.38	59.50	176864	1977468	81493	35008	8	17
