S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
56	1257	1202	1	pa_ill_pa_contig64	contig_138	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	296366	1203	pa_ill_pa_contig2	contig_138	99.99		True
local misassembly
1	247083	543450	296367	pa_ill_pa_contig2	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	543451	543880	pa_ill_pa_contig84	contig_138	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	547655	543881	pa_ill_pa_contig47	contig_138	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	547656	548168	pa_ill_pa_contig78	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	548169	549098	pa_ill_pa_contig72	contig_138	98.39		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	549226	551774	pa_ill_pa_contig52	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	956441	552133	pa_ill_pa_contig4	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	956442	957799	pa_ill_pa_contig62	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	957800	1080269	pa_ill_pa_contig16	contig_138	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	1133956	1080684	pa_ill_pa_contig33	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1134449	1133957	pa_ill_pa_contig79	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	1169621	1134450	pa_ill_pa_contig26	contig_138	99.98		True
local misassembly
1	41228	1210850	1169622	pa_ill_pa_contig26	contig_138	99.99		True
translocation
56	770	1211559	1210851	pa_ill_pa_contig20	contig_138	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	1217012	1211560	pa_ill_pa_contig45	contig_138	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	1217013	1285433	pa_ill_pa_contig27	contig_138	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	1291040	1285434	pa_ill_pa_contig44	contig_138	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	1379036	1291041	pa_ill_pa_contig24	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	1379037	1380123	pa_ill_pa_contig67	contig_138	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	1380124	1674710	pa_ill_pa_contig5	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	1674711	1675527	pa_ill_pa_contig73	contig_138	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	35776	1675528	1711303	pa_ill_pa_contig37	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	1714324	1712173	pa_ill_pa_contig55	contig_138	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	1714325	1946896	pa_ill_pa_contig10	contig_138	99.98		True
translocation
129	1718	1946897	1948486	pa_ill_pa_contig57	contig_138	100.0		True
translocation
232388	237415	1948487	1953513	pa_ill_pa_contig10	contig_138	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1955946	1953514	pa_ill_pa_contig48	contig_138	99.6		True
local misassembly
1	1079	1957180	1956102	pa_ill_pa_contig48	contig_138	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	1957181	1958026	pa_ill_pa_contig70	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	1961035	1958027	pa_ill_pa_contig51	contig_138	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	2078942	1961036	pa_ill_pa_contig11	contig_138	99.98		True
local misassembly
1	92856	2171799	2078943	pa_ill_pa_contig11	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	2171800	2172674	pa_ill_pa_contig69	contig_138	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	2172675	2221645	pa_ill_pa_contig34	contig_138	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	2221646	2227248	pa_ill_pa_contig44	contig_138	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	2333574	2227249	pa_ill_pa_contig22	contig_138	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	2424103	2333950	pa_ill_pa_contig23	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	2424104	2425189	pa_ill_pa_contig67	contig_138	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	2425190	2890850	pa_ill_pa_contig3	contig_138	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	2890851	2893308	pa_ill_pa_contig54	contig_138	99.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	2893759	2893309	pa_ill_pa_contig83	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	2893760	2894627	pa_ill_pa_contig74	contig_138	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	2895431	3014436	pa_ill_pa_contig18	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	3014437	3020094	pa_ill_pa_contig44	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	3020095	3020932	pa_ill_pa_contig63	contig_138	100.0		True
translocation
56	1405	3022282	3020933	pa_ill_pa_contig12	contig_138	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1437	3022283	3023719	pa_ill_pa_contig61	contig_138	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21904	3023720	3045623	pa_ill_pa_contig41	contig_138	100.0		True
