S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	80328	80435	1	sa_ill_sa_contig6	contig_10	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	80436	80968	sa_ill_sa_contig63	contig_10	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	124515	80969	sa_ill_sa_contig18	contig_10	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	124516	126189	sa_ill_sa_contig46	contig_10	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	857	127576	126719	sa_ill_sa_contig54	contig_10	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	26180	127942	154136	sa_ill_sa_contig29	contig_10	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	154137	158719	sa_ill_sa_contig40	contig_10	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	164040	158720	sa_ill_sa_contig38	contig_10	99.87		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	168626	164041	sa_ill_sa_contig40	contig_10	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130429	168627	299062	sa_ill_sa_contig9	contig_10	99.75		True
translocation
71	20896	299063	319902	sa_ill_sa_contig32	contig_10	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	319903	320386	sa_ill_sa_contig65	contig_10	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	720	322172	321508	sa_ill_sa_contig60	contig_10	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	125486	447924	322173	sa_ill_sa_contig10	contig_10	99.69		True
fake: not a misassembly [fragmentation of reference genome]
1	13692	448656	462359	sa_ill_sa_contig35	contig_10	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2978	462360	465285	sa_ill_sa_contig43	contig_10	99.53		True
fake: not a misassembly [fragmentation of reference genome]
56	861	466212	465404	sa_ill_sa_contig53	contig_10	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30897	497131	466213	sa_ill_sa_contig27	contig_10	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	646726	497177	sa_ill_sa_contig5	contig_10	99.53		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	779143	647068	sa_ill_sa_contig8	contig_10	99.83		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	782640	779515	sa_ill_sa_contig41	contig_10	99.65		True
translocation
1	34367	782805	817195	sa_ill_sa_contig25	contig_10	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	817728	817196	sa_ill_sa_contig63	contig_10	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	817729	856533	sa_ill_sa_contig22	contig_10	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
19	34443	856534	890973	sa_ill_sa_contig24	contig_10	99.85		True
translocation
1	1604	892577	890974	sa_ill_sa_contig8	contig_10	99.47		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	896115	892995	sa_ill_sa_contig41	contig_10	99.81		True
translocation
