S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_100	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_100	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2996	2513	sa_ill_sa_contig65	contig_100	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226522	2997	sa_ill_sa_contig1	contig_100	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226523	227853	sa_ill_sa_contig48	contig_100	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326511	227854	sa_ill_sa_contig11	contig_100	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326512	333600	sa_ill_sa_contig36	contig_100	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355397	333601	sa_ill_sa_contig30	contig_100	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355398	356108	sa_ill_sa_contig55	contig_100	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370323	356109	sa_ill_sa_contig34	contig_100	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370477	403473	sa_ill_sa_contig26	contig_100	99.81		True
local misassembly [fragmentation of reference genome]
2	925	403678	404595	sa_ill_sa_contig51	contig_100	98.06		True
translocation
198	3323	405150	408275	sa_ill_sa_contig41	contig_100	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408697	410302	sa_ill_sa_contig8	contig_100	99.53		True
translocation
1	28120	410303	438428	sa_ill_sa_contig28	contig_100	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438433	478175	sa_ill_sa_contig21	contig_100	99.84		True
local misassembly [fragmentation of reference genome]
98092	98471	478554	478176	sa_ill_sa_contig11	contig_100	97.97		True
translocation
1	62604	478555	541035	sa_ill_sa_contig14	contig_100	99.6		True
local misassembly
62396	62502	541085	541191	sa_ill_sa_contig14	contig_100	98.6		True
translocation
203	3323	541192	544310	sa_ill_sa_contig41	contig_100	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544730	546330	sa_ill_sa_contig8	contig_100	99.36		True
translocation
19	34443	580771	546331	sa_ill_sa_contig24	contig_100	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619571	580772	sa_ill_sa_contig22	contig_100	99.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619572	620104	sa_ill_sa_contig63	contig_100	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654499	620105	sa_ill_sa_contig25	contig_100	99.82		True
translocation
203	3323	654664	657789	sa_ill_sa_contig41	contig_100	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	658162	790207	sa_ill_sa_contig8	contig_100	99.85		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	790549	940087	sa_ill_sa_contig5	contig_100	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	940133	971038	sa_ill_sa_contig27	contig_100	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	971039	971848	sa_ill_sa_contig53	contig_100	99.42		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	974890	971967	sa_ill_sa_contig43	contig_100	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	988595	974891	sa_ill_sa_contig35	contig_100	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	989327	1115107	sa_ill_sa_contig10	contig_100	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	1115108	1115772	sa_ill_sa_contig60	contig_100	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	1117376	1116892	sa_ill_sa_contig65	contig_100	99.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	1138211	1117377	sa_ill_sa_contig32	contig_100	99.86		True
translocation
