S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1196	se_ill_se_contig56	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1197	52855	se_ill_se_contig27	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350706	52856	se_ill_se_contig2	contig_99	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350707	351099	se_ill_se_contig69	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355166	351100	se_ill_se_contig46	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355167	358838	se_ill_se_contig47	contig_99	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358839	360616	se_ill_se_contig53	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361103	360617	se_ill_se_contig63	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85995	162102	437233	361104	se_ill_se_contig11	contig_99	99.84		True
local misassembly
1	86096	523327	437234	se_ill_se_contig11	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524468	523328	se_ill_se_contig56	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524469	538193	se_ill_se_contig4	contig_99	100.0		True
local misassembly
13844	16547	538194	540897	se_ill_se_contig4	contig_99	98.98		True
local misassembly
16782	245298	540898	769418	se_ill_se_contig4	contig_99	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769419	771151	se_ill_se_contig54	contig_99	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771152	771997	se_ill_se_contig58	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	771998	773511	se_ill_se_contig55	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773512	773943	se_ill_se_contig65	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774434	773944	se_ill_se_contig64	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774435	779155	se_ill_se_contig43	contig_99	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784365	779156	se_ill_se_contig41	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805517	784366	se_ill_se_contig37	contig_99	100.0		True
translocation
103637	104041	805518	805922	se_ill_se_contig19	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	805923	808309	se_ill_se_contig42	contig_99	99.96		True
translocation
1	660	808324	808983	se_ill_se_contig60	contig_99	100.0		True
translocation
3345	5023	809167	810845	se_ill_se_contig42	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	810846	859981	se_ill_se_contig7	contig_99	100.0		True
inversion
49137	50103	860948	859982	se_ill_se_contig7	contig_99	100.0		True
inversion
50104	198853	860949	1009698	se_ill_se_contig7	contig_99	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1010839	1009699	se_ill_se_contig56	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038520	1010840	se_ill_se_contig35	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038521	1039661	se_ill_se_contig56	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1039662	1091392	se_ill_se_contig26	contig_99	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269245	1091572	se_ill_se_contig10	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269246	1270386	se_ill_se_contig56	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1365171	1270387	se_ill_se_contig20	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1424132	1365172	se_ill_se_contig24	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427252	1424133	se_ill_se_contig48	contig_99	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1472112	1427253	se_ill_se_contig30	contig_99	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1472189	1474575	se_ill_se_contig42	contig_99	100.0		True
translocation
1	660	1474590	1475249	se_ill_se_contig60	contig_99	100.0		True
translocation
3345	5078	1475433	1477166	se_ill_se_contig42	contig_99	100.0		True
fake: not a misassembly [fragmentation of reference genome]
