S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	200282	200170	1	ec_ill_ec_contig2	contig_14	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	541	200171	200647	ec_ill_ec_contig98	contig_14	97.16		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	15362	215984	200648	ec_ill_ec_contig54	contig_14	99.62		True
fake: not a misassembly [fragmentation of reference genome]
22	507	216537	216052	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
10	97294	313834	216633	ec_ill_ec_contig19	contig_14	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	2582	313835	316354	ec_ill_ec_contig71	contig_14	91.95		True
fake: not a misassembly [fragmentation of reference genome]
1	578	316568	317132	ec_ill_ec_contig95	contig_14	91.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
3	7694	317133	324808	ec_ill_ec_contig61	contig_14	97.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	325259	324809	ec_ill_ec_contig101	contig_14	96.13		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27345	352564	325260	ec_ill_ec_contig46	contig_14	99.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	352565	353140	ec_ill_ec_contig96	contig_14	95.15		True
fake: not a misassembly [fragmentation of reference genome]
1	1970	355437	353475	ec_ill_ec_contig74	contig_14	96.58		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1029	356402	355438	ec_ill_ec_contig82	contig_14	95.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14377	356403	370780	ec_ill_ec_contig55	contig_14	99.78		True
translocation
1	384	371163	370781	ec_ill_ec_contig50	contig_14	94.08		True
fake: not a misassembly [fragmentation of reference genome]
1	18741	371689	390403	ec_ill_ec_contig51	contig_14	99.79		True
fake: not a misassembly [fragmentation of reference genome]
22	507	390956	390471	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	31688	391052	422708	ec_ill_ec_contig42	contig_14	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	12868	435566	422709	ec_ill_ec_contig57	contig_14	99.87		True
local misassembly [fragmentation of reference genome]
22	507	435662	436147	ec_ill_ec_contig104	contig_14	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	98775	534939	436215	ec_ill_ec_contig18	contig_14	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	536161	534940	ec_ill_ec_contig79	contig_14	94.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
57763	229060	707328	536162	ec_ill_ec_contig3	contig_14	99.69		True
local misassembly
1	57666	764962	707329	ec_ill_ec_contig3	contig_14	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	628	764963	765541	ec_ill_ec_contig96	contig_14	93.75		True
fake: not a misassembly [fragmentation of reference genome]
56	550	766389	765901	ec_ill_ec_contig102	contig_14	96.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	647	766982	766390	ec_ill_ec_contig93	contig_14	96.86		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	839	766983	767819	ec_ill_ec_contig88	contig_14	91.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
3	1084	768888	767820	ec_ill_ec_contig82	contig_14	95.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
54	910	768889	769771	ec_ill_ec_contig87	contig_14	96.38		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	580	769772	770303	ec_ill_ec_contig100	contig_14	93.4		True
fake: not a misassembly [fragmentation of reference genome]
1	13785	771248	785018	ec_ill_ec_contig56	contig_14	99.62		True
fake: not a misassembly [fragmentation of reference genome]
22	507	785571	785086	ec_ill_ec_contig104	contig_14	91.77		True
local misassembly [fragmentation of reference genome]
1	292	786434	786725	ec_ill_ec_contig13	contig_14	97.96		True
translocation
