S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
38187	38352	1	166	sa_ill_sa_contig23	contig_42	98.8		True
local misassembly
38161	38352	254	444	sa_ill_sa_contig23	contig_42	95.31		True
translocation
203	3323	537	3659	sa_ill_sa_contig41	contig_42	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	1649	4047	5695	sa_ill_sa_contig8	contig_42	99.88		True
translocation
1	41074	5696	46757	sa_ill_sa_contig20	contig_42	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	1576	46783	48356	sa_ill_sa_contig47	contig_42	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2840	51196	48357	sa_ill_sa_contig44	contig_42	99.61		True
fake: not a misassembly [fragmentation of reference genome]
1	6686	51222	57906	sa_ill_sa_contig37	contig_42	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	57907	58617	sa_ill_sa_contig55	contig_42	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	72976	58618	sa_ill_sa_contig33	contig_42	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	77970	72977	sa_ill_sa_contig39	contig_42	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	128668	77971	sa_ill_sa_contig17	contig_42	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
46	44268	128669	172880	sa_ill_sa_contig12	contig_42	99.75		True
local misassembly
43758	70357	172881	199471	sa_ill_sa_contig12	contig_42	99.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
98340	98561	199693	199472	sa_ill_sa_contig11	contig_42	98.08		True
local misassembly
98057	98213	199850	199694	sa_ill_sa_contig11	contig_42	98.58		True
translocation
1	21042	220892	199851	sa_ill_sa_contig31	contig_42	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	142808	363882	221046	sa_ill_sa_contig6	contig_42	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	363883	364415	sa_ill_sa_contig63	contig_42	99.22		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	407918	364416	sa_ill_sa_contig18	contig_42	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	407919	409590	sa_ill_sa_contig46	contig_42	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	857	410976	410120	sa_ill_sa_contig54	contig_42	100.0		True
fake: not a misassembly [fragmentation of reference genome]
