S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_32	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52854	se_ill_se_contig27	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350680	52855	se_ill_se_contig2	contig_32	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350681	351073	se_ill_se_contig69	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355140	351074	se_ill_se_contig46	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355141	358812	se_ill_se_contig47	contig_32	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358813	360589	se_ill_se_contig53	contig_32	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361076	360590	se_ill_se_contig63	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85543	162102	437626	361077	se_ill_se_contig11	contig_32	99.99		True
local misassembly
1	85601	523344	437753	se_ill_se_contig11	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524485	523345	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524486	538210	se_ill_se_contig4	contig_32	100.0		True
local misassembly
13844	16547	538211	540913	se_ill_se_contig4	contig_32	98.95		True
local misassembly
16782	245298	540914	769425	se_ill_se_contig4	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769426	771158	se_ill_se_contig54	contig_32	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771159	772004	se_ill_se_contig58	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772005	773518	se_ill_se_contig55	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773519	773950	se_ill_se_contig65	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774441	773951	se_ill_se_contig64	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774442	779162	se_ill_se_contig43	contig_32	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
144	5265	784144	779163	se_ill_se_contig41	contig_32	97.19		True
translocation
1	21032	805263	784234	se_ill_se_contig37	contig_32	99.99		True
translocation
103637	104041	805264	805668	se_ill_se_contig19	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	805669	808056	se_ill_se_contig42	contig_32	99.92		True
translocation
1	660	808071	808730	se_ill_se_contig60	contig_32	100.0		True
translocation
3345	5023	808914	810592	se_ill_se_contig42	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	810593	859728	se_ill_se_contig7	contig_32	100.0		True
inversion
49137	50103	860695	859729	se_ill_se_contig7	contig_32	100.0		True
inversion
50104	198853	860696	1009439	se_ill_se_contig7	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1010580	1009440	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038261	1010581	se_ill_se_contig35	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038262	1039402	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1039403	1091133	se_ill_se_contig26	contig_32	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1268982	1091313	se_ill_se_contig10	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1268983	1270123	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1364907	1270124	se_ill_se_contig20	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1423865	1364908	se_ill_se_contig24	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1426985	1423866	se_ill_se_contig48	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1471844	1426986	se_ill_se_contig30	contig_32	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1471921	1474307	se_ill_se_contig42	contig_32	100.0		True
translocation
1	660	1474322	1474981	se_ill_se_contig60	contig_32	100.0		True
translocation
3345	5078	1475165	1476898	se_ill_se_contig42	contig_32	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503108	1477002	se_ill_se_contig36	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504017	1503109	se_ill_se_contig57	contig_32	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1746425	1504018	se_ill_se_contig5	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1746426	1747566	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1747567	1905597	se_ill_se_contig12	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1906738	1905598	se_ill_se_contig56	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1906739	1909787	se_ill_se_contig49	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3727	1909788	1913514	se_ill_se_contig47	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	583	1914042	1913515	se_ill_se_contig63	contig_32	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	77562	1991605	1914043	se_ill_se_contig23	contig_32	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	1993284	1991606	se_ill_se_contig42	contig_32	99.94		True
local misassembly
1	2387	1996686	1994301	se_ill_se_contig42	contig_32	99.96		True
fake: not a misassembly [fragmentation of reference genome]
24	36664	2033453	1996815	se_ill_se_contig32	contig_32	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	53027	2086480	2033454	se_ill_se_contig25	contig_32	99.99		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2088371	2086637	se_ill_se_contig42	contig_32	99.88		True
translocation
1	660	2089214	2088555	se_ill_se_contig60	contig_32	100.0		True
translocation
