S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
46754	47071	3	320	pa_ill_pa_contig35	contig_168	98.43		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3149	998	pa_ill_pa_contig55	contig_168	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3150	235719	pa_ill_pa_contig10	contig_168	99.98		True
translocation
129	1718	235720	237309	pa_ill_pa_contig57	contig_168	100.0		True
translocation
232388	237415	237310	242336	pa_ill_pa_contig10	contig_168	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	244769	242337	pa_ill_pa_contig48	contig_168	99.6		True
local misassembly
1	1079	246003	244925	pa_ill_pa_contig48	contig_168	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	246004	246849	pa_ill_pa_contig70	contig_168	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	249858	246850	pa_ill_pa_contig51	contig_168	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	367765	249859	pa_ill_pa_contig11	contig_168	99.98		True
local misassembly
1	92856	460622	367766	pa_ill_pa_contig11	contig_168	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	460623	461497	pa_ill_pa_contig69	contig_168	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	461498	510467	pa_ill_pa_contig34	contig_168	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	510468	516070	pa_ill_pa_contig44	contig_168	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	622396	516071	pa_ill_pa_contig22	contig_168	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	712926	622772	pa_ill_pa_contig23	contig_168	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	712927	714013	pa_ill_pa_contig67	contig_168	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	714014	1179671	pa_ill_pa_contig3	contig_168	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1179672	1182129	pa_ill_pa_contig54	contig_168	99.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1182580	1182130	pa_ill_pa_contig83	contig_168	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	1182581	1183448	pa_ill_pa_contig74	contig_168	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	1184252	1303257	pa_ill_pa_contig18	contig_168	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	1303258	1308915	pa_ill_pa_contig44	contig_168	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	1308916	1309753	pa_ill_pa_contig63	contig_168	100.0		True
translocation
56	1405	1311103	1309754	pa_ill_pa_contig12	contig_168	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1437	1311104	1312540	pa_ill_pa_contig61	contig_168	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21904	1312541	1334444	pa_ill_pa_contig41	contig_168	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	868	1335972	1335099	pa_ill_pa_contig74	contig_168	98.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	1335973	1336423	pa_ill_pa_contig83	contig_168	95.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	1338882	1336424	pa_ill_pa_contig54	contig_168	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
132	56432	1395182	1338883	pa_ill_pa_contig31	contig_168	99.93		True
local misassembly
3	591	1395794	1395206	pa_ill_pa_contig31	contig_168	94.06		True
local misassembly [fragmentation of reference genome]
1	483	1396769	1397251	pa_ill_pa_contig14	contig_168	97.57		True
local misassembly
1	187635	1397252	1584886	pa_ill_pa_contig14	contig_168	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	123	1584933	1585055	pa_ill_pa_contig7	contig_168	99.19		True
local misassembly
1	77	1585275	1585351	pa_ill_pa_contig7	contig_168	98.7		True
local misassembly
1	265097	1585731	1850828	pa_ill_pa_contig7	contig_168	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1538	1851279	1852816	pa_ill_pa_contig60	contig_168	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	3511	1856699	1853189	pa_ill_pa_contig49	contig_168	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	38146	1857288	1895433	pa_ill_pa_contig36	contig_168	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	1895434	1901037	pa_ill_pa_contig44	contig_168	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	61716	1901038	1962753	pa_ill_pa_contig29	contig_168	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	1963840	1962754	pa_ill_pa_contig67	contig_168	99.08		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	847683	2811536	1963841	pa_ill_pa_contig1	contig_168	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2207	2811537	2813688	pa_ill_pa_contig55	contig_168	99.5		True
fake: not a misassembly [fragmentation of reference genome]
