S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
37978	38051	1	74	ec_ill_ec_contig38	contig_1	100.0		False
1	516	72027	71512	ec_ill_ec_contig9	contig_1	96.9		False
303	604	72437	72738	ec_ill_ec_contig50	contig_1	97.02		False
2690	3008	73391	73073	ec_ill_ec_contig13	contig_1	97.18		False
1	65	74777	74713	ec_ill_ec_contig28	contig_1	100.0		False
1	65	74777	74713	ec_ill_ec_contig68	contig_1	100.0		False
1	65	74777	74713	ec_ill_ec_contig45	contig_1	100.0		False
1	65	74777	74713	ec_ill_ec_contig57	contig_1	100.0		False
10232	10296	74713	74777	ec_ill_ec_contig58	contig_1	100.0		False
1	65	74777	74713	ec_ill_ec_contig44	contig_1	100.0		False
181797	181861	74713	74777	ec_ill_ec_contig6	contig_1	100.0		False
1	66	74777	74712	ec_ill_ec_contig42	contig_1	100.0		False
31672	31737	74712	74777	ec_ill_ec_contig41	contig_1	100.0		False
97228	97294	74711	74777	ec_ill_ec_contig19	contig_1	100.0		False
1	329	75152	75480	ec_ill_ec_contig11	contig_1	100.0		False
806	937	90819	90688	ec_ill_ec_contig86	contig_1	96.21		False
1	102	91607	91506	ec_ill_ec_contig86	contig_1	98.04		False
1	559	92581	93139	ec_ill_ec_contig74	contig_1	94.1		False
1	127	94012	94138	ec_ill_ec_contig85	contig_1	95.28		False
1	329	424745	424417	ec_ill_ec_contig11	contig_1	100.0		False
1	329	470050	470378	ec_ill_ec_contig11	contig_1	100.0		False
124606	125137	488926	489457	ec_ill_ec_contig9	contig_1	97.18		False
1	198	544215	544412	ec_ill_ec_contig58	contig_1	90.91		False
107534	107987	544481	544029	ec_ill_ec_contig12	contig_1	93.17		False
1	329	644673	645001	ec_ill_ec_contig11	contig_1	100.0		False
83005	83306	660402	660101	se_ill_se_contig2	contig_1	90.73		False
82885	82974	660525	660436	se_ill_se_contig2	contig_1	90.0		False
82620	82817	660792	660595	se_ill_se_contig2	contig_1	91.92		False
13761	13913	970809	970961	se_ill_se_contig4	contig_1	94.12		False
310110	312561	970810	973261	ec_ill_ec_contig2	contig_1	100.0		False
15973	16345	973015	973387	se_ill_se_contig4	contig_1	91.15		False
15973	16345	973015	973387	se_ill_se_contig4	contig_1	91.15		False
15973	16345	973015	973387	se_ill_se_contig4	contig_1	91.15		False
16665	16739	973590	973664	se_ill_se_contig4	contig_1	100.0		False
16899	16973	973590	973664	se_ill_se_contig4	contig_1	100.0		False
42905	42980	973590	973665	ec_ill_ec_contig36	contig_1	100.0		False
198096	198171	973665	973590	ec_ill_ec_contig4	contig_1	100.0		False
17016	17091	973590	973665	se_ill_se_contig4	contig_1	100.0		False
42905	42983	973710	973788	ec_ill_ec_contig36	contig_1	100.0		False
17011	17094	973705	973788	se_ill_se_contig4	contig_1	100.0		False
16548	16646	973710	973808	se_ill_se_contig4	contig_1	100.0		False
16660	16763	973705	973808	se_ill_se_contig4	contig_1	100.0		False
16777	16880	973705	973808	se_ill_se_contig4	contig_1	100.0		False
16782	17214	973590	974030	se_ill_se_contig4	contig_1	90.99		False
195724	198269	976277	973614	ec_ill_ec_contig4	contig_1	94.22		False
103859	104096	1171820	1172058	se_ill_se_contig19	contig_1	94.58		False
671	900	1172325	1172554	sa_ill_sa_contig41	contig_1	90.87		False
61	290	1172325	1172554	bs_ill_bs_contig839	contig_1	90.43		False
305	534	1172325	1172554	lf_ill_lf_contig82	contig_1	90.0		False
4882	5195	1172577	1172264	pa_ill_pa_contig44	contig_1	96.18		False
1124	1206	1172971	1173053	lm_ill_lm_contig12	contig_1	97.59		False
707	789	1172971	1173053	bs_ill_bs_contig839	contig_1	97.59		False
3582	3672	1173053	1172963	lf_ill_lf_contig57	contig_1	96.7		False
1137	1227	1172963	1173053	ef_ill_ef_contig17	contig_1	96.7		False
1309	1402	1172963	1173056	sa_ill_sa_contig41	contig_1	96.81		False
4268	4831	1173191	1172628	pa_ill_pa_contig44	contig_1	90.96		False
4118	4231	1173344	1173231	pa_ill_pa_contig44	contig_1	93.86		False
3453	3662	1174009	1173800	pa_ill_pa_contig44	contig_1	93.81		False
3374	3442	1174087	1174019	pa_ill_pa_contig44	contig_1	94.2		False
2	2387	1172005	1174388	se_ill_se_contig42	contig_1	97.95		False
2687	2800	1174785	1174672	pa_ill_pa_contig44	contig_1	91.23		False
1	660	1174401	1175053	se_ill_se_contig60	contig_1	95.91		False
1975	2060	1175457	1175372	pa_ill_pa_contig44	contig_1	91.86		False
1473	1587	1175615	1175501	lm_ill_lm_contig16	contig_1	93.91		False
1035	1151	1175615	1175499	lf_ill_lf_contig57	contig_1	91.45		False
1813	1967	1175619	1175465	pa_ill_pa_contig44	contig_1	92.26		False
1342	1416	1175746	1175672	lm_ill_lm_contig16	contig_1	90.67		False
455	542	1175782	1175869	sa_ill_sa_contig8	contig_1	90.91		False
590	709	1175915	1176034	sa_ill_sa_contig8	contig_1	93.33		False
616	735	1176035	1175916	lf_ill_lf_contig57	contig_1	95.0		False
1136	1256	1176035	1175915	ef_ill_ef_contig19	contig_1	95.87		False
1055	1180	1176035	1175910	lm_ill_lm_contig16	contig_1	93.65		False
603	728	1176035	1175910	bs_ill_bs_contig933	contig_1	92.86		False
1375	1536	1176057	1175896	pa_ill_pa_contig44	contig_1	93.83		False
924	995	1176165	1176094	lm_ill_lm_contig16	contig_1	97.22		False
1005	1076	1176165	1176094	ef_ill_ef_contig19	contig_1	95.83		False
472	543	1176165	1176094	bs_ill_bs_contig933	contig_1	95.83		False
769	841	1176093	1176165	sa_ill_sa_contig8	contig_1	95.89		False
997	1158	1176435	1176274	pa_ill_pa_contig44	contig_1	90.12		False
529	593	1176909	1176845	pa_ill_pa_contig44	contig_1	98.46		False
3345	5078	1175323	1177058	se_ill_se_contig42	contig_1	97.3		False
1	294	1176766	1177059	ec_ill_ec_contig6	contig_1	98.98		False
160	239	1177162	1177241	se_ill_se_contig7	contig_1	90.0		False
1	237	1177005	1177241	ec_ill_ec_contig12	contig_1	95.83		False
1	239	1177004	1177241	se_ill_se_contig23	contig_1	92.15		False
81	329	1214904	1215152	ec_ill_ec_contig11	contig_1	98.39		False
45304	45657	1260243	1260596	ec_ill_ec_contig15	contig_1	100.0		False
228	358	1880260	1880130	ec_ill_ec_contig16	contig_1	98.47		False
222	352	1880260	1880130	se_ill_se_contig30	contig_1	96.95		False
1	132	1880260	1880129	se_ill_se_contig17	contig_1	98.48		False
88299	88468	1880129	1880298	ec_ill_ec_contig23	contig_1	100.0		False
17186	17355	1880129	1880298	ec_ill_ec_contig52	contig_1	100.0		False
1	170	1880298	1880129	ec_ill_ec_contig4	contig_1	100.0		False
103859	104096	1880130	1880368	se_ill_se_contig19	contig_1	94.58		False
671	900	1880635	1880864	sa_ill_sa_contig41	contig_1	90.87		False
61	290	1880635	1880864	bs_ill_bs_contig839	contig_1	90.43		False
305	534	1880635	1880864	lf_ill_lf_contig82	contig_1	90.0		False
4882	5195	1880887	1880574	pa_ill_pa_contig44	contig_1	96.18		False
707	789	1881281	1881363	bs_ill_bs_contig839	contig_1	97.59		False
1124	1206	1881281	1881363	lm_ill_lm_contig12	contig_1	97.59		False
1137	1227	1881273	1881363	ef_ill_ef_contig17	contig_1	96.7		False
3582	3672	1881363	1881273	lf_ill_lf_contig57	contig_1	96.7		False
1309	1402	1881273	1881366	sa_ill_sa_contig41	contig_1	96.81		False
4268	4831	1881501	1880938	pa_ill_pa_contig44	contig_1	90.96		False
4118	4231	1881654	1881541	pa_ill_pa_contig44	contig_1	93.86		False
3453	3662	1882319	1882110	pa_ill_pa_contig44	contig_1	93.81		False
3374	3442	1882397	1882329	pa_ill_pa_contig44	contig_1	94.2		False
2	2387	1880315	1882698	se_ill_se_contig42	contig_1	97.95		False
2687	2800	1883095	1882982	pa_ill_pa_contig44	contig_1	91.23		False
1	660	1882711	1883363	se_ill_se_contig60	contig_1	96.06		False
1975	2060	1883773	1883688	pa_ill_pa_contig44	contig_1	91.86		False
1473	1587	1883931	1883817	lm_ill_lm_contig16	contig_1	93.91		False
1035	1151	1883931	1883815	lf_ill_lf_contig57	contig_1	91.45		False
1813	1967	1883935	1883781	pa_ill_pa_contig44	contig_1	92.26		False
455	542	1884099	1884186	sa_ill_sa_contig8	contig_1	90.91		False
590	709	1884232	1884351	sa_ill_sa_contig8	contig_1	93.33		False
616	735	1884352	1884233	lf_ill_lf_contig57	contig_1	95.0		False
1136	1256	1884352	1884232	ef_ill_ef_contig19	contig_1	95.87		False
1055	1180	1884352	1884227	lm_ill_lm_contig16	contig_1	93.65		False
603	728	1884352	1884227	bs_ill_bs_contig933	contig_1	92.86		False
1375	1536	1884374	1884213	pa_ill_pa_contig44	contig_1	93.83		False
924	995	1884482	1884411	lm_ill_lm_contig16	contig_1	97.22		False
1005	1076	1884482	1884411	ef_ill_ef_contig19	contig_1	95.83		False
472	543	1884482	1884411	bs_ill_bs_contig933	contig_1	95.83		False
769	841	1884410	1884482	sa_ill_sa_contig8	contig_1	95.89		False
997	1158	1884752	1884591	pa_ill_pa_contig44	contig_1	90.12		False
529	593	1885226	1885162	pa_ill_pa_contig44	contig_1	98.46		False
