S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
62389	62604	1	216	sa_ill_sa_contig14	contig_45	100.0		True
local misassembly
62396	62502	266	372	sa_ill_sa_contig14	contig_45	98.6		True
translocation
203	3323	373	3491	sa_ill_sa_contig41	contig_45	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	3909	5513	sa_ill_sa_contig8	contig_45	99.65		True
translocation
19	34443	39950	5514	sa_ill_sa_contig24	contig_45	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	78747	39951	sa_ill_sa_contig22	contig_45	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	78748	79280	sa_ill_sa_contig63	contig_45	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	113661	79281	sa_ill_sa_contig25	contig_45	99.89		True
translocation
203	3323	113826	116945	sa_ill_sa_contig41	contig_45	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	117317	249339	sa_ill_sa_contig8	contig_45	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	249681	399173	sa_ill_sa_contig5	contig_45	99.59		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	399219	430119	sa_ill_sa_contig27	contig_45	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	430120	430925	sa_ill_sa_contig53	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	433964	431044	sa_ill_sa_contig43	contig_45	99.7		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	447662	433965	sa_ill_sa_contig35	contig_45	99.82		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	448394	574105	sa_ill_sa_contig10	contig_45	99.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	574106	574770	sa_ill_sa_contig60	contig_45	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	576372	575889	sa_ill_sa_contig65	contig_45	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	597198	576373	sa_ill_sa_contig32	contig_45	99.91		True
translocation
1	130429	727583	597199	sa_ill_sa_contig9	contig_45	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	727584	732166	sa_ill_sa_contig40	contig_45	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	732167	737487	sa_ill_sa_contig38	contig_45	99.91		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	742070	737488	sa_ill_sa_contig40	contig_45	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	768256	742071	sa_ill_sa_contig29	contig_45	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	857	768622	769478	sa_ill_sa_contig54	contig_45	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	771680	770008	sa_ill_sa_contig46	contig_45	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	771681	815207	sa_ill_sa_contig18	contig_45	99.41		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	815740	815208	sa_ill_sa_contig63	contig_45	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	815741	958646	sa_ill_sa_contig6	contig_45	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	958800	979847	sa_ill_sa_contig31	contig_45	99.91		True
translocation
98057	98213	979848	980004	sa_ill_sa_contig11	contig_45	98.58		True
local misassembly
98340	98561	980005	980226	sa_ill_sa_contig11	contig_45	98.02		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1006834	980227	sa_ill_sa_contig12	contig_45	99.35		True
local misassembly
46	44268	1051070	1006835	sa_ill_sa_contig12	contig_45	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1051071	1101798	sa_ill_sa_contig17	contig_45	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1101799	1106791	sa_ill_sa_contig39	contig_45	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1106792	1121162	sa_ill_sa_contig33	contig_45	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1121873	1121163	sa_ill_sa_contig55	contig_45	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
