S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207316	310075	1	102755	ec_ill_ec_contig2	contig_96	100.0		True
local misassembly
310191	312944	102756	105509	ec_ill_ec_contig2	contig_96	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303860	105599	ec_ill_ec_contig4	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306832	303861	ec_ill_ec_contig65	contig_96	99.93		True
local misassembly
1	1463	308692	307230	ec_ill_ec_contig65	contig_96	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	309059	346355	ec_ill_ec_contig39	contig_96	100.0		True
local misassembly [fragmentation of reference genome]
22	350	346451	346779	ec_ill_ec_contig104	contig_96	91.19		True
indel: indel (> 5bp)
384	502	346780	346898	ec_ill_ec_contig104	contig_96	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346971	392273	ec_ill_ec_contig15	contig_96	99.94		True
local misassembly
45064	105217	392288	452441	ec_ill_ec_contig15	contig_96	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452442	453673	ec_ill_ec_contig79	contig_96	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453674	514088	ec_ill_ec_contig31	contig_96	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514276	857492	ec_ill_ec_contig1	contig_96	100.0		True
local misassembly
343563	393863	857493	907791	ec_ill_ec_contig1	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980747	907792	ec_ill_ec_contig16	contig_96	100.0		True
local misassembly
1	31383	1012130	980748	ec_ill_ec_contig16	contig_96	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015158	1012132	ec_ill_ec_contig65	contig_96	99.93		True
local misassembly
1	1463	1017024	1015562	ec_ill_ec_contig65	contig_96	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058572	1017295	ec_ill_ec_contig37	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059492	1058573	ec_ill_ec_contig83	contig_96	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059493	1206983	ec_ill_ec_contig7	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206984	1208907	ec_ill_ec_contig73	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209469	1208908	ec_ill_ec_contig91	contig_96	99.85		True
