S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
114	240	271935	271809	ef_ill_ef_contig1	contig_102	97.64		False
1	77	271938	272014	ef_ill_ef_contig6	contig_102	100.0		False
52440	52512	271944	272016	ef_ill_ef_contig7	contig_102	100.0		False
1027346	1027576	272016	271786	ef_ill_ef_contig1	contig_102	99.13		False
78	235	272059	272216	ef_ill_ef_contig6	contig_102	99.37		False
22954	23120	272262	272096	ef_ill_ef_contig13	contig_102	96.41		False
29598	30337	302245	302984	ef_ill_ef_contig10	contig_102	93.14		False
30504	31456	302227	303179	ef_ill_ef_contig10	contig_102	92.58		False
1136	1374	604777	604539	sa_ill_sa_contig8	contig_102	92.47		False
656	727	605072	605143	ec_ill_ec_contig65	contig_102	95.83		False
1200	1338	605005	605143	pa_ill_pa_contig44	contig_102	91.37		False
4115	4186	605144	605073	se_ill_se_contig42	contig_102	95.83		False
786	906	605203	605323	ec_ill_ec_contig65	contig_102	95.87		False
1397	1538	605203	605344	pa_ill_pa_contig44	contig_102	90.85		False
561	1110	605352	604803	sa_ill_sa_contig8	contig_102	94.73		False
437	551	605474	605360	sa_ill_sa_contig8	contig_102	96.52		False
1	965	604602	605565	bs_ill_bs_contig933	contig_102	93.89		False
38	431	605873	605480	sa_ill_sa_contig8	contig_102	90.61		False
174	1725	604312	605874	lm_ill_lm_contig16	contig_102	90.95		False
40	1288	604627	605875	lf_ill_lf_contig57	contig_102	91.08		False
701	775	605946	606020	ef_ill_ef_contig21	contig_102	100.0		False
1684	1803	606207	606326	lf_ill_lf_contig57	contig_102	91.67		False
95	215	606207	606327	bs_ill_bs_contig1146	contig_102	92.56		False
2977	3114	606344	606207	lm_ill_lm_contig12	contig_102	92.75		False
3006	3124	606501	606383	sa_ill_sa_contig41	contig_102	96.64		False
2820	2949	606501	606372	lm_ill_lm_contig12	contig_102	91.54		False
483	720	606587	606824	bs_ill_bs_contig1146	contig_102	93.28		False
2078	2322	606595	606839	lf_ill_lf_contig57	contig_102	90.2		False
2474	2720	606840	606594	lm_ill_lm_contig12	contig_102	92.31		False
666	889	607073	606850	bs_ill_bs_contig991	contig_102	91.52		False
2240	2418	607074	606896	lm_ill_lm_contig12	contig_102	94.41		False
2346	2414	607157	607089	sa_ill_sa_contig41	contig_102	95.65		False
2388	2882	606903	607397	lf_ill_lf_contig57	contig_102	90.71		False
1914	2233	607400	607081	lm_ill_lm_contig12	contig_102	94.06		False
2102	2316	607401	607187	sa_ill_sa_contig41	contig_102	95.35		False
337	569	607403	607171	bs_ill_bs_contig991	contig_102	93.56		False
108	329	607635	607414	bs_ill_bs_contig991	contig_102	91.44		False
3233	3431	607748	607946	lf_ill_lf_contig57	contig_102	92.96		False
960	1050	608185	608095	se_ill_se_contig42	contig_102	96.7		False
3783	3873	608095	608185	ec_ill_ec_contig65	contig_102	96.7		False
4406	4500	608095	608189	pa_ill_pa_contig44	contig_102	96.84		False
1191	1538	608303	607956	sa_ill_sa_contig41	contig_102	95.11		False
912	1344	608389	607957	lm_ill_lm_contig12	contig_102	91.92		False
3441	3911	607954	608424	lf_ill_lf_contig57	contig_102	93.84		False
1	1065	608883	607832	bs_ill_bs_contig839	contig_102	92.31		False
497	1095	608997	608399	sa_ill_sa_contig41	contig_102	94.66		False
9	171	608837	608999	bs_ill_bs_contig13	contig_102	93.25		False
296	907	609005	608394	lm_ill_lm_contig12	contig_102	94.28		False
23	757	609107	608371	lf_ill_lf_contig82	contig_102	93.9		False
645532	646246	1614342	1615074	ef_ill_ef_contig1	contig_102	90.5		False
9	171	2112853	2112691	bs_ill_bs_contig13	contig_102	93.25		False
497	1095	2112693	2113291	sa_ill_sa_contig41	contig_102	94.66		False
296	907	2112685	2113296	lm_ill_lm_contig12	contig_102	94.28		False
23	757	2112583	2113319	lf_ill_lf_contig82	contig_102	93.9		False
960	1050	2113505	2113595	se_ill_se_contig42	contig_102	96.7		False
3783	3873	2113595	2113505	ec_ill_ec_contig65	contig_102	96.7		False
4406	4500	2113595	2113501	pa_ill_pa_contig44	contig_102	96.84		False
912	1344	2113301	2113733	lm_ill_lm_contig12	contig_102	91.92		False
1191	1538	2113387	2113734	sa_ill_sa_contig41	contig_102	95.11		False
3441	3911	2113736	2113266	lf_ill_lf_contig57	contig_102	93.84		False
1	1065	2112807	2113858	bs_ill_bs_contig839	contig_102	92.31		False
3233	3431	2113942	2113744	lf_ill_lf_contig57	contig_102	92.96		False
108	329	2114055	2114276	bs_ill_bs_contig991	contig_102	91.44		False
2102	2316	2114289	2114503	sa_ill_sa_contig41	contig_102	95.35		False
337	569	2114287	2114519	bs_ill_bs_contig991	contig_102	93.56		False
2346	2414	2114533	2114601	sa_ill_sa_contig41	contig_102	95.65		False
1914	2233	2114290	2114609	lm_ill_lm_contig12	contig_102	94.06		False
2388	2882	2114787	2114293	lf_ill_lf_contig57	contig_102	90.71		False
2240	2418	2114616	2114794	lm_ill_lm_contig12	contig_102	94.41		False
666	889	2114617	2114840	bs_ill_bs_contig991	contig_102	91.07		False
2078	2322	2115095	2114851	lf_ill_lf_contig57	contig_102	90.2		False
2474	2720	2114850	2115096	lm_ill_lm_contig12	contig_102	92.31		False
483	720	2115103	2114866	bs_ill_bs_contig1146	contig_102	93.28		False
3006	3134	2115189	2115317	sa_ill_sa_contig41	contig_102	93.8		False
2820	2949	2115189	2115318	lm_ill_lm_contig12	contig_102	91.54		False
1684	1803	2115483	2115364	lf_ill_lf_contig57	contig_102	92.5		False
95	215	2115483	2115363	bs_ill_bs_contig1146	contig_102	93.39		False
2977	3114	2115346	2115483	lm_ill_lm_contig12	contig_102	93.48		False
3184	3302	2115366	2115484	sa_ill_sa_contig41	contig_102	94.12		False
38	431	2115715	2116108	sa_ill_sa_contig8	contig_102	90.61		False
437	551	2116114	2116228	sa_ill_sa_contig8	contig_102	96.52		False
786	906	2116385	2116265	ec_ill_ec_contig65	contig_102	95.87		False
1397	1538	2116385	2116244	pa_ill_pa_contig44	contig_102	90.85		False
4115	4186	2116444	2116515	se_ill_se_contig42	contig_102	95.83		False
656	727	2116516	2116445	ec_ill_ec_contig65	contig_102	95.83		False
1200	1338	2116583	2116445	pa_ill_pa_contig44	contig_102	91.37		False
561	1110	2116236	2116785	sa_ill_sa_contig8	contig_102	94.73		False
40	1288	2116961	2115713	lf_ill_lf_contig57	contig_102	91.08		False
1	965	2116986	2116023	bs_ill_bs_contig933	contig_102	93.89		False
1136	1374	2116811	2117049	sa_ill_sa_contig8	contig_102	92.47		False
174	1725	2117276	2115714	lm_ill_lm_contig16	contig_102	90.95		False
1	93	2117466	2117558	ef_ill_ef_contig4	contig_102	95.7		False
238692	238991	2117765	2117466	ef_ill_ef_contig3	contig_102	99.67		False
