S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	720	720	1	pa_ill_pa_contig35	contig_164	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	266935	1330	268263	pa_ill_pa_contig6	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	379474	268264	pa_ill_pa_contig20	contig_164	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	384871	379475	pa_ill_pa_contig45	contig_164	99.47		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	384872	503573	pa_ill_pa_contig19	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	503574	504065	pa_ill_pa_contig80	contig_164	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	505302	504066	pa_ill_pa_contig65	contig_164	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	506192	505303	pa_ill_pa_contig71	contig_164	98.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	506193	506839	pa_ill_pa_contig8	contig_164	99.05		True
translocation
1	23992	506840	530831	pa_ill_pa_contig40	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	530832	532189	pa_ill_pa_contig62	contig_164	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	532190	588871	pa_ill_pa_contig30	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	588872	589688	pa_ill_pa_contig73	contig_164	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	794572	589689	pa_ill_pa_contig12	contig_164	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	794573	795954	pa_ill_pa_contig61	contig_164	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	795955	902752	pa_ill_pa_contig21	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	903900	902753	pa_ill_pa_contig64	contig_164	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	903901	938229	pa_ill_pa_contig15	contig_164	99.86		True
local misassembly
34236	173697	938230	1077768	pa_ill_pa_contig15	contig_164	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	1077769	1078403	pa_ill_pa_contig76	contig_164	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	1079546	1078519	pa_ill_pa_contig68	contig_164	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	1080305	1080896	pa_ill_pa_contig77	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	1080897	1081586	pa_ill_pa_contig76	contig_164	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	1082674	1081702	pa_ill_pa_contig68	contig_164	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	1084280	1082675	pa_ill_pa_contig59	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	1084281	1085907	pa_ill_pa_contig58	contig_164	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	1085908	1090878	pa_ill_pa_contig46	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	1090879	1092450	pa_ill_pa_contig58	contig_164	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	1092451	1095688	pa_ill_pa_contig50	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1095689	1096432	pa_ill_pa_contig75	contig_164	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	1103269	1097122	pa_ill_pa_contig43	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1103270	1104013	pa_ill_pa_contig75	contig_164	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	1104703	1173035	pa_ill_pa_contig28	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	1173036	1173910	pa_ill_pa_contig69	contig_164	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	1204678	1173911	pa_ill_pa_contig38	contig_164	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1207111	1204679	pa_ill_pa_contig48	contig_164	99.44		True
local misassembly
56	1079	1208290	1207267	pa_ill_pa_contig48	contig_164	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	1208291	1214880	pa_ill_pa_contig42	contig_164	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	1217834	1214881	pa_ill_pa_contig51	contig_164	99.28		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	1217835	1244629	pa_ill_pa_contig39	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1245122	1244630	pa_ill_pa_contig79	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	1503693	1245123	pa_ill_pa_contig8	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	1503694	1504527	pa_ill_pa_contig71	contig_164	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1504528	1505764	pa_ill_pa_contig65	contig_164	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1506256	1505765	pa_ill_pa_contig80	contig_164	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	1506257	1697582	pa_ill_pa_contig13	contig_164	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	1698708	1697583	pa_ill_pa_contig67	contig_164	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	1698709	1785107	pa_ill_pa_contig25	contig_164	100.0		True
translocation
161	249467	1785108	2034418	pa_ill_pa_contig9	contig_164	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	2037313	2034783	pa_ill_pa_contig53	contig_164	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	2038369	2037441	pa_ill_pa_contig72	contig_164	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2038882	2038370	pa_ill_pa_contig78	contig_164	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2038883	2042662	pa_ill_pa_contig47	contig_164	90.15		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2043091	2042663	pa_ill_pa_contig84	contig_164	98.33		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	2164161	2043092	pa_ill_pa_contig17	contig_164	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	2164423	2220429	pa_ill_pa_contig32	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	2221577	2220430	pa_ill_pa_contig64	contig_164	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	2516741	2221578	pa_ill_pa_contig2	contig_164	100.0		True
local misassembly
1	247083	2763824	2516742	pa_ill_pa_contig2	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2763825	2764253	pa_ill_pa_contig84	contig_164	98.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2768027	2764254	pa_ill_pa_contig47	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2768028	2768540	pa_ill_pa_contig78	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	2768541	2769470	pa_ill_pa_contig72	contig_164	98.39		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	2769598	2772146	pa_ill_pa_contig52	contig_164	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	3176818	2772505	pa_ill_pa_contig4	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	3176819	3178176	pa_ill_pa_contig62	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	3178177	3300645	pa_ill_pa_contig16	contig_164	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	3354332	3301060	pa_ill_pa_contig33	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	3354825	3354333	pa_ill_pa_contig79	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	3389998	3354826	pa_ill_pa_contig26	contig_164	99.99		True
local misassembly
1	41228	3431226	3389999	pa_ill_pa_contig26	contig_164	100.0		True
translocation
56	770	3431935	3431227	pa_ill_pa_contig20	contig_164	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	3437387	3431936	pa_ill_pa_contig45	contig_164	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	3437388	3505800	pa_ill_pa_contig27	contig_164	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	3511404	3505801	pa_ill_pa_contig44	contig_164	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	3599399	3511405	pa_ill_pa_contig24	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	3599400	3600486	pa_ill_pa_contig67	contig_164	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	3600487	3895075	pa_ill_pa_contig5	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	3895076	3895892	pa_ill_pa_contig73	contig_164	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	35776	3895893	3931667	pa_ill_pa_contig37	contig_164	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3934688	3932537	pa_ill_pa_contig55	contig_164	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3934689	4167256	pa_ill_pa_contig10	contig_164	99.99		True
translocation
129	1718	4167257	4168846	pa_ill_pa_contig57	contig_164	100.0		True
translocation
232388	237415	4168847	4173873	pa_ill_pa_contig10	contig_164	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	4176306	4173874	pa_ill_pa_contig48	contig_164	99.6		True
local misassembly
1	1079	4177540	4176462	pa_ill_pa_contig48	contig_164	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	4177541	4178386	pa_ill_pa_contig70	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	4181395	4178387	pa_ill_pa_contig51	contig_164	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	4299303	4181396	pa_ill_pa_contig11	contig_164	99.99		True
local misassembly
1	92856	4392161	4299304	pa_ill_pa_contig11	contig_164	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	4392162	4393036	pa_ill_pa_contig69	contig_164	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	4393037	4442007	pa_ill_pa_contig34	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	4442008	4447610	pa_ill_pa_contig44	contig_164	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	4553935	4447611	pa_ill_pa_contig22	contig_164	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	4644464	4554311	pa_ill_pa_contig23	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	4644465	4645551	pa_ill_pa_contig67	contig_164	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	4645552	5111204	pa_ill_pa_contig3	contig_164	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	5111205	5113663	pa_ill_pa_contig54	contig_164	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	5114114	5113664	pa_ill_pa_contig83	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	5114115	5114982	pa_ill_pa_contig74	contig_164	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	5115786	5234790	pa_ill_pa_contig18	contig_164	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
