Assembly	r10_2bins_v2_1_MP	r10_2bins_v2_1_MP_helen	r10_2bins_v2_1_r1_medaka	r10_2bins_v2_1_r2_medaka	r10_2bins_v2_1_racon_r1	r10_2bins_v2_1_racon_r2	r10_2bins_v2_1_raw	r10_2bins_v2_2_MP	r10_2bins_v2_2_MP_helen	r10_2bins_v2_2_r1_medaka	r10_2bins_v2_2_r2_medaka	r10_2bins_v2_2_racon_r1	r10_2bins_v2_2_racon_r2	r10_2bins_v2_2_raw	r10_2bins_v2_3_MP	r10_2bins_v2_3_MP_helen	r10_2bins_v2_3_r1_medaka	r10_2bins_v2_3_r2_medaka	r10_2bins_v2_3_racon_r1	r10_2bins_v2_3_racon_r2	r10_2bins_v2_3_raw
# contigs (>= 5000 bp)	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 10000 bp)	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 25000 bp)	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8
# contigs (>= 50000 bp)	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Total length (>= 5000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	28005820	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Total length (>= 10000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	28005820	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Total length (>= 25000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	28005820	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Total length (>= 50000 bp)	30866559	30861633	30864249	30853622	30851421	30845671	28005820	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
# contigs	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Largest contig	6792242	6792185	6792244	6792252	6791600	6791732	6788581	6792252	6792198	6792245	6792243	6791577	6791686	6787718	6792252	6792198	6792245	6792243	6791577	6791686	6787718
Total length	30866559	30861633	30864249	30853622	30851421	30845671	28005820	30866756	30862760	30864301	30855523	30851886	30847576	30849158	30866651	30863115	30864187	30847828	30851884	30843598	30848199
Reference length	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151	6728151
GC (%)	49.50	49.51	49.50	49.50	49.49	49.50	50.69	49.50	49.51	49.50	49.50	49.49	49.49	49.48	49.50	49.51	49.50	49.50	49.49	49.49	49.48
Reference GC (%)	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21	66.21
N50	4758939	4757800	4758594	4758071	4757983	4757672	4756051	4758953	4757846	4758592	4758065	4757922	4757649	4756088	4758954	4757856	4758593	4758140	4757950	4757852	4756101
