Assembly	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NGA50	NGA75	LGA50	LGA75
r10_1bin_1_MP	7	7	7	7	24074494	24074494	24074494	24074494	7	4765367	24074494	4738357	44.80	52.15	4045598	4765367	2845422	4765367	3	1	5	1	15	1	4758939	8	0	0	6	0 + 7 part	19037478	98.918	1.075	0.00	411.75	20.81	1342502	5034674	745392	611514	3	5
r10_1bin_1_MP_helen	7	7	7	7	24070200	24070200	24070200	24070200	7	4765335	24070200	4738357	44.80	52.15	4045621	4765335	2845369	4765335	3	1	5	1	16	1	4757842	8	0	0	6	0 + 7 part	19033877	98.919	1.075	0.00	409.10	15.96	1342446	5034036	745356	611511	3	5
r10_1bin_1_r1_medaka	7	7	7	7	24072211	24072211	24072211	24072211	7	4765354	24072211	4738357	44.80	52.15	4045594	4765354	2845428	4765354	3	1	5	1	15	1	4758592	8	0	0	6	0 + 7 part	19035115	98.920	1.075	0.00	409.69	11.42	1342474	5034753	745368	611516	3	5
r10_1bin_1_r2_medaka	7	7	7	7	24064284	24064284	24064284	24064284	7	4765366	24064284	4738357	44.80	52.15	4045589	4765366	2845432	4765366	3	1	5	1	15	1	4758097	8	0	0	6	0 + 7 part	19028637	98.920	1.075	0.00	408.09	11.29	1342473	5030825	745370	611516	3	5
r10_1bin_1_racon_r1	7	7	7	7	24060998	24060998	24060998	24060998	7	4764519	24060998	4738357	44.79	52.15	4045227	4764519	2845260	4764519	3	1	5	1	15	1	4757948	8	0	0	6	0 + 7 part	19026237	98.920	1.074	0.00	409.15	39.48	1342283	5032416	745273	611442	3	5
r10_1bin_1_racon_r2	7	7	7	7	24055678	24055678	24055678	24055678	7	4764885	24055678	4738357	44.78	52.15	4045309	4764885	2845328	4764885	3	1	5	1	15	1	4757880	8	0	0	6	0 + 7 part	19017760	98.920	1.075	0.00	417.50	37.84	1342302	5035574	745278	611449	3	5
r10_1bin_1_raw	7	7	7	7	28130662	28130662	28130662	28130662	7	6788581	28130662	4738357	51.10	52.15	4756088	6788581	2990628	6788581	3	1	5	1	18	1	4756088	20	0	0	5	0 + 7 part	23177473	98.896	1.057	0.00	460.80	225.09	1341457	4951007	744987	433868	3	5
r10_1bin_2_MP	7	7	7	7	24074257	24074257	24074257	24074257	7	4765367	24074257	4738357	44.80	52.15	4045598	4765367	2845425	4765367	3	1	5	1	15	1	4758938	8	0	0	6	0 + 7 part	19036921	98.918	1.075	0.00	412.30	20.76	1342502	5034994	745392	611514	3	5
r10_1bin_2_MP_helen	7	7	7	7	24070195	24070195	24070195	24070195	7	4765342	24070195	4738357	44.80	52.15	4045629	4765342	2845372	4765342	3	1	5	1	16	1	4757859	8	0	0	6	0 + 7 part	19033715	98.918	1.075	0.04	409.53	15.92	1342444	5034183	745353	611510	3	5
r10_1bin_2_r1_medaka	7	7	7	7	24072707	24072707	24072707	24072707	7	4765360	24072707	4738357	44.80	52.15	4045591	4765360	2845428	4765360	3	1	5	1	15	1	4758591	8	0	0	6	0 + 7 part	19035671	98.920	1.075	0.00	409.71	11.55	1342475	5034694	745371	611514	3	5
