All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MP_helen_r10_bins_1  MP_helen_r10_bins_2  MP_helen_r10_bins_3  MP_r10_bins_1  MP_r10_bins_2  MP_r10_bins_3  r1_medaka_r10_bins_1  r1_medaka_r10_bins_2  r1_medaka_r10_bins_3  r2_medaka_r10_bins_1  r2_medaka_r10_bins_2  r2_medaka_r10_bins_3  racon_r1_r10_bins_1  racon_r1_r10_bins_2  racon_r1_r10_bins_3  racon_r2_r10_bins_1  racon_r2_r10_bins_2  racon_r2_r10_bins_3  raw_r10_bins_1  raw_r10_bins_2  raw_r10_bins_3
# contigs (>= 5000 bp)       7                    7                    7                    7              7              7              7                     7                     7                     7                     7                     7                     7                    7                    7                    7                    7                    7                    7               7               7             
# contigs (>= 10000 bp)      7                    7                    7                    7              7              7              7                     7                     7                     7                     7                     7                     7                    7                    7                    7                    7                    7                    7               7               7             
# contigs (>= 25000 bp)      7                    7                    7                    7              7              7              7                     7                     7                     7                     7                     7                     7                    7                    7                    7                    7                    7                    7               7               7             
# contigs (>= 50000 bp)      7                    7                    7                    7              7              7              7                     7                     7                     7                     7                     7                     7                    7                    7                    7                    7                    7                    7               7               7             
Total length (>= 5000 bp)    24069494             24072731             24070272             24075146       24075931       24075224       24072592              24074864              24072788              24064948              24068153              24065807              24059729             24064644             24059333             24055079             24060632             24052503             24060236        24062591        24060425      
Total length (>= 10000 bp)   24069494             24072731             24070272             24075146       24075931       24075224       24072592              24074864              24072788              24064948              24068153              24065807              24059729             24064644             24059333             24055079             24060632             24052503             24060236        24062591        24060425      
Total length (>= 25000 bp)   24069494             24072731             24070272             24075146       24075931       24075224       24072592              24074864              24072788              24064948              24068153              24065807              24059729             24064644             24059333             24055079             24060632             24052503             24060236        24062591        24060425      
Total length (>= 50000 bp)   24069494             24072731             24070272             24075146       24075931       24075224       24072592              24074864              24072788              24064948              24068153              24065807              24059729             24064644             24059333             24055079             24060632             24052503             24060236        24062591        24060425      
# contigs                    7                    7                    7                    7              7              7              7                     7                     7                     7                     7                     7                     7                    7                    7                    7                    7                    7                    7               7               7             
Largest contig               4765299              4765370              4765301              4765922        4765391        4765920        4765362               4765395               4765360               4765364               4765350               4765359               4764643              4764770              4764652              4764716              4764723              4764656              4763471         4763493         4763422       
Total length                 24069494             24072731             24070272             24075146       24075931       24075224       24072592              24074864              24072788              24064948              24068153              24065807              24059729             24064644             24059333             24055079             24060632             24052503             24060236        24062591        24060425      
Reference length             3985829              3985829              3985829              3985829        3985829        3985829        3985829               3985829               3985829               3985829               3985829               3985829               3985829              3985829              3985829              3985829              3985829              3985829              3985829         3985829         3985829       
GC (%)                       44.80                44.81                44.80                44.80          44.80          44.80          44.80                 44.80                 44.80                 44.80                 44.80                 44.80                 44.79                44.79                44.79                44.79                44.79                44.79                44.77           44.77           44.77         
Reference GC (%)             43.82                43.82                43.82                43.82          43.82          43.82          43.82                 43.82                 43.82                 43.82                 43.82                 43.82                 43.82                43.82                43.82                43.82                43.82                43.82                43.82           43.82           43.82         
N50                          4045615              4045634              4045636              4045594        4045608        4045601        4045589               4045607               4045601               4045589               4045605               4045604               4045233              4045287              4045256              4045364              4045333              4045318              4042946         4043032         4042936       
NG50                         4765299              4765370              4765301              4765922        4765391        4765920        4765362               4765395               4765360               4765364               4765350               4765359               4764643              4764770              4764652              4764716              4764723              4764656              4763471         4763493         4763422       
N75                          2845363              2845435              2845364              2845421        2845426        2845426        2845430               2845432               2845434               2845429               2845433               2845432               2845290              2845293              2845290              2845315              2845310              2845306              2843359         2843856         2843855       
NG75                         4765299              4765370              4765301              4765922        4765391        4765920        4765362               4765395               4765360               4765364               4765350               4765359               4764643              4764770              4764652              4764716              4764723              4764656              4763471         4763493         4763422       
L50                          3                    3                    3                    3              3              3              3                     3                     3                     3                     3                     3                     3                    3                    3                    3                    3                    3                    3               3               3             
LG50                         1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
L75                          5                    5                    5                    5              5              5              5                     5                     5                     5                     5                     5                     5                    5                    5                    5                    5                    5                    5               5               5             
LG75                         1                    1                    1                    1              1              1              1                     1                     1                     1                     1                     1                     1                    1                    1                    1                    1                    1                    1               1               1             
# misassemblies              34                   34                   34                   34             34             34             34                    34                    34                    34                    34                    34                    34                   34                   34                   34                   34                   34                   31              32              31            
