S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_56	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52853	se_ill_se_contig27	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350680	52854	se_ill_se_contig2	contig_56	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350681	351073	se_ill_se_contig69	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355140	351074	se_ill_se_contig46	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355141	358812	se_ill_se_contig47	contig_56	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358813	360589	se_ill_se_contig53	contig_56	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361076	360590	se_ill_se_contig63	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85543	162102	437626	361077	se_ill_se_contig11	contig_56	99.99		True
local misassembly
1	85601	523344	437753	se_ill_se_contig11	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524485	523345	se_ill_se_contig56	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524486	538210	se_ill_se_contig4	contig_56	100.0		True
local misassembly
13844	16547	538211	540913	se_ill_se_contig4	contig_56	98.95		True
local misassembly
16782	245298	540914	769426	se_ill_se_contig4	contig_56	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769427	771159	se_ill_se_contig54	contig_56	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771160	772005	se_ill_se_contig58	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772006	773519	se_ill_se_contig55	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773520	773951	se_ill_se_contig65	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774442	773952	se_ill_se_contig64	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774443	779163	se_ill_se_contig43	contig_56	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
144	5265	784145	779164	se_ill_se_contig41	contig_56	97.19		True
translocation
1	21032	805264	784235	se_ill_se_contig37	contig_56	99.99		True
translocation
103637	104041	805265	805669	se_ill_se_contig19	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	805670	808057	se_ill_se_contig42	contig_56	99.92		True
translocation
1	660	808072	808731	se_ill_se_contig60	contig_56	100.0		True
translocation
3345	5023	808915	810593	se_ill_se_contig42	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	810594	859729	se_ill_se_contig7	contig_56	100.0		True
inversion
49137	50103	860696	859730	se_ill_se_contig7	contig_56	100.0		True
inversion
50104	198853	860697	1009438	se_ill_se_contig7	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1010579	1009439	se_ill_se_contig56	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038260	1010580	se_ill_se_contig35	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038261	1039401	se_ill_se_contig56	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1039402	1091132	se_ill_se_contig26	contig_56	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1268980	1091312	se_ill_se_contig10	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1268981	1270121	se_ill_se_contig56	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1364905	1270122	se_ill_se_contig20	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1423863	1364906	se_ill_se_contig24	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1426983	1423864	se_ill_se_contig48	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1471841	1426984	se_ill_se_contig30	contig_56	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1471918	1474303	se_ill_se_contig42	contig_56	99.96		True
translocation
1	660	1474318	1474977	se_ill_se_contig60	contig_56	100.0		True
translocation
3345	5078	1475161	1476894	se_ill_se_contig42	contig_56	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503104	1476998	se_ill_se_contig36	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504013	1503105	se_ill_se_contig57	contig_56	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1746421	1504014	se_ill_se_contig5	contig_56	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1746422	1747562	se_ill_se_contig56	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1747563	1905593	se_ill_se_contig12	contig_56	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1906734	1905594	se_ill_se_contig56	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1906735	1909783	se_ill_se_contig49	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3727	1909784	1913510	se_ill_se_contig47	contig_56	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	583	1914038	1913511	se_ill_se_contig63	contig_56	100.0		True
