S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52852	se_ill_se_contig27	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350668	52853	se_ill_se_contig2	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350669	351060	se_ill_se_contig69	contig_95	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355127	351061	se_ill_se_contig46	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355128	358797	se_ill_se_contig47	contig_95	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358798	360575	se_ill_se_contig53	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361062	360576	se_ill_se_contig63	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85669	162102	437488	361063	se_ill_se_contig11	contig_95	99.97		True
local misassembly
1	86127	523607	437489	se_ill_se_contig11	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	524747	523608	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	524748	538469	se_ill_se_contig4	contig_95	99.98		True
local misassembly
13844	16547	538470	541172	se_ill_se_contig4	contig_95	98.95		True
local misassembly
16782	245298	541173	769665	se_ill_se_contig4	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	769666	771396	se_ill_se_contig54	contig_95	99.39		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771397	772241	se_ill_se_contig58	contig_95	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772242	773755	se_ill_se_contig55	contig_95	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	773756	774187	se_ill_se_contig65	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	546	774678	774188	se_ill_se_contig64	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4721	774679	779401	se_ill_se_contig43	contig_95	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5265	784611	779402	se_ill_se_contig41	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21152	805759	784612	se_ill_se_contig37	contig_95	99.95		True
translocation
103637	104041	805760	806164	se_ill_se_contig19	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2387	806165	808551	se_ill_se_contig42	contig_95	99.96		True
translocation
1	660	808566	809225	se_ill_se_contig60	contig_95	100.0		True
translocation
3345	5023	809409	811087	se_ill_se_contig42	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	49136	811088	860221	se_ill_se_contig7	contig_95	99.98		True
inversion
49137	50103	861188	860222	se_ill_se_contig7	contig_95	100.0		True
inversion
50104	198853	861189	1009915	se_ill_se_contig7	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1011054	1009916	se_ill_se_contig56	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	27681	1038733	1011055	se_ill_se_contig35	contig_95	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1038734	1039873	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51731	1039874	1091592	se_ill_se_contig26	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	177680	1269420	1091772	se_ill_se_contig10	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1269421	1270560	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	94784	1365329	1270561	se_ill_se_contig20	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	58960	1424282	1365330	se_ill_se_contig24	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	1427402	1424283	se_ill_se_contig48	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44860	1472264	1427403	se_ill_se_contig30	contig_95	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	2387	1472341	1474727	se_ill_se_contig42	contig_95	99.96		True
translocation
1	660	1474742	1475401	se_ill_se_contig60	contig_95	100.0		True
translocation
3345	5078	1475585	1477317	se_ill_se_contig42	contig_95	99.94		True
fake: not a misassembly [fragmentation of reference genome]
1	26107	1503524	1477421	se_ill_se_contig36	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	1504433	1503525	se_ill_se_contig57	contig_95	99.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	242448	1746822	1504434	se_ill_se_contig5	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1746823	1747963	se_ill_se_contig56	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	158034	1747964	1905973	se_ill_se_contig12	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	1907113	1905974	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3049	1907114	1910161	se_ill_se_contig49	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3727	1910162	1913888	se_ill_se_contig47	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	583	1914416	1913889	se_ill_se_contig63	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	77562	1991969	1914417	se_ill_se_contig23	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	1993648	1991970	se_ill_se_contig42	contig_95	99.94		True
local misassembly
1	2387	1997051	1994665	se_ill_se_contig42	contig_95	99.96		True
fake: not a misassembly [fragmentation of reference genome]
24	36664	2033820	1997180	se_ill_se_contig32	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	53027	2086839	2033821	se_ill_se_contig25	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2088730	2086996	se_ill_se_contig42	contig_95	99.88		True
translocation
1	660	2089573	2088914	se_ill_se_contig60	contig_95	100.0		True
translocation
56	2387	2091919	2089588	se_ill_se_contig42	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	104096	2195998	2091920	se_ill_se_contig19	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	2195999	2197138	se_ill_se_contig56	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	44927	2242064	2197139	se_ill_se_contig29	contig_95	99.99		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2243945	2242213	se_ill_se_contig42	contig_95	99.94		True
local misassembly
1	2387	2247346	2244961	se_ill_se_contig42	contig_95	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	4426	2247423	2251847	se_ill_se_contig45	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	964	2251848	2252756	se_ill_se_contig57	contig_95	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32262	2285010	2252757	se_ill_se_contig33	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
3345	5078	2286847	2285116	se_ill_se_contig42	contig_95	99.83		True
translocation
1	660	2287689	2287031	se_ill_se_contig60	contig_95	99.85		True
translocation
1	2387	2290090	2287704	se_ill_se_contig42	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
103637	104041	2290495	2290091	se_ill_se_contig19	contig_95	100.0		True
translocation
1	88508	2290496	2378995	se_ill_se_contig21	contig_95	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	772	2379767	2378996	se_ill_se_contig59	contig_95	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	106728	2486788	2380074	se_ill_se_contig18	contig_95	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	2487220	2486789	se_ill_se_contig66	contig_95	99.62		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	150716	2637921	2487221	se_ill_se_contig13	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1243	2639109	2637922	se_ill_se_contig56	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	37101	2676209	2639110	se_ill_se_contig31	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	2677349	2676210	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130129	2677350	2807470	se_ill_se_contig16	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	2810590	2807471	se_ill_se_contig48	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	224077	3034631	2810591	se_ill_se_contig6	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
3345	5023	3036311	3034632	se_ill_se_contig42	contig_95	98.79		True
translocation
1	660	3037313	3036654	se_ill_se_contig60	contig_95	99.09		True
translocation
1	2387	3039814	3037428	se_ill_se_contig42	contig_95	99.92		True
fake: not a misassembly [fragmentation of reference genome]
1	120824	3039971	3160782	se_ill_se_contig17	contig_95	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	245826	3406967	3161167	se_ill_se_contig3	contig_95	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	4520	3412247	3407729	se_ill_se_contig44	contig_95	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	449	3413009	3413457	se_ill_se_contig3	contig_95	99.61		True
translocation
1	179991	3413458	3593433	se_ill_se_contig9	contig_95	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	10344	3593908	3604250	se_ill_se_contig39	contig_95	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3175	3604251	3607370	se_ill_se_contig48	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	188840	3796273	3607371	se_ill_se_contig8	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	3796274	3797413	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	32027	3797414	3829437	se_ill_se_contig34	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5210	3829438	3834593	se_ill_se_contig41	contig_95	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	5662	3834594	3840253	se_ill_se_contig40	contig_95	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	491	3840254	3840689	se_ill_se_contig64	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	601	3841235	3840690	se_ill_se_contig62	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1514	3842694	3841236	se_ill_se_contig55	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2421	3845115	3842695	se_ill_se_contig50	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1733	3846792	3845116	se_ill_se_contig54	contig_95	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	17381	3864174	3846793	se_ill_se_contig38	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2199	3866317	3864175	se_ill_se_contig52	contig_95	99.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	2283	3866318	3868600	se_ill_se_contig51	contig_95	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	3868991	3868601	se_ill_se_contig69	contig_95	98.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	139962	3868992	4008936	se_ill_se_contig14	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	4008937	4010077	se_ill_se_contig56	contig_95	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	80782	4010078	4090846	se_ill_se_contig22	contig_95	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2199	4092990	4090847	se_ill_se_contig52	contig_95	99.38		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	133795	4226770	4092991	se_ill_se_contig15	contig_95	99.97		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	4227911	4226771	se_ill_se_contig56	contig_95	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86784	4227912	4314681	se_ill_se_contig1	contig_95	99.95		True
local misassembly
87064	391817	4314682	4619385	se_ill_se_contig1	contig_95	99.96		True
local misassembly
391739	391817	4619481	4619559	se_ill_se_contig1	contig_95	97.47		True
local misassembly
392052	529984	4619968	4757875	se_ill_se_contig1	contig_95	99.97		True
CONTIG	contig_95	4757875	misassembled
75902	77235	1335	2	se_ill_se_contig11	contig_96	92.05		True
unknown
66851	67736	10324	9439	se_ill_se_contig11	contig_96	91.08		True
unknown
66425	66847	10750	10328	se_ill_se_contig11	contig_96	90.78		True
unknown
66181	66387	10992	10786	se_ill_se_contig11	contig_96	90.34		True
unknown
64235	64630	12941	12546	se_ill_se_contig11	contig_96	92.42		True
unknown
17655	17836	52947	52766	se_ill_se_contig11	contig_96	93.41		True
unknown
17537	17613	53057	52981	se_ill_se_contig11	contig_96	97.4		True
unknown
13204	13379	57392	57217	se_ill_se_contig11	contig_96	90.91		True
unknown
12913	13203	57684	57394	se_ill_se_contig11	contig_96	90.38		True
unknown
11881	12054	58722	58549	se_ill_se_contig11	contig_96	91.38		True
unknown
13644	13740	102543	102639	se_ill_se_contig4	contig_96	95.88		True
unknown
13761	13913	102657	102809	se_ill_se_contig4	contig_96	94.12		True
unknown
15973	16345	104862	105234	se_ill_se_contig4	contig_96	91.15		True
unknown
16660	16763	105552	105655	se_ill_se_contig4	contig_96	100.0		True
unknown
16764	16860	105661	105757	se_ill_se_contig4	contig_96	98.97		True
unknown
26700	27154	115433	115887	se_ill_se_contig4	contig_96	91.5		True
unknown
28279	32275	116882	120874	se_ill_se_contig4	contig_96	90.47		True
unknown
85353	85456	174638	174741	se_ill_se_contig4	contig_96	91.35		True
unknown
85644	86066	174928	175350	se_ill_se_contig4	contig_96	90.07		True
unknown
88746	89321	178067	178642	se_ill_se_contig4	contig_96	90.1		True
unknown
96906	97197	196191	196482	se_ill_se_contig4	contig_96	91.44		True
unknown
112872	113540	208648	209316	se_ill_se_contig4	contig_96	92.53		True
unknown
113542	114505	209317	210280	se_ill_se_contig4	contig_96	91.08		True
unknown
114507	115181	210281	210955	se_ill_se_contig4	contig_96	90.96		True
unknown
116097	116166	211870	211939	se_ill_se_contig4	contig_96	91.43		True
unknown
148160	148418	220282	220540	se_ill_se_contig4	contig_96	90.35		True
unknown
149842	149941	221944	222043	se_ill_se_contig4	contig_96	96.0		True
unknown
170710	171040	237255	237585	se_ill_se_contig4	contig_96	92.45		True
unknown
172693	172758	239227	239292	se_ill_se_contig4	contig_96	96.97		True
unknown
173411	173475	239871	239935	se_ill_se_contig4	contig_96	96.92		True
unknown
184574	184904	262804	263134	se_ill_se_contig4	contig_96	94.26		True
unknown
184922	185001	263154	263233	se_ill_se_contig4	contig_96	90.0		True
unknown
185493	185579	263726	263812	se_ill_se_contig4	contig_96	90.8		True
unknown
193760	193980	264828	265048	se_ill_se_contig4	contig_96	91.86		True
unknown
197592	197809	268744	268961	se_ill_se_contig4	contig_96	91.82		True
unknown
201789	201951	272995	273157	se_ill_se_contig4	contig_96	91.41		True
unknown
201966	202036	273174	273244	se_ill_se_contig4	contig_96	94.37		True
unknown
202158	202224	273366	273432	se_ill_se_contig4	contig_96	92.54		True
unknown
17756	17877	286274	286153	se_ill_se_contig37	contig_96	90.16		True
unknown
17515	17752	286515	286278	se_ill_se_contig37	contig_96	92.02		True
unknown
16277	17020	287754	287011	se_ill_se_contig37	contig_96	92.47		True
unknown
12888	13762	291127	290251	se_ill_se_contig37	contig_96	90.08		True
unknown
10129	10531	294053	293651	se_ill_se_contig37	contig_96	90.07		True
unknown
10006	10097	294173	294082	se_ill_se_contig37	contig_96	92.39		True
unknown
3675	3855	300419	300239	se_ill_se_contig37	contig_96	93.92		True
unknown
103859	104096	303656	303894	se_ill_se_contig19	contig_96	94.58		True
unknown
2	2387	303841	306224	se_ill_se_contig42	contig_96	97.95		True
unknown
3345	5078	307159	308894	se_ill_se_contig42	contig_96	97.3		True
unknown
160	239	308998	309077	se_ill_se_contig7	contig_96	90.0		True
unknown
5815	5895	314644	314724	se_ill_se_contig7	contig_96	91.36		True
unknown
5897	6242	314725	315070	se_ill_se_contig7	contig_96	91.33		True
unknown
6243	6340	315074	315171	se_ill_se_contig7	contig_96	92.86		True
unknown
6372	6489	315203	315320	se_ill_se_contig7	contig_96	90.68		True
unknown
13119	13500	321769	322150	se_ill_se_contig7	contig_96	97.64		True
unknown
13501	14264	322152	322915	se_ill_se_contig7	contig_96	92.54		True
unknown
14373	14557	323009	323193	se_ill_se_contig7	contig_96	94.05		True
unknown
14559	15251	323194	323886	se_ill_se_contig7	contig_96	91.77		True
unknown
15389	15535	324020	324166	se_ill_se_contig7	contig_96	91.16		True
unknown
18919	19014	327552	327647	se_ill_se_contig7	contig_96	91.67		True
unknown
20379	20580	328308	328509	se_ill_se_contig7	contig_96	92.57		True
unknown
23149	23374	331077	331303	se_ill_se_contig7	contig_96	94.71		True
unknown
42115	42501	333159	333546	se_ill_se_contig7	contig_96	97.17		True
unknown
73187	73382	374076	374271	se_ill_se_contig7	contig_96	90.82		True
unknown
74125	74189	375014	375078	se_ill_se_contig7	contig_96	93.85		True
unknown
81849	81935	382469	382555	se_ill_se_contig7	contig_96	98.85		True
unknown
90291	90714	388903	389326	se_ill_se_contig7	contig_96	90.8		True
unknown
104132	104222	392058	392148	se_ill_se_contig7	contig_96	100.0		True
unknown
104134	104383	392335	392584	se_ill_se_contig7	contig_96	94.8		True
unknown
104552	104765	392750	392963	se_ill_se_contig7	contig_96	98.6		True
unknown
104836	104913	393036	393113	se_ill_se_contig7	contig_96	91.03		True
unknown
105021	105239	393231	393449	se_ill_se_contig7	contig_96	94.98		True
unknown
105241	105421	393450	393630	se_ill_se_contig7	contig_96	93.92		True
unknown
107996	108108	396205	396317	se_ill_se_contig7	contig_96	96.46		True
unknown
109037	110018	397090	398071	se_ill_se_contig7	contig_96	91.55		True
unknown
127799	129779	418860	420840	se_ill_se_contig7	contig_96	90.31		True
unknown
105	1798	440837	442530	se_ill_se_contig35	contig_96	90.64		True
unknown
6103	6420	446816	447133	se_ill_se_contig35	contig_96	90.57		True
unknown
1726	3065	473241	474580	se_ill_se_contig26	contig_96	93.96		True
unknown
16953	17294	481457	481798	se_ill_se_contig26	contig_96	90.35		True
unknown
21165	21249	484637	484721	se_ill_se_contig26	contig_96	90.59		True
unknown
32004	32119	495428	495543	se_ill_se_contig26	contig_96	90.52		True
unknown
32448	32706	495872	496130	se_ill_se_contig26	contig_96	90.35		True
unknown
45822	46007	509171	509356	se_ill_se_contig26	contig_96	93.01		True
unknown
46008	46135	509365	509492	se_ill_se_contig26	contig_96	94.53		True
unknown
46149	46393	509509	509753	se_ill_se_contig26	contig_96	90.2		True
unknown
107522	108506	620564	619580	se_ill_se_contig10	contig_96	92.49		True
unknown
