All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# contigs (>= 0 bp)          8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
# contigs (>= 1000 bp)       8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
# contigs (>= 5000 bp)       8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
# contigs (>= 10000 bp)      8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
# contigs (>= 25000 bp)      8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
# contigs (>= 50000 bp)      8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
Total length (>= 0 bp)       30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Total length (>= 1000 bp)    30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Total length (>= 5000 bp)    30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Total length (>= 10000 bp)   30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Total length (>= 25000 bp)   30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Total length (>= 50000 bp)   30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
# contigs                    8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
Largest contig               6792253         6792196               6792240                6792242                6791560               6791674               6787718          6792241         6792182               6792245                6792248                6791611               6791688               6788581          6792241         6792182               6792244                6792249                6791613               6791620               6788581        
Total length                 30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
Reference length             30512959        30512959              30512959               30512959               30512959              30512959              30512959         30512959        30512959              30512959               30512959               30512959              30512959              30512959         30512959        30512959              30512959               30512959               30512959              30512959              30512959       
N50                          4758965         4757933               4758577                4758103                4757936               4757875               4756113          4758986         4758029               4758599                4758140                4757918               4757909               4756067          4758962         4757806               4758586                4758100                4757923               4757852               4756051        
N75                          2992084         2992068               2992075                2992072                2991900               2991958               2990676          2992084         2992066               2992074                2992072                2991919               2991966               2990627          2992084         2992066               2992074                2992073                2991919               2991966               2990627        
L50                          3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3                3               3                     3                      3                      3                     3                     3              
L75                          5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5                5               5                     5                      5                      5                     5                     5              
# misassemblies              168             167                   168                    172                    167                   174                   176              170             167                   167                    171                    168                   172                   177              170             168                   167                    170                    168                   174                   174            
# misassembled contigs       8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8                8               8                     8                      8                      8                     8                     8              
Misassembled contigs length  30867659        30863086              30864993               30854445               30851823              30845869              30849737         30867164        30863526              30865115               30854432               30853169              30847042              30850562         30867063        30862897              30865071               30855474               30852231              30845818              30850200       
# local misassemblies        117             121                   136                    135                    149                   140                   203              115             116                   132                    136                    152                   141                   206              117             119                   133                    137                    150                   141                   207            
# scaffold gap ext. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# scaffold gap loc. mis.     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned mis. contigs     0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0                0               0                     0                      0                      0                     0                     0              
# unaligned contigs          0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 8 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 8 part       0 + 7 part      0 + 7 part            0 + 7 part             0 + 7 part             0 + 7 part            0 + 7 part            0 + 8 part     
Unaligned length             79301           79024                 82721                  82427                  78902                 77927                 140331           78460           78392                 81958                  80540                  78032                 77044                 140179           78460           78655                 82194                  81821                  78115                 77252                 140623         
