S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_96	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_96	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	3000	2517	sa_ill_sa_contig65	contig_96	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226539	3001	sa_ill_sa_contig1	contig_96	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226540	227869	sa_ill_sa_contig48	contig_96	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326536	227870	sa_ill_sa_contig11	contig_96	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326537	333624	sa_ill_sa_contig36	contig_96	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355422	333625	sa_ill_sa_contig30	contig_96	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355423	356134	sa_ill_sa_contig55	contig_96	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370350	356135	sa_ill_sa_contig34	contig_96	99.83		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370504	403501	sa_ill_sa_contig26	contig_96	99.8		True
local misassembly [fragmentation of reference genome]
2	925	403706	404624	sa_ill_sa_contig51	contig_96	97.85		True
translocation
198	3323	405180	408309	sa_ill_sa_contig41	contig_96	99.59		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408731	410334	sa_ill_sa_contig8	contig_96	99.59		True
translocation
1	28120	410335	438475	sa_ill_sa_contig28	contig_96	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438480	478233	sa_ill_sa_contig21	contig_96	99.88		True
local misassembly [fragmentation of reference genome]
98092	98471	478612	478234	sa_ill_sa_contig11	contig_96	97.97		True
translocation
1	62604	478613	541086	sa_ill_sa_contig14	contig_96	99.61		True
local misassembly
62396	62502	541136	541242	sa_ill_sa_contig14	contig_96	98.6		True
translocation
203	3323	541243	544362	sa_ill_sa_contig41	contig_96	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544783	546385	sa_ill_sa_contig8	contig_96	99.47		True
translocation
19	34443	580820	546386	sa_ill_sa_contig24	contig_96	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619624	580821	sa_ill_sa_contig22	contig_96	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619625	620157	sa_ill_sa_contig63	contig_96	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654549	620158	sa_ill_sa_contig25	contig_96	99.85		True
translocation
203	3323	654714	657839	sa_ill_sa_contig41	contig_96	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	658212	790272	sa_ill_sa_contig8	contig_96	99.85		True
