Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# misassemblies	8	6	6	6	6	6	10	6	6	6	6	6	6	10	6	6	6	6	6	6	10
  # contig misassemblies	8	6	6	6	6	6	10	6	6	6	6	6	6	10	6	6	6	6	6	6	10
    # c. relocations	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	7	6	6	6	6	6	10	6	6	6	6	6	6	10	6	6	6	6	6	6	10
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	6792242	6792185	6792243	6792248	6791549	6791659	6788581	6792253	6792197	6792245	6792241	6791556	6791638	6787718	6792253	6792197	6792245	6792241	6791556	6791638	6787718
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	16	18	18	18	18	18	34	18	18	18	18	18	18	34	18	18	18	18	18	18	34
# local misassemblies	11	11	11	11	11	11	25	11	11	11	11	11	11	29	11	11	11	11	11	11	29
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	20	21	21	21	21	21	16	21	21	21	21	21	21	16	21	21	21	21	21	21	16
# unaligned mis. contigs	7	7	7	7	7	7	5	7	7	7	6	7	6	7	7	7	7	7	7	7	6
# mismatches	3961	3776	3806	3774	3964	3981	4303	3928	3777	3799	3759	3899	3900	4389	3915	3771	3800	3803	3930	3960	4382
# indels	364	340	245	242	1054	991	6528	368	345	244	242	1020	959	6498	368	345	244	242	1020	959	6510
    # indels (<= 5 bp)	269	243	151	148	960	896	6405	272	247	150	148	924	865	6377	272	247	150	148	924	865	6389
    # indels (> 5 bp)	95	97	94	94	94	95	123	96	98	94	94	96	94	121	96	98	94	94	96	94	121
Indels length	5394	5400	5261	5258	6174	6102	12917	5411	5411	5261	5259	6142	6072	12810	5411	5411	5261	5259	6142	6072	12830
