S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	11003	11003	1	ec_ill_ec_contig44	contig_2	100.0		True
local misassembly [fragmentation of reference genome]
22	507	11099	11584	ec_ill_ec_contig104	contig_2	91.77		True
fake: not a misassembly [fragmentation of reference genome]
82979	138617	67290	11652	ec_ill_ec_contig8	contig_2	99.99		True
local misassembly
3012	83127	147496	67481	ec_ill_ec_contig8	contig_2	99.87		True
indel: stretch of mismatches
1	3011	150507	147497	ec_ill_ec_contig8	contig_2	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	153535	150509	ec_ill_ec_contig65	contig_2	99.5		True
local misassembly
1	1463	155318	153856	ec_ill_ec_contig65	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	399	155319	155660	ec_ill_ec_contig6	contig_2	98.24		True
translocation
1	30843	155661	186503	ec_ill_ec_contig43	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	187423	186504	ec_ill_ec_contig83	contig_2	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4268	187424	191691	ec_ill_ec_contig66	contig_2	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	194936	191910	ec_ill_ec_contig65	contig_2	99.7		True
local misassembly
1	1463	196719	195257	ec_ill_ec_contig65	contig_2	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	71920	269033	197118	ec_ill_ec_contig24	contig_2	99.99		True
local misassembly [fragmentation of reference genome]
1	53688	322720	269034	ec_ill_ec_contig33	contig_2	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	325968	322939	ec_ill_ec_contig65	contig_2	99.67		True
local misassembly
1	1463	327843	326381	ec_ill_ec_contig65	contig_2	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	88468	328247	416711	ec_ill_ec_contig23	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	419683	416712	ec_ill_ec_contig65	contig_2	99.7		True
local misassembly
1	1463	421466	420004	ec_ill_ec_contig65	contig_2	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1	111087	421651	532737	ec_ill_ec_contig12	contig_2	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	569	532738	533250	ec_ill_ec_contig97	contig_2	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1357	534607	533251	ec_ill_ec_contig77	contig_2	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	615	535167	534608	ec_ill_ec_contig92	contig_2	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	22687	535168	557854	ec_ill_ec_contig48	contig_2	99.98		True
translocation
71245	71855	557855	558465	ec_ill_ec_contig25	contig_2	97.25		True
fake: not a misassembly [fragmentation of reference genome]
4875	5324	559017	558568	ec_ill_ec_contig64	contig_2	100.0		True
translocation
1	2425	561442	559018	ec_ill_ec_contig72	contig_2	100.0		True
