S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337892	bs_ill_bs_contig2	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338876	338743	bs_ill_bs_contig20	contig_18	100.0		True
translocation
56	319	339542	339278	bs_ill_bs_contig13	contig_18	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339543	340694	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340696	341606	bs_ill_bs_contig991	contig_18	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342329	341608	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343682	342701	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343683	343967	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	257004	601117	344068	bs_ill_bs_contig8	contig_18	99.98		True
translocation
1	599	601716	601118	bs_ill_bs_contig2	contig_18	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602275	601718	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	29697	631969	602276	bs_ill_bs_contig18	contig_18	99.96		True
translocation
56	393	632307	631970	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632308	633459	bs_ill_bs_contig839	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633461	634371	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635094	634373	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636392	635466	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636393	961860	bs_ill_bs_contig3	contig_18	99.94		True
translocation
1	599	962459	961861	bs_ill_bs_contig2	contig_18	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	963019	962461	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	104023	963020	1067040	bs_ill_bs_contig12	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085545	1067194	bs_ill_bs_contig20	contig_18	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1085759	1086910	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086912	1087822	bs_ill_bs_contig991	contig_18	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088545	1087824	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1089897	1088917	bs_ill_bs_contig933	contig_18	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1089898	1090273	bs_ill_bs_contig3	contig_18	99.54		True
translocation
56	453	1090758	1090361	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090759	1091910	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1091912	1092822	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1093545	1092824	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094898	1093917	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094899	1095274	bs_ill_bs_contig3	contig_18	99.54		True
local misassembly
521	601	1095536	1095616	bs_ill_bs_contig3	contig_18	100.0		True
translocation
56	449	1096371	1095978	bs_ill_bs_contig13	contig_18	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1096372	1097523	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1097525	1098435	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1099158	1098437	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1100510	1099530	bs_ill_bs_contig933	contig_18	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1100511	1100830	bs_ill_bs_contig3	contig_18	99.77		True
translocation
1	60136	1160967	1100831	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160968	1162064	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1162066	1162976	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1163699	1162978	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1165052	1164071	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1165053	1165338	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	536	1166320	1165785	bs_ill_bs_contig1326	contig_18	100.0		True
translocation
56	453	1166835	1166437	bs_ill_bs_contig13	contig_18	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1166836	1167987	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1167989	1168899	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1169622	1168901	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1170975	1169994	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1170976	1171261	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	55215	1226571	1171357	bs_ill_bs_contig15	contig_18	100.0		True
translocation
328	395	1226639	1226572	bs_ill_bs_contig13	contig_18	100.0		True
local misassembly
147	274	1226901	1226774	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (<= 5bp)
56	145	1226991	1226902	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1226992	1228143	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1228145	1229055	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229778	1229057	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1231308	1230327	bs_ill_bs_contig933	contig_18	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1231309	1231595	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	15524	1247206	1231683	bs_ill_bs_contig21	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1247604	1248755	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1248757	1249667	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1250390	1249669	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251920	1250939	bs_ill_bs_contig933	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1312043	1252174	bs_ill_bs_contig14	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1312274	2021203	bs_ill_bs_contig1	contig_18	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2021205	2021803	bs_ill_bs_contig2	contig_18	99.41		True
translocation
1	263211	2285013	2021804	bs_ill_bs_contig7	contig_18	100.0		True
translocation
1	620	2285633	2285014	bs_ill_bs_contig2	contig_18	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	2286192	2285635	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	38370	2324562	2286193	bs_ill_bs_contig16	contig_18	100.0		True
translocation
56	341	2324848	2324563	bs_ill_bs_contig3	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	982	2324849	2325830	bs_ill_bs_contig933	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	2326202	2326923	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	2327835	2326925	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	2328988	2327837	bs_ill_bs_contig839	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	274	2328989	2329207	bs_ill_bs_contig13	contig_18	100.0		True
local misassembly
328	453	2329342	2329467	bs_ill_bs_contig13	contig_18	100.0		True
translocation
1	536	2329612	2330120	bs_ill_bs_contig1326	contig_18	90.26		True
fake: not a misassembly [fragmentation of reference genome]
1	37065	2368475	2331412	bs_ill_bs_contig17	contig_18	100.0		True
translocation
708489	709047	2368476	2369034	bs_ill_bs_contig1	contig_18	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2369036	2369634	bs_ill_bs_contig2	contig_18	99.26		True
translocation
1	315068	2369635	2684699	bs_ill_bs_contig4	contig_18	100.0		True
translocation
708490	709047	2684700	2685257	bs_ill_bs_contig1	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2685259	2685858	bs_ill_bs_contig2	contig_18	99.11		True
translocation
1	294381	2980238	2685859	bs_ill_bs_contig5	contig_18	100.0		True
translocation
1	618	2980856	2980239	bs_ill_bs_contig2	contig_18	99.26		True
fake: not a misassembly [fragmentation of reference genome]
