S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
500	577	1	78	sa_ill_sa_contig41	contig_12	92.31		False
1	166	166	1	bs_ill_bs_contig13	contig_12	93.98		False
134	701	1	568	lf_ill_lf_contig82	contig_12	96.13		False
589	1151	90	652	sa_ill_sa_contig41	contig_12	93.25		False
3783	3865	900	818	ec_ill_ec_contig65	contig_12	97.59		False
4406	4488	900	818	pa_ill_pa_contig44	contig_12	97.59		False
968	1050	818	900	se_ill_se_contig42	contig_12	97.59		False
3577	3824	905	658	lf_ill_lf_contig57	contig_12	94.35		False
3443	3552	1039	930	lf_ill_lf_contig57	contig_12	93.64		False
1158	1540	659	1041	sa_ill_sa_contig41	contig_12	94.78		False
1559	1639	1061	1141	sa_ill_sa_contig41	contig_12	97.53		False
1	1065	112	1176	bs_ill_bs_contig839	contig_12	95.6		False
3315	3430	1178	1063	lf_ill_lf_contig57	contig_12	97.41		False
1871	2057	1371	1557	sa_ill_sa_contig41	contig_12	90.37		False
2099	2316	1604	1821	sa_ill_sa_contig41	contig_12	91.74		False
2566	2641	1927	1852	lf_ill_lf_contig57	contig_12	90.79		False
328	2426	1	2112	ef_ill_ef_contig17	contig_12	90.13		False
108	910	1371	2179	bs_ill_bs_contig991	contig_12	91.87		False
2079	2322	2412	2169	lf_ill_lf_contig57	contig_12	91.39		False
47	293	2168	2414	ef_ill_ef_contig25	contig_12	92.31		False
2614	2917	2121	2424	sa_ill_sa_contig41	contig_12	93.09		False
386	515	2514	2643	ef_ill_ef_contig25	contig_12	91.54		False
2985	3136	2493	2644	sa_ill_sa_contig41	contig_12	92.11		False
1684	1803	2808	2689	lf_ill_lf_contig57	contig_12	90.0		False
543	680	2671	2808	ef_ill_ef_contig25	contig_12	93.48		False
83	720	2820	2184	bs_ill_bs_contig1146	contig_12	90.39		False
1206	1320	3311	3197	ec_ill_ec_contig65	contig_12	93.91		False
3523	3637	3197	3311	se_ill_se_contig42	contig_12	93.91		False
3694	3767	3368	3441	se_ill_se_contig42	contig_12	91.89		False
1075	1149	3442	3368	ec_ill_ec_contig65	contig_12	90.67		False
904	1287	3442	3059	lf_ill_lf_contig57	contig_12	90.36		False
1397	1517	3729	3609	pa_ill_pa_contig44	contig_12	95.04		False
786	911	3729	3604	ec_ill_ec_contig65	contig_12	93.65		False
3937	4076	3609	3748	se_ill_se_contig42	contig_12	93.57		False
656	727	3860	3789	ec_ill_ec_contig65	contig_12	97.22		False
4115	4187	3788	3860	se_ill_se_contig42	contig_12	97.26		False
1201	1338	3926	3789	pa_ill_pa_contig44	contig_12	92.03		False
1	966	4330	3367	bs_ill_bs_contig933	contig_12	94.21		False
1	735	4344	3610	lf_ill_lf_contig57	contig_12	90.2		False
1	133	4276	4408	bs_ill_bs_contig3	contig_12	91.73		False
159	246	4434	4521	bs_ill_bs_contig3	contig_12	90.91		False
266	333	4543	4610	bs_ill_bs_contig3	contig_12	95.59		False
38	1590	3060	4610	sa_ill_sa_contig8	contig_12	90.82		False
245	1807	4610	3059	ef_ill_ef_contig19	contig_12	90.95		False
1703	2436	261046	261779	lm_ill_lm_contig10	contig_12	92.28		False
935	1665	261944	261214	lm_ill_lm_contig11	contig_12	91.24		False
2007	2579	265217	264645	lm_ill_lm_contig11	contig_12	91.62		False
1932	2006	265293	265219	lm_ill_lm_contig11	contig_12	93.33		False
461	532	376444	376373	lm_ill_lm_contig29	contig_12	100.0		False
99075	99146	376444	376373	bs_ill_bs_contig3	contig_12	100.0		False
18222	18293	376373	376444	bs_ill_bs_contig20	contig_12	100.0		False
34981	35053	376372	376444	bs_ill_bs_contig15	contig_12	100.0		False
1141	1216	376369	376444	lm_ill_lm_contig1	contig_12	100.0		False
782245	782323	376450	376372	lm_ill_lm_contig1	contig_12	100.0		False
106	324	376685	376908	sa_ill_sa_contig25	contig_12	91.56		False
666	745	597088	597009	lm_ill_lm_contig1	contig_12	97.5		False
18712	18794	597185	597267	ef_ill_ef_contig14	contig_12	90.36		False
782151	782225	597365	597439	lm_ill_lm_contig1	contig_12	100.0		False
18914	18992	597361	597439	ef_ill_ef_contig14	contig_12	98.73		False
398	640	597530	597286	lm_ill_lm_contig1	contig_12	99.18		False
19002	19075	597543	597616	ef_ill_ef_contig14	contig_12	97.3		False
782251	782322	597673	597744	lm_ill_lm_contig1	contig_12	100.0		False
1145	1217	597744	597672	lm_ill_lm_contig1	contig_12	100.0		False
34982	35054	597744	597672	bs_ill_bs_contig15	contig_12	100.0		False
18222	18295	597744	597671	bs_ill_bs_contig20	contig_12	100.0		False
19096	19173	597667	597744	ef_ill_ef_contig14	contig_12	98.72		False
99073	99150	597671	597748	bs_ill_bs_contig3	contig_12	97.44		False
786378	786452	597876	597950	lm_ill_lm_contig1	contig_12	100.0		False
938	1014	597952	597876	lm_ill_lm_contig1	contig_12	100.0		False
232021	232164	597869	598012	lm_ill_lm_contig5	contig_12	100.0		False
497	577	598261	598341	sa_ill_sa_contig41	contig_12	92.59		False
1	277	598429	598153	bs_ill_bs_contig13	contig_12	91.07		False
129	701	598259	598831	lf_ill_lf_contig82	contig_12	96.16		False
589	1151	598353	598915	sa_ill_sa_contig41	contig_12	93.25		False
4406	4488	599163	599081	pa_ill_pa_contig44	contig_12	97.59		False
3783	3865	599163	599081	ec_ill_ec_contig65	contig_12	97.59		False
968	1050	599081	599163	se_ill_se_contig42	contig_12	97.59		False
3577	3824	599168	598921	lf_ill_lf_contig57	contig_12	94.35		False
3443	3552	599302	599193	lf_ill_lf_contig57	contig_12	93.64		False
1158	1540	598922	599304	sa_ill_sa_contig41	contig_12	94.78		False
1559	1639	599324	599404	sa_ill_sa_contig41	contig_12	97.53		False
1	1065	598375	599439	bs_ill_bs_contig839	contig_12	95.6		False
3315	3430	599441	599326	lf_ill_lf_contig57	contig_12	97.41		False
1871	2057	599634	599820	sa_ill_sa_contig41	contig_12	90.37		False
2099	2316	599867	600084	sa_ill_sa_contig41	contig_12	91.74		False
2566	2641	600190	600115	lf_ill_lf_contig57	contig_12	90.79		False
214	2426	598151	600375	ef_ill_ef_contig17	contig_12	90.0		False
108	910	599634	600442	bs_ill_bs_contig991	contig_12	91.87		False
2079	2322	600675	600432	lf_ill_lf_contig57	contig_12	91.39		False
47	293	600431	600677	ef_ill_ef_contig25	contig_12	92.31		False
2614	2917	600384	600687	sa_ill_sa_contig41	contig_12	93.09		False
386	515	600777	600906	ef_ill_ef_contig25	contig_12	91.54		False
2985	3136	600756	600907	sa_ill_sa_contig41	contig_12	92.11		False
1684	1803	601071	600952	lf_ill_lf_contig57	contig_12	90.0		False
543	680	600934	601071	ef_ill_ef_contig25	contig_12	93.48		False
83	720	601083	600447	bs_ill_bs_contig1146	contig_12	90.39		False
689	759	601256	601326	sa_ill_sa_contig51	contig_12	98.59		False
701	773	601331	601259	ef_ill_ef_contig21	contig_12	100.0		False
82	155	601451	601378	ef_ill_ef_contig2	contig_12	100.0		False
862	935	601451	601378	lm_ill_lm_contig1	contig_12	100.0		False
1206	1320	601825	601711	ec_ill_ec_contig65	contig_12	93.91		False
3523	3637	601711	601825	se_ill_se_contig42	contig_12	93.91		False
3694	3767	601882	601955	se_ill_se_contig42	contig_12	91.89		False
1075	1149	601956	601882	ec_ill_ec_contig65	contig_12	90.67		False
904	1287	601956	601573	lf_ill_lf_contig57	contig_12	90.36		False
1397	1517	602243	602123	pa_ill_pa_contig44	contig_12	95.04		False
786	911	602243	602118	ec_ill_ec_contig65	contig_12	93.65		False
3937	4076	602123	602262	se_ill_se_contig42	contig_12	93.57		False
656	727	602374	602303	ec_ill_ec_contig65	contig_12	97.22		False
4115	4187	602302	602374	se_ill_se_contig42	contig_12	97.26		False
1201	1338	602440	602303	pa_ill_pa_contig44	contig_12	92.03		False
1	966	602844	601881	bs_ill_bs_contig933	contig_12	94.21		False
1	735	602858	602124	lf_ill_lf_contig57	contig_12	90.2		False
1	133	602790	602922	bs_ill_bs_contig3	contig_12	91.73		False
159	246	602948	603035	bs_ill_bs_contig3	contig_12	90.91		False
266	333	603057	603124	bs_ill_bs_contig3	contig_12	95.59		False
38	1590	601574	603124	sa_ill_sa_contig8	contig_12	90.82		False
245	1807	603124	601573	ef_ill_ef_contig19	contig_12	90.95		False
266	333	1146430	1146363	bs_ill_bs_contig3	contig_12	95.59		False
159	246	1146539	1146452	bs_ill_bs_contig3	contig_12	90.91		False
1	133	1146697	1146565	bs_ill_bs_contig3	contig_12	91.73		False
656	727	1147113	1147184	ec_ill_ec_contig65	contig_12	97.22		False
1201	1338	1147047	1147184	pa_ill_pa_contig44	contig_12	92.03		False
4115	4187	1147185	1147113	se_ill_se_contig42	contig_12	97.26		False
1	735	1146629	1147363	lf_ill_lf_contig57	contig_12	90.2		False
1397	1517	1147244	1147364	pa_ill_pa_contig44	contig_12	95.04		False
3937	4076	1147364	1147225	se_ill_se_contig42	contig_12	93.57		False
786	911	1147244	1147369	ec_ill_ec_contig65	contig_12	93.65		False
3694	3767	1147605	1147532	se_ill_se_contig42	contig_12	91.89		False
1075	1149	1147531	1147605	ec_ill_ec_contig65	contig_12	90.67		False
1	966	1146643	1147606	bs_ill_bs_contig933	contig_12	94.21		False
