S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337867	bs_ill_bs_contig2	contig_18	99.98		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338851	338718	bs_ill_bs_contig20	contig_18	100.0		True
translocation
56	319	339517	339253	bs_ill_bs_contig13	contig_18	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339518	340669	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340671	341581	bs_ill_bs_contig991	contig_18	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342304	341583	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343657	342676	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343658	343942	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	257004	601063	344043	bs_ill_bs_contig8	contig_18	99.97		True
translocation
1	599	601662	601064	bs_ill_bs_contig2	contig_18	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602221	601664	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	29697	631917	602222	bs_ill_bs_contig18	contig_18	99.95		True
translocation
56	393	632255	631918	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632256	633407	bs_ill_bs_contig839	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633409	634317	bs_ill_bs_contig991	contig_18	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635040	634319	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636338	635412	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636339	961789	bs_ill_bs_contig3	contig_18	99.93		True
translocation
1	599	962388	961790	bs_ill_bs_contig2	contig_18	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	962948	962390	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	104023	962949	1066957	bs_ill_bs_contig12	contig_18	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085460	1067111	bs_ill_bs_contig20	contig_18	99.95		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1085674	1086825	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086827	1087736	bs_ill_bs_contig991	contig_18	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088459	1087738	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1089812	1088831	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1089813	1090188	bs_ill_bs_contig3	contig_18	99.54		True
translocation
56	453	1090673	1090276	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090674	1091825	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1091827	1092737	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1093458	1092739	bs_ill_bs_contig1146	contig_18	99.72		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094811	1093830	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094812	1095187	bs_ill_bs_contig3	contig_18	99.54		True
local misassembly
521	601	1095449	1095529	bs_ill_bs_contig3	contig_18	100.0		True
translocation
56	449	1096282	1095889	bs_ill_bs_contig13	contig_18	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1096283	1097434	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1097436	1098346	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1099069	1098348	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1100422	1099441	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1100423	1100742	bs_ill_bs_contig3	contig_18	99.77		True
translocation
1	60136	1160877	1100743	bs_ill_bs_contig13	contig_18	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160878	1161972	bs_ill_bs_contig839	contig_18	99.65		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1161974	1162884	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1163606	1162886	bs_ill_bs_contig1146	contig_18	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1164959	1163978	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1164960	1165245	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	536	1166229	1165694	bs_ill_bs_contig1326	contig_18	100.0		True
translocation
56	453	1166744	1166346	bs_ill_bs_contig13	contig_18	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1166745	1167896	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1167898	1168808	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1169531	1168810	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1170884	1169903	bs_ill_bs_contig933	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1170885	1171170	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	55215	1226482	1171266	bs_ill_bs_contig15	contig_18	99.99		True
translocation
328	395	1226550	1226483	bs_ill_bs_contig13	contig_18	100.0		True
local misassembly
56	274	1226903	1226685	bs_ill_bs_contig13	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1226904	1228054	bs_ill_bs_contig839	contig_18	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1228056	1228966	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229689	1228968	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1231219	1230238	bs_ill_bs_contig933	contig_18	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1231220	1231506	bs_ill_bs_contig3	contig_18	100.0		True
translocation
1	15524	1247115	1231594	bs_ill_bs_contig21	contig_18	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1247513	1248664	bs_ill_bs_contig839	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1248666	1249576	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1250299	1249578	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251828	1250848	bs_ill_bs_contig933	contig_18	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1311950	1252082	bs_ill_bs_contig14	contig_18	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1312181	2021065	bs_ill_bs_contig1	contig_18	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2021067	2021665	bs_ill_bs_contig2	contig_18	99.41		True
translocation
1	263211	2284853	2021666	bs_ill_bs_contig7	contig_18	99.99		True
translocation
1	620	2285473	2284854	bs_ill_bs_contig2	contig_18	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	2286032	2285475	bs_ill_bs_contig1	contig_18	99.84		True
translocation
1	38370	2324403	2286033	bs_ill_bs_contig16	contig_18	99.99		True
translocation
56	341	2324689	2324404	bs_ill_bs_contig3	contig_18	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	982	2324690	2325669	bs_ill_bs_contig933	contig_18	99.8		True
fake: not a misassembly [fragmentation of reference genome]
1	722	2326041	2326762	bs_ill_bs_contig1146	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	2327674	2326764	bs_ill_bs_contig991	contig_18	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	2328825	2327676	bs_ill_bs_contig839	contig_18	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	274	2328826	2329044	bs_ill_bs_contig13	contig_18	100.0		True
local misassembly
328	453	2329179	2329304	bs_ill_bs_contig13	contig_18	100.0		True
translocation
1	536	2329449	2329957	bs_ill_bs_contig1326	contig_18	90.26		True
fake: not a misassembly [fragmentation of reference genome]
1	37065	2368313	2331249	bs_ill_bs_contig17	contig_18	99.98		True
translocation
708489	709047	2368314	2368872	bs_ill_bs_contig1	contig_18	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2368874	2369472	bs_ill_bs_contig2	contig_18	99.26		True
translocation
1	315068	2369473	2684505	bs_ill_bs_contig4	contig_18	99.98		True
translocation
708490	709047	2684506	2685065	bs_ill_bs_contig1	contig_18	99.51		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2685067	2685666	bs_ill_bs_contig2	contig_18	99.11		True
translocation
1	294381	2980031	2685667	bs_ill_bs_contig5	contig_18	99.99		True
translocation
1	618	2980649	2980032	bs_ill_bs_contig2	contig_18	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	2981209	2980651	bs_ill_bs_contig1	contig_18	99.84		True
translocation
114	252570	3233756	2981210	bs_ill_bs_contig9	contig_18	99.93		True
local misassembly
34	329	3234052	3233757	bs_ill_bs_contig9	contig_18	99.03		True
local misassembly [fragmentation of reference genome]
1	609	3234160	3234768	bs_ill_bs_contig1250	contig_18	100.0		True
translocation
155978	156135	3234926	3234769	bs_ill_bs_contig10	contig_18	98.37		True
local misassembly
155994	156223	3235288	3235059	bs_ill_bs_contig10	contig_18	96.52		True
local misassembly
156140	156290	3235475	3235325	bs_ill_bs_contig10	contig_18	94.7		True
local misassembly
156684	156751	3235678	3235611	bs_ill_bs_contig10	contig_18	98.53		True
local misassembly
156140	156408	3235979	3235711	bs_ill_bs_contig10	contig_18	96.28		True
translocation
59	507	3236216	3236655	bs_ill_bs_contig1250	contig_18	97.77		True
translocation
156423	156786	3237019	3236656	bs_ill_bs_contig10	contig_18	92.08		True
local misassembly
156234	156335	3237361	3237260	bs_ill_bs_contig10	contig_18	93.14		True
indel: indel (> 5bp)
155978	156197	3237581	3237362	bs_ill_bs_contig10	contig_18	99.55		True
local misassembly
156077	156223	3237860	3237714	bs_ill_bs_contig10	contig_18	97.96		True
local misassembly
156590	156939	3238274	3237925	bs_ill_bs_contig10	contig_18	100.0		True
local misassembly
