S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1705	1705	1	sa_ill_sa_contig8	contig_11	99.53		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	5244	2122	sa_ill_sa_contig41	contig_11	99.71		True
translocation
62396	62502	5351	5245	sa_ill_sa_contig14	contig_11	98.6		True
local misassembly
1	62604	67871	5401	sa_ill_sa_contig14	contig_11	99.6		True
translocation
98092	98471	67872	68250	sa_ill_sa_contig11	contig_11	97.97		True
local misassembly [fragmentation of reference genome]
1	39729	108003	68251	sa_ill_sa_contig21	contig_11	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	28120	136148	108008	sa_ill_sa_contig28	contig_11	99.85		True
translocation
1	1604	137752	136149	sa_ill_sa_contig8	contig_11	99.59		True
fake: not a misassembly [fragmentation of reference genome]
198	3323	141301	138174	sa_ill_sa_contig41	contig_11	99.78		True
translocation
2	925	142768	141853	sa_ill_sa_contig51	contig_11	97.63		True
local misassembly [fragmentation of reference genome]
1	32969	175972	142973	sa_ill_sa_contig26	contig_11	99.79		True
fake: not a misassembly [fragmentation of reference genome]
1	14210	176126	190338	sa_ill_sa_contig34	contig_11	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	191050	190339	sa_ill_sa_contig55	contig_11	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	191051	212847	sa_ill_sa_contig30	contig_11	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	219934	212848	sa_ill_sa_contig36	contig_11	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	219935	318613	sa_ill_sa_contig11	contig_11	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	319943	318614	sa_ill_sa_contig48	contig_11	99.72		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	319944	543455	sa_ill_sa_contig1	contig_11	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	533	543456	543933	sa_ill_sa_contig65	contig_11	99.06		True
local misassembly [fragmentation of reference genome]
56	720	545725	545061	sa_ill_sa_contig60	contig_11	98.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
124942	125486	546269	545726	sa_ill_sa_contig10	contig_11	93.31		True
translocation
