S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	1196	1	1195	se_ill_se_contig56	contig_94	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	51659	1196	52859	se_ill_se_contig27	contig_94	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	297853	350736	52860	se_ill_se_contig2	contig_94	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	448	350737	351129	se_ill_se_contig69	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4067	355198	351130	se_ill_se_contig46	contig_94	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3727	355199	358870	se_ill_se_contig47	contig_94	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1833	358871	360648	se_ill_se_contig53	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	542	361135	360649	se_ill_se_contig63	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
85533	162102	437708	361136	se_ill_se_contig11	contig_94	99.98		True
local misassembly
1	85763	524034	438269	se_ill_se_contig11	contig_94	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1196	525176	524035	se_ill_se_contig56	contig_94	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13725	525177	538903	se_ill_se_contig4	contig_94	99.99		True
local misassembly
13844	16547	538904	541607	se_ill_se_contig4	contig_94	98.95		True
local misassembly
16782	245298	541608	770131	se_ill_se_contig4	contig_94	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1788	770132	771865	se_ill_se_contig54	contig_94	99.66		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	771866	772711	se_ill_se_contig58	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1514	772712	774225	se_ill_se_contig55	contig_94	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	487	774226	774657	se_ill_se_contig65	contig_94	100.0		True
