S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124898	124977	146	225	sa_ill_sa_contig10	contig_100	97.5		False
125386	125480	633	727	sa_ill_sa_contig10	contig_100	94.74		False
305	382	370185	370263	sa_ill_sa_contig51	contig_100	98.73		False
1	161	370185	370358	sa_ill_sa_contig51	contig_100	92.53		False
105	186	403287	403206	sa_ill_sa_contig25	contig_100	100.0		False
164	242	403291	403369	sa_ill_sa_contig23	contig_100	100.0		False
306	382	403465	403542	sa_ill_sa_contig51	contig_100	98.72		False
890	964	404027	403953	ef_ill_ef_contig21	contig_100	93.33		False
691	773	404235	404153	ef_ill_ef_contig21	contig_100	93.98		False
1	75	404316	404242	ef_ill_ef_contig16	contig_100	100.0		False
502	577	404317	404242	lf_ill_lf_contig69	contig_100	94.74		False
610	689	404320	404241	ef_ill_ef_contig21	contig_100	100.0		False
439	523	404326	404242	lm_ill_lm_contig37	contig_100	96.47		False
429	521	404506	404414	ef_ill_ef_contig21	contig_100	95.7		False
269	356	404507	404420	lm_ill_lm_contig37	contig_100	95.45		False
324	418	404514	404420	lf_ill_lf_contig69	contig_100	94.74		False
98793	98873	404595	404675	bs_ill_bs_contig3	contig_100	91.36		False
276	350	404756	404682	sa_ill_sa_contig25	contig_100	100.0		False
98882	98963	404676	404757	bs_ill_bs_contig3	contig_100	93.9		False
92	173	404758	404677	bs_ill_bs_contig1326	contig_100	93.9		False
1	79	404928	404850	sa_ill_sa_contig25	contig_100	100.0		False
87	460	404683	405056	sa_ill_sa_contig23	contig_100	99.2		False
1535	1614	408694	408615	lm_ill_lm_contig16	contig_100	95.0		False
1617	1697	408694	408614	ef_ill_ef_contig19	contig_100	92.59		False
891	980	408901	408812	lf_ill_lf_contig57	contig_100	94.44		False
854	982	408925	408797	bs_ill_bs_contig933	contig_100	94.57		False
779	853	409014	408940	lf_ill_lf_contig57	contig_100	98.67		False
761	853	409019	408927	bs_ill_bs_contig933	contig_100	96.77		False
1208	1305	409024	408927	lm_ill_lm_contig16	contig_100	96.94		False
1289	1386	409024	408927	ef_ill_ef_contig19	contig_100	96.94		False
628	714	409153	409067	bs_ill_bs_contig933	contig_100	97.7		False
1068	1166	409165	409067	lm_ill_lm_contig16	contig_100	95.96		False
1149	1247	409165	409067	ef_ill_ef_contig19	contig_100	95.96		False
629	727	409165	409067	lf_ill_lf_contig57	contig_100	94.95		False
1410	1508	409165	409067	pa_ill_pa_contig44	contig_100	90.91		False
975	1064	409259	409170	lm_ill_lm_contig16	contig_100	100.0		False
523	612	409259	409170	bs_ill_bs_contig933	contig_100	100.0		False
1056	1145	409259	409170	ef_ill_ef_contig19	contig_100	94.44		False
536	625	409259	409170	lf_ill_lf_contig57	contig_100	91.11		False
412	488	409367	409291	bs_ill_bs_contig933	contig_100	92.21		False
864	940	409367	409291	lm_ill_lm_contig16	contig_100	90.91		False
655	827	409574	409402	lm_ill_lm_contig16	contig_100	91.91		False
203	376	409574	409401	bs_ill_bs_contig933	contig_100	91.38		False
735	909	409575	409401	ef_ill_ef_contig19	contig_100	91.43		False
480	567	409750	409663	lm_ill_lm_contig16	contig_100	94.32		False
27	114	409750	409663	bs_ill_bs_contig933	contig_100	94.32		False
41	128	409750	409663	lf_ill_lf_contig57	contig_100	93.18		False
561	648	409750	409663	ef_ill_ef_contig19	contig_100	92.05		False
142	348	438138	438344	sa_ill_sa_contig31	contig_100	97.58		False
1	133	478270	478138	sa_ill_sa_contig31	contig_100	98.5		False
134184	134302	478192	478310	sa_ill_sa_contig7	contig_100	97.48		False
131884	131983	478401	478302	sa_ill_sa_contig8	contig_100	98.0		False
45829	46373	478418	477875	sa_ill_sa_contig14	contig_100	98.17		False
