S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	188	188	1	sa_ill_sa_contig13	contig_100	100.0		False
305	382	370274	370352	sa_ill_sa_contig51	contig_100	98.73		False
1	161	370274	370447	sa_ill_sa_contig51	contig_100	92.53		False
105	186	403407	403326	sa_ill_sa_contig25	contig_100	100.0		False
164	242	403411	403489	sa_ill_sa_contig23	contig_100	100.0		False
306	382	403585	403662	sa_ill_sa_contig51	contig_100	98.72		False
9108	9197	403978	404067	sa_ill_sa_contig20	contig_100	97.78		False
890	964	404150	404076	ef_ill_ef_contig21	contig_100	93.33		False
691	773	404358	404276	ef_ill_ef_contig21	contig_100	95.18		False
691	773	404358	404276	ef_ill_ef_contig21	contig_100	95.18		False
1	75	404439	404365	ef_ill_ef_contig16	contig_100	100.0		False
502	577	404440	404365	lf_ill_lf_contig69	contig_100	94.74		False
610	689	404443	404364	ef_ill_ef_contig21	contig_100	100.0		False
610	689	404443	404364	ef_ill_ef_contig21	contig_100	100.0		False
439	523	404449	404365	lm_ill_lm_contig37	contig_100	96.47		False
269	356	404631	404544	lm_ill_lm_contig37	contig_100	95.45		False
428	521	404631	404538	ef_ill_ef_contig21	contig_100	95.74		False
428	521	404631	404538	ef_ill_ef_contig21	contig_100	95.74		False
324	418	404638	404544	lf_ill_lf_contig69	contig_100	93.68		False
91	157	404872	404806	ef_ill_ef_contig21	contig_100	92.54		False
85	157	404878	404806	ef_ill_ef_contig21	contig_100	91.78		False
276	350	404879	404805	sa_ill_sa_contig25	contig_100	100.0		False
98882	98963	404799	404880	bs_ill_bs_contig3	contig_100	93.9		False
92	173	404881	404800	bs_ill_bs_contig1326	contig_100	93.9		False
1	79	405051	404973	sa_ill_sa_contig25	contig_100	100.0		False
87	460	404806	405179	sa_ill_sa_contig23	contig_100	99.2		False
304	384	405356	405436	lm_ill_lm_contig12	contig_100	92.59		False
8	169	405517	405356	bs_ill_bs_contig13	contig_100	95.06		False
322	551	405530	405759	se_ill_se_contig42	contig_100	90.87		False
4282	4511	405759	405530	ec_ill_ec_contig65	contig_100	90.87		False
4903	5134	405761	405530	pa_ill_pa_contig44	contig_100	90.95		False
396	885	405448	405937	lm_ill_lm_contig12	contig_100	95.1		False
223	726	405448	405951	lf_ill_lf_contig82	contig_100	95.83		False
325	923	405356	405954	ef_ill_ef_contig17	contig_100	94.49		False
960	1053	406168	406261	se_ill_se_contig42	contig_100	96.81		False
3780	3873	406261	406168	ec_ill_ec_contig65	contig_100	96.81		False
4403	4500	406261	406164	pa_ill_pa_contig44	contig_100	96.94		False
1019	1366	406050	406397	ef_ill_ef_contig17	contig_100	95.11		False
965	1346	406017	406398	lm_ill_lm_contig12	contig_100	94.76		False
3436	3788	406404	406052	lf_ill_lf_contig57	contig_100	92.07		False
1367	1447	406418	406498	lm_ill_lm_contig12	contig_100	97.53		False
1	1068	405470	406536	bs_ill_bs_contig839	contig_100	93.83		False
1677	1863	406730	406916	lm_ill_lm_contig12	contig_100	90.37		False
2688	2883	407159	406964	lf_ill_lf_contig57	contig_100	93.37		False
1921	2135	406961	407175	ef_ill_ef_contig17	contig_100	95.35		False
1910	2127	406958	407175	lm_ill_lm_contig12	contig_100	91.74		False
105	553	406727	407175	bs_ill_bs_contig991	contig_100	91.09		False
2165	2233	407205	407273	ef_ill_ef_contig17	contig_100	95.65		False
2567	2643	407280	407204	lf_ill_lf_contig57	contig_100	90.91		False
2249	2365	407288	407404	ef_ill_ef_contig17	contig_100	92.31		False
480	720	407777	407537	bs_ill_bs_contig1146	contig_100	95.85		False
2427	2730	407474	407777	lm_ill_lm_contig12	contig_100	93.09		False
1863	1977	407982	407868	lf_ill_lf_contig57	contig_100	91.3		False
386	514	407866	407994	ef_ill_ef_contig25	contig_100	93.8		False
2799	2950	407845	407996	lm_ill_lm_contig12	contig_100	92.11		False
563	681	408044	408162	ef_ill_ef_contig25	contig_100	94.12		False
688	765	408386	408463	sa_ill_sa_contig51	contig_100	100.0		False
1243	1307	408553	408489	lf_ill_lf_contig69	contig_100	100.0		False
3804	3891	409060	409147	se_ill_se_contig42	contig_100	90.91		False
950	1024	409149	409075	ec_ill_ec_contig65	contig_100	94.67		False
779	853	409150	409076	lf_ill_lf_contig57	contig_100	98.67		False
1289	1407	409160	409042	ef_ill_ef_contig19	contig_100	96.64		False
1397	1503	409315	409209	pa_ill_pa_contig44	contig_100	96.26		False
786	906	409315	409195	ec_ill_ec_contig65	contig_100	93.39		False
3937	4076	409195	409334	se_ill_se_contig42	contig_100	91.43		False
500	759	409431	409172	lf_ill_lf_contig57	contig_100	91.54		False
4115	4186	409374	409445	se_ill_se_contig42	contig_100	94.44		False
656	727	409446	409375	ec_ill_ec_contig65	contig_100	94.44		False
734	1282	409717	409169	ef_ill_ef_contig19	contig_100	94.35		False
40	190	409891	409741	lf_ill_lf_contig57	contig_100	90.07		False
1	982	409916	408934	bs_ill_bs_contig933	contig_100	92.93		False
2	98	409863	409959	bs_ill_bs_contig3	contig_100	92.78		False
490	710	409961	409741	ef_ill_ef_contig19	contig_100	93.21		False
174	1724	410194	408642	lm_ill_lm_contig16	contig_100	90.57		False
261	334	410122	410195	bs_ill_bs_contig3	contig_100	93.24		False
142	348	438278	438484	sa_ill_sa_contig31	contig_100	97.58		False
1	133	478429	478297	sa_ill_sa_contig31	contig_100	98.5		False
134184	134302	478351	478469	sa_ill_sa_contig7	contig_100	97.48		False
131884	131983	478560	478461	sa_ill_sa_contig8	contig_100	98.0		False
45829	46373	478577	478034	sa_ill_sa_contig14	contig_100	98.17		False
106923	107136	478578	478365	sa_ill_sa_contig3	contig_100	99.53		False
38188	38352	540827	540991	sa_ill_sa_contig23	contig_100	95.76		False
343	460	541086	541203	sa_ill_sa_contig23	contig_100	100.0		False
304	384	541376	541456	lm_ill_lm_contig12	contig_100	92.59		False
8	169	541537	541376	bs_ill_bs_contig13	contig_100	95.06		False
396	700	541468	541772	lm_ill_lm_contig12	contig_100	97.7		False
325	721	541376	541772	ef_ill_ef_contig17	contig_100	94.96		False
322	545	541550	541773	se_ill_se_contig42	contig_100	90.62		False
4288	4511	541773	541550	ec_ill_ec_contig65	contig_100	90.62		False
4903	5134	541782	541550	pa_ill_pa_contig44	contig_100	90.56		False
701	885	541774	541958	lm_ill_lm_contig12	contig_100	90.81		False
223	726	541468	541972	lf_ill_lf_contig82	contig_100	95.64		False
722	923	541774	541975	ef_ill_ef_contig17	contig_100	93.56		False
960	1053	542189	542282	se_ill_se_contig42	contig_100	96.81		False
3780	3873	542282	542189	ec_ill_ec_contig65	contig_100	96.81		False
4403	4500	542282	542185	pa_ill_pa_contig44	contig_100	96.94		False
1019	1366	542071	542418	ef_ill_ef_contig17	contig_100	95.11		False
965	1346	542038	542419	lm_ill_lm_contig12	contig_100	94.76		False
3436	3788	542425	542073	lf_ill_lf_contig57	contig_100	92.07		False
1367	1447	542439	542519	lm_ill_lm_contig12	contig_100	97.53		False
1	1068	541490	542557	bs_ill_bs_contig839	contig_100	93.74		False
2688	2883	543180	542985	lf_ill_lf_contig57	contig_100	93.37		False
1921	2135	542982	543196	ef_ill_ef_contig17	contig_100	95.35		False
1910	2127	542979	543196	lm_ill_lm_contig12	contig_100	91.74		False
105	553	542748	543196	bs_ill_bs_contig991	contig_100	90.87		False
2165	2233	543226	543294	ef_ill_ef_contig17	contig_100	95.65		False
2567	2643	543301	543225	lf_ill_lf_contig57	contig_100	90.91		False
2249	2365	543309	543425	ef_ill_ef_contig17	contig_100	92.31		False
480	720	543796	543556	bs_ill_bs_contig1146	contig_100	95.85		False
2427	2730	543493	543796	lm_ill_lm_contig12	contig_100	93.09		False
1863	1977	544001	543887	lf_ill_lf_contig57	contig_100	91.3		False
2799	2936	543864	544001	lm_ill_lm_contig12	contig_100	93.48		False
386	504	543885	544003	ef_ill_ef_contig25	contig_100	96.64		False
95	183	544181	544093	bs_ill_bs_contig1146	contig_100	91.01		False
1098	1286	544846	544658	lf_ill_lf_contig57	contig_100	91.01		False
3804	3891	545071	545158	se_ill_se_contig42	contig_100	90.91		False
950	1024	545160	545086	ec_ill_ec_contig65	contig_100	94.67		False
779	853	545161	545087	lf_ill_lf_contig57	contig_100	98.67		False
1397	1503	545326	545220	pa_ill_pa_contig44	contig_100	96.26		False
786	906	545326	545206	ec_ill_ec_contig65	contig_100	93.39		False
3937	4076	545206	545345	se_ill_se_contig42	contig_100	91.43		False
500	762	545442	545180	lf_ill_lf_contig57	contig_100	91.25		False
4115	4186	545385	545456	se_ill_se_contig42	contig_100	94.44		False
656	727	545457	545386	ec_ill_ec_contig65	contig_100	94.44		False
1	982	545927	544945	bs_ill_bs_contig933	contig_100	92.93		False
2	91	545874	545963	bs_ill_bs_contig3	contig_100	93.33		False
496	1806	545966	544658	ef_ill_ef_contig19	contig_100	91.66		False
174	1724	546202	544658	lm_ill_lm_contig16	contig_100	90.11		False
261	334	546130	546203	bs_ill_bs_contig3	contig_100	93.24		False
18228	18355	654429	654304	bs_ill_bs_contig20	contig_100	94.53		False
10552	10623	654364	654435	sa_ill_sa_contig9	contig_100	100.0		False
249	397	654511	654363	sa_ill_sa_contig34	contig_100	100.0		False
169546	169626	654436	654516	sa_ill_sa_contig3	contig_100	100.0		False
343	460	654521	654638	sa_ill_sa_contig23	contig_100	100.0		False
304	384	654811	654891	lm_ill_lm_contig12	contig_100	92.59		False
8	169	654972	654811	bs_ill_bs_contig13	contig_100	95.06		False
396	700	654903	655207	lm_ill_lm_contig12	contig_100	97.7		False
325	721	654811	655207	ef_ill_ef_contig17	contig_100	94.96		False
4288	4511	655208	654985	ec_ill_ec_contig65	contig_100	90.62		False
322	545	654985	655208	se_ill_se_contig42	contig_100	90.62		False
4903	5134	655217	654985	pa_ill_pa_contig44	contig_100	90.56		False
223	726	654903	655407	lf_ill_lf_contig82	contig_100	95.84		False
