S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
214350	552243	1	337860	bs_ill_bs_contig2	contig_13	99.98		True
fake: not a misassembly [fragmentation of reference genome]
18222	18355	338844	338711	bs_ill_bs_contig20	contig_13	100.0		True
translocation
56	319	339510	339246	bs_ill_bs_contig13	contig_13	99.69		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	339511	340662	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	340664	341573	bs_ill_bs_contig991	contig_13	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	722	342296	341575	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	343649	342668	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	340	343650	343934	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	257004	601058	344035	bs_ill_bs_contig8	contig_13	99.97		True
translocation
1	599	601657	601059	bs_ill_bs_contig2	contig_13	99.11		True
fake: not a misassembly [fragmentation of reference genome]
708490	709047	602216	601659	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	29697	631906	602217	bs_ill_bs_contig18	contig_13	99.94		True
translocation
56	393	632244	631907	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	632245	633395	bs_ill_bs_contig839	contig_13	99.83		True
fake: not a misassembly [fragmentation of reference genome]
1	911	633397	634307	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	635030	634309	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	982	636328	635402	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	325319	636329	961784	bs_ill_bs_contig3	contig_13	99.93		True
translocation
1	599	962383	961785	bs_ill_bs_contig2	contig_13	99.26		True
fake: not a misassembly [fragmentation of reference genome]
708489	709047	962943	962385	bs_ill_bs_contig1	contig_13	99.84		True
translocation
1	104023	962944	1066951	bs_ill_bs_contig12	contig_13	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	18355	1085454	1067105	bs_ill_bs_contig20	contig_13	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1085668	1086819	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1086821	1087731	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1088454	1087733	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1089807	1088826	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1089808	1090183	bs_ill_bs_contig3	contig_13	99.54		True
translocation
56	453	1090668	1090271	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1090669	1091819	bs_ill_bs_contig839	contig_13	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1091821	1092731	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1093454	1092733	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1094807	1093826	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	430	1094808	1095183	bs_ill_bs_contig3	contig_13	99.54		True
local misassembly
521	601	1095445	1095525	bs_ill_bs_contig3	contig_13	100.0		True
translocation
56	449	1096280	1095887	bs_ill_bs_contig13	contig_13	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1096281	1097432	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1097434	1098343	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1099066	1098345	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1100419	1099438	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	375	1100420	1100739	bs_ill_bs_contig3	contig_13	99.77		True
translocation
1	60136	1160872	1100740	bs_ill_bs_contig13	contig_13	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1152	1160873	1161969	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1161971	1162881	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1163604	1162883	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1164957	1163976	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1164958	1165243	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	536	1166225	1165690	bs_ill_bs_contig1326	contig_13	100.0		True
translocation
56	453	1166740	1166342	bs_ill_bs_contig13	contig_13	99.78		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1166741	1167892	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1167894	1168803	bs_ill_bs_contig991	contig_13	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1169526	1168805	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1170879	1169898	bs_ill_bs_contig933	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	341	1170880	1171165	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	55215	1226470	1171261	bs_ill_bs_contig15	contig_13	99.99		True
translocation
328	395	1226538	1226471	bs_ill_bs_contig13	contig_13	100.0		True
local misassembly
56	274	1226891	1226673	bs_ill_bs_contig13	contig_13	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1152	1226892	1228043	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1228045	1228955	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1229678	1228957	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1231208	1230227	bs_ill_bs_contig933	contig_13	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	342	1231209	1231495	bs_ill_bs_contig3	contig_13	100.0		True
translocation
1	15524	1247106	1231583	bs_ill_bs_contig21	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1152	1247504	1248655	bs_ill_bs_contig839	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	911	1248657	1249567	bs_ill_bs_contig991	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	722	1250290	1249569	bs_ill_bs_contig1146	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	982	1251821	1250840	bs_ill_bs_contig933	contig_13	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	59870	1311942	1252075	bs_ill_bs_contig14	contig_13	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	709047	1312173	2021049	bs_ill_bs_contig1	contig_13	99.97		True
fake: not a misassembly [fragmentation of reference genome]
1	599	2021051	2021649	bs_ill_bs_contig2	contig_13	99.41		True
translocation
1	263211	2284843	2021650	bs_ill_bs_contig7	contig_13	99.99		True
translocation
