S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
62389	62604	1	216	sa_ill_sa_contig14	contig_45	100.0		True
local misassembly
62396	62502	266	372	sa_ill_sa_contig14	contig_45	98.6		True
translocation
203	3323	373	3498	sa_ill_sa_contig41	contig_45	99.58		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	3916	5520	sa_ill_sa_contig8	contig_45	99.65		True
translocation
19	34443	39964	5521	sa_ill_sa_contig24	contig_45	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	78778	39965	sa_ill_sa_contig22	contig_45	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	78779	79311	sa_ill_sa_contig63	contig_45	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	113697	79312	sa_ill_sa_contig25	contig_45	99.83		True
translocation
203	3323	113862	116986	sa_ill_sa_contig41	contig_45	99.71		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	117359	249402	sa_ill_sa_contig8	contig_45	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	249744	399277	sa_ill_sa_contig5	contig_45	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	30897	399323	430229	sa_ill_sa_contig27	contig_45	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	861	430230	431038	sa_ill_sa_contig53	contig_45	99.54		True
fake: not a misassembly [fragmentation of reference genome]
56	2978	434080	431157	sa_ill_sa_contig43	contig_45	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	13692	447786	434081	sa_ill_sa_contig35	contig_45	99.77		True
fake: not a misassembly [fragmentation of reference genome]
1	125486	448518	574270	sa_ill_sa_contig10	contig_45	99.67		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	574271	574935	sa_ill_sa_contig60	contig_45	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	539	576537	576054	sa_ill_sa_contig65	contig_45	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
71	20896	597380	576538	sa_ill_sa_contig32	contig_45	99.79		True
translocation
1	130429	727814	597381	sa_ill_sa_contig9	contig_45	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	727815	732399	sa_ill_sa_contig40	contig_45	99.89		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	732400	737726	sa_ill_sa_contig38	contig_45	99.81		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	742311	737727	sa_ill_sa_contig40	contig_45	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26180	768494	742312	sa_ill_sa_contig29	contig_45	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	857	768859	769715	sa_ill_sa_contig54	contig_45	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	1727	771920	770245	sa_ill_sa_contig46	contig_45	99.65		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	43683	771921	815452	sa_ill_sa_contig18	contig_45	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	815985	815453	sa_ill_sa_contig63	contig_45	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	142808	815986	958933	sa_ill_sa_contig6	contig_45	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	21042	959087	980135	sa_ill_sa_contig31	contig_45	99.88		True
translocation
98057	98213	980136	980292	sa_ill_sa_contig11	contig_45	98.58		True
local misassembly
98340	98561	980293	980514	sa_ill_sa_contig11	contig_45	98.02		True
indel: indel (> 5bp) [fragmentation of reference genome]
43758	70357	1007126	980515	sa_ill_sa_contig12	contig_45	99.32		True
local misassembly
46	44268	1051362	1007127	sa_ill_sa_contig12	contig_45	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	50706	1051363	1102084	sa_ill_sa_contig17	contig_45	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5049	1102085	1107075	sa_ill_sa_contig39	contig_45	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14362	1107076	1121447	sa_ill_sa_contig33	contig_45	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	1122159	1121448	sa_ill_sa_contig55	contig_45	99.88		True
indel: indel (> 5bp) [fragmentation of reference genome]
