S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
124755	125486	2	733	sa_ill_sa_contig10	contig_96	93.31		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	720	734	1398	sa_ill_sa_contig60	contig_96	98.89		True
fake: not a misassembly [fragmentation of reference genome]
56	539	2998	2515	sa_ill_sa_contig65	contig_96	99.07		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	223346	226420	2999	sa_ill_sa_contig1	contig_96	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1384	226421	227750	sa_ill_sa_contig48	contig_96	99.79		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	98600	326387	227751	sa_ill_sa_contig11	contig_96	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	7137	326388	333472	sa_ill_sa_contig36	contig_96	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	355267	333473	sa_ill_sa_contig30	contig_96	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	355268	355979	sa_ill_sa_contig55	contig_96	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	14210	370191	355980	sa_ill_sa_contig34	contig_96	99.9		True
fake: not a misassembly [fragmentation of reference genome]
1	32969	370344	403330	sa_ill_sa_contig26	contig_96	99.86		True
local misassembly [fragmentation of reference genome]
2	925	403535	404453	sa_ill_sa_contig51	contig_96	98.06		True
translocation
198	3323	405006	408130	sa_ill_sa_contig41	contig_96	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	408552	410155	sa_ill_sa_contig8	contig_96	99.71		True
translocation
1	28120	410156	438285	sa_ill_sa_contig28	contig_96	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	39729	438290	478030	sa_ill_sa_contig21	contig_96	99.93		True
local misassembly [fragmentation of reference genome]
98092	98471	478409	478031	sa_ill_sa_contig11	contig_96	97.97		True
translocation
1	62604	478410	540875	sa_ill_sa_contig14	contig_96	99.67		True
local misassembly
62396	62502	540925	541031	sa_ill_sa_contig14	contig_96	98.6		True
translocation
203	3323	541032	544152	sa_ill_sa_contig41	contig_96	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	1604	544570	546171	sa_ill_sa_contig8	contig_96	99.53		True
translocation
19	34443	580604	546172	sa_ill_sa_contig24	contig_96	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	619397	580605	sa_ill_sa_contig22	contig_96	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	619398	619930	sa_ill_sa_contig63	contig_96	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34367	654312	619931	sa_ill_sa_contig25	contig_96	99.88		True
translocation
203	3323	654477	657594	sa_ill_sa_contig41	contig_96	99.78		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	657966	789990	sa_ill_sa_contig8	contig_96	99.89		True
