S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
207389	310075	1	102684	ec_ill_ec_contig2	contig_96	99.99		True
local misassembly
310191	312944	102685	105438	ec_ill_ec_contig2	contig_96	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	198269	303779	105528	ec_ill_ec_contig4	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
1876	4847	306751	303780	ec_ill_ec_contig65	contig_96	99.93		True
local misassembly
1	1463	308611	307149	ec_ill_ec_contig65	contig_96	99.73		True
fake: not a misassembly [fragmentation of reference genome]
1	37298	308978	346277	ec_ill_ec_contig39	contig_96	99.99		True
local misassembly [fragmentation of reference genome]
22	350	346373	346701	ec_ill_ec_contig104	contig_96	91.19		True
indel: indel (> 5bp)
384	502	346702	346820	ec_ill_ec_contig104	contig_96	96.64		True
indel: indel (<= 5bp) [fragmentation of reference genome]
1	45323	346893	392198	ec_ill_ec_contig15	contig_96	99.94		True
local misassembly
45064	105217	392213	452366	ec_ill_ec_contig15	contig_96	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1288	452367	453598	ec_ill_ec_contig79	contig_96	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	60415	453599	514011	ec_ill_ec_contig31	contig_96	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	343223	514199	857410	ec_ill_ec_contig1	contig_96	99.99		True
local misassembly
343563	393863	857411	907710	ec_ill_ec_contig1	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
31475	104431	980670	907711	ec_ill_ec_contig16	contig_96	99.99		True
local misassembly
1	31383	1012053	980671	ec_ill_ec_contig16	contig_96	99.93		True
fake: not a misassembly [fragmentation of reference genome]
1876	4902	1015081	1012055	ec_ill_ec_contig65	contig_96	99.93		True
local misassembly
1	1463	1016948	1015485	ec_ill_ec_contig65	contig_96	99.66		True
fake: not a misassembly [fragmentation of reference genome]
1	41279	1058499	1017219	ec_ill_ec_contig37	contig_96	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	976	1059420	1058500	ec_ill_ec_contig83	contig_96	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	147499	1059421	1206916	ec_ill_ec_contig7	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1206917	1208840	ec_ill_ec_contig73	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1209402	1208841	ec_ill_ec_contig91	contig_96	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	645	1209403	1210047	ec_ill_ec_contig94	contig_96	98.91		True
fake: not a misassembly [fragmentation of reference genome]
1	1730	1210301	1212029	ec_ill_ec_contig75	contig_96	99.77		True
local misassembly [fragmentation of reference genome]
22	507	1212478	1212963	ec_ill_ec_contig104	contig_96	91.77		True
fake: not a misassembly [fragmentation of reference genome]
1	7904	1220935	1213031	ec_ill_ec_contig60	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1177	1222057	1220936	ec_ill_ec_contig80	contig_96	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	93399	1222058	1315452	ec_ill_ec_contig20	contig_96	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1979	1315453	1317375	ec_ill_ec_contig73	contig_96	99.55		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	617	1317937	1317376	ec_ill_ec_contig91	contig_96	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	625	1317938	1318563	ec_ill_ec_contig94	contig_96	98.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	71850	1318564	1390407	ec_ill_ec_contig25	contig_96	99.95		True
local misassembly [fragmentation of reference genome]
1	5324	1395840	1390515	ec_ill_ec_contig64	contig_96	99.96		True
fake: not a misassembly [fragmentation of reference genome]
1	16070	1396123	1412192	ec_ill_ec_contig53	contig_96	99.98		True
translocation
26703	27345	1412193	1412835	ec_ill_ec_contig46	contig_96	97.42		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	510	1412836	1413290	ec_ill_ec_contig101	contig_96	99.82		True
indel: indel (> 5bp) [fragmentation of reference genome]
