S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
9	171	164	2	bs_ill_bs_contig13	contig_125	93.25		False
497	1095	4	602	sa_ill_sa_contig41	contig_125	94.66		False
301	907	1	607	lm_ill_lm_contig12	contig_125	94.56		False
129	757	2	630	lf_ill_lf_contig82	contig_125	95.55		False
960	1050	816	906	se_ill_se_contig42	contig_125	96.7		False
3783	3873	906	816	ec_ill_ec_contig65	contig_125	96.7		False
4406	4500	906	812	pa_ill_pa_contig44	contig_125	96.84		False
912	1344	612	1044	lm_ill_lm_contig12	contig_125	91.92		False
1191	1538	698	1045	sa_ill_sa_contig41	contig_125	95.11		False
3441	3911	1047	577	lf_ill_lf_contig57	contig_125	93.84		False
1	1065	118	1169	bs_ill_bs_contig839	contig_125	92.31		False
3233	3431	1253	1055	lf_ill_lf_contig57	contig_125	92.96		False
108	329	1366	1587	bs_ill_bs_contig991	contig_125	91.44		False
2102	2316	1600	1814	sa_ill_sa_contig41	contig_125	95.35		False
337	569	1598	1830	bs_ill_bs_contig991	contig_125	93.56		False
2346	2414	1844	1912	sa_ill_sa_contig41	contig_125	95.65		False
1914	2233	1601	1920	lm_ill_lm_contig12	contig_125	94.06		False
2388	2882	2098	1604	lf_ill_lf_contig57	contig_125	90.71		False
2240	2418	1927	2105	lm_ill_lm_contig12	contig_125	94.41		False
666	889	1928	2151	bs_ill_bs_contig991	contig_125	91.07		False
2078	2322	2406	2162	lf_ill_lf_contig57	contig_125	90.2		False
2474	2720	2161	2407	lm_ill_lm_contig12	contig_125	92.31		False
483	720	2414	2177	bs_ill_bs_contig1146	contig_125	93.28		False
3006	3134	2500	2628	sa_ill_sa_contig41	contig_125	93.8		False
2820	2949	2500	2629	lm_ill_lm_contig12	contig_125	91.54		False
1684	1803	2794	2675	lf_ill_lf_contig57	contig_125	92.5		False
95	215	2794	2674	bs_ill_bs_contig1146	contig_125	93.39		False
2977	3114	2657	2794	lm_ill_lm_contig12	contig_125	93.48		False
3184	3302	2677	2795	sa_ill_sa_contig41	contig_125	94.12		False
38	431	3026	3419	sa_ill_sa_contig8	contig_125	90.61		False
437	551	3425	3539	sa_ill_sa_contig8	contig_125	96.52		False
786	906	3696	3576	ec_ill_ec_contig65	contig_125	95.87		False
1397	1538	3696	3555	pa_ill_pa_contig44	contig_125	90.85		False
4115	4186	3755	3826	se_ill_se_contig42	contig_125	95.83		False
656	727	3827	3756	ec_ill_ec_contig65	contig_125	95.83		False
1200	1338	3894	3756	pa_ill_pa_contig44	contig_125	91.37		False
561	1110	3547	4096	sa_ill_sa_contig8	contig_125	94.73		False
40	1288	4272	3024	lf_ill_lf_contig57	contig_125	91.08		False
1	965	4297	3334	bs_ill_bs_contig933	contig_125	93.89		False
1136	1374	4122	4360	sa_ill_sa_contig8	contig_125	92.47		False
174	1725	4587	3025	lm_ill_lm_contig16	contig_125	90.95		False
1	93	4777	4869	ef_ill_ef_contig4	contig_125	95.7		False
238692	238991	5076	4777	ef_ill_ef_contig3	contig_125	99.67		False
1136	1374	275173	274935	sa_ill_sa_contig8	contig_125	92.47		False
656	727	275468	275539	ec_ill_ec_contig65	contig_125	95.83		False
1200	1338	275401	275539	pa_ill_pa_contig44	contig_125	91.37		False
4115	4186	275540	275469	se_ill_se_contig42	contig_125	95.83		False
786	906	275599	275719	ec_ill_ec_contig65	contig_125	95.87		False
1397	1538	275599	275740	pa_ill_pa_contig44	contig_125	90.85		False
561	1110	275748	275199	sa_ill_sa_contig8	contig_125	94.73		False
437	551	275870	275756	sa_ill_sa_contig8	contig_125	96.52		False
1	965	274998	275961	bs_ill_bs_contig933	contig_125	93.89		False
38	431	276269	275876	sa_ill_sa_contig8	contig_125	90.61		False
174	1725	274708	276270	lm_ill_lm_contig16	contig_125	90.95		False
40	1288	275023	276271	lf_ill_lf_contig57	contig_125	91.08		False
3184	3302	276619	276501	sa_ill_sa_contig41	contig_125	94.12		False
1684	1803	276502	276621	lf_ill_lf_contig57	contig_125	92.5		False
95	215	276502	276622	bs_ill_bs_contig1146	contig_125	93.39		False
2977	3114	276639	276502	lm_ill_lm_contig12	contig_125	93.48		False
3006	3134	276796	276668	sa_ill_sa_contig41	contig_125	93.8		False
2820	2949	276796	276667	lm_ill_lm_contig12	contig_125	91.54		False
483	720	276882	277119	bs_ill_bs_contig1146	contig_125	93.28		False
2078	2322	276890	277134	lf_ill_lf_contig57	contig_125	90.2		False
2474	2720	277135	276889	lm_ill_lm_contig12	contig_125	92.31		False
666	889	277368	277145	bs_ill_bs_contig991	contig_125	91.52		False
2240	2418	277369	277191	lm_ill_lm_contig12	contig_125	94.41		False
2346	2414	277452	277384	sa_ill_sa_contig41	contig_125	95.65		False
2388	2882	277198	277692	lf_ill_lf_contig57	contig_125	90.71		False
1914	2233	277695	277376	lm_ill_lm_contig12	contig_125	94.06		False
2102	2316	277696	277482	sa_ill_sa_contig41	contig_125	95.35		False
337	569	277698	277466	bs_ill_bs_contig991	contig_125	93.56		False
108	329	277930	277709	bs_ill_bs_contig991	contig_125	91.44		False
3233	3431	278043	278241	lf_ill_lf_contig57	contig_125	92.96		False
960	1050	278480	278390	se_ill_se_contig42	contig_125	96.7		False
3783	3873	278390	278480	ec_ill_ec_contig65	contig_125	96.7		False
4406	4500	278390	278484	pa_ill_pa_contig44	contig_125	96.84		False
1191	1538	278598	278251	sa_ill_sa_contig41	contig_125	95.11		False
912	1344	278684	278252	lm_ill_lm_contig12	contig_125	91.92		False
3441	3911	278249	278719	lf_ill_lf_contig57	contig_125	93.84		False
1	1065	279178	278127	bs_ill_bs_contig839	contig_125	92.31		False
497	1095	279292	278694	sa_ill_sa_contig41	contig_125	94.66		False
9	171	279132	279294	bs_ill_bs_contig13	contig_125	93.25		False
296	907	279300	278689	lm_ill_lm_contig12	contig_125	94.28		False
23	757	279402	278666	lf_ill_lf_contig82	contig_125	93.9		False
19000	19079	279703	279624	ef_ill_ef_contig14	contig_125	100.0		False
