Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
r10_1bin_1_MP	21	21	1	20	0	0	0	0	0	1	4765367	1	12	36	0	0	42	6	20703	950	851	99	6218
r10_1bin_1_MP_helen	21	21	1	20	0	0	0	0	0	1	4765335	1	12	36	0	0	42	6	20551	847	748	99	6143
r10_1bin_1_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765354	1	12	37	0	0	42	6	20724	712	616	96	5838
r10_1bin_1_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765366	1	12	37	0	0	42	6	20683	691	595	96	5817
r10_1bin_1_racon_r1	21	21	1	20	0	0	0	0	0	1	4764519	1	12	36	0	0	42	6	20836	1857	1760	97	7254
r10_1bin_1_racon_r2	21	21	1	20	0	0	0	0	0	1	4764885	1	12	38	0	0	42	6	21295	1725	1629	96	6979
r10_1bin_1_raw	19	19	1	18	0	0	0	0	0	1	4763493	1	34	60	0	0	35	6	22654	11071	10870	201	20404
r10_1bin_2_MP	21	21	1	20	0	0	0	0	0	1	4765367	1	12	36	0	0	42	6	20721	950	851	99	6218
r10_1bin_2_MP_helen	21	21	1	20	0	0	0	0	0	1	4765342	1	12	36	0	0	42	6	20560	839	740	99	6133
r10_1bin_2_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765360	1	12	36	0	0	42	6	20685	711	614	97	5937
r10_1bin_2_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765365	1	12	37	0	0	42	6	20636	704	608	96	5830
r10_1bin_2_racon_r1	21	21	1	20	0	0	0	0	0	1	4764481	1	12	36	0	0	42	6	20590	1907	1809	98	7296
r10_1bin_2_racon_r2	21	21	1	20	0	0	0	0	0	1	4764611	1	12	36	0	0	42	6	21223	1719	1620	99	7081
r10_1bin_2_raw	18	18	1	17	0	0	0	0	0	1	4763481	1	32	57	0	0	35	7	22501	11041	10841	200	20238
r10_1bin_3_MP	21	21	1	20	0	0	0	0	0	1	4765870	1	12	37	0	0	42	6	20579	965	866	99	6237
r10_1bin_3_MP_helen	21	21	1	20	0	0	0	0	0	1	4765291	1	12	36	0	0	42	6	20386	867	764	103	6227
r10_1bin_3_r1_medaka	21	21	1	20	0	0	0	0	0	1	4765346	1	12	37	0	0	42	6	20693	711	615	96	5836
r10_1bin_3_r2_medaka	21	21	1	20	0	0	0	0	0	1	4765353	1	12	37	0	0	42	6	20629	695	599	96	5820
r10_1bin_3_racon_r1	21	21	1	20	0	0	0	0	0	1	4764528	1	12	36	0	0	42	6	20977	1896	1798	98	7294
r10_1bin_3_racon_r2	21	21	1	20	0	0	0	0	0	1	4764900	1	12	37	0	0	42	6	21081	1726	1628	98	7097
r10_1bin_3_raw	19	19	1	18	0	0	0	0	0	1	4763766	1	34	61	0	0	35	6	22982	11287	11084	203	20753
