Assembly	r10_1bin_1_MP	r10_1bin_1_MP_helen	r10_1bin_1_r1_medaka	r10_1bin_1_r2_medaka	r10_1bin_1_racon_r1	r10_1bin_1_racon_r2	r10_1bin_1_raw	r10_1bin_2_MP	r10_1bin_2_MP_helen	r10_1bin_2_r1_medaka	r10_1bin_2_r2_medaka	r10_1bin_2_racon_r1	r10_1bin_2_racon_r2	r10_1bin_2_raw	r10_1bin_3_MP	r10_1bin_3_MP_helen	r10_1bin_3_r1_medaka	r10_1bin_3_r2_medaka	r10_1bin_3_racon_r1	r10_1bin_3_racon_r2	r10_1bin_3_raw
# misassemblies	34	34	34	34	34	34	31	34	34	34	34	34	34	31	34	34	34	34	34	34	31
  # contig misassemblies	34	34	34	34	34	34	31	34	34	34	34	34	34	31	34	34	34	34	34	34	31
    # c. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # c. translocations	34	34	34	34	34	34	31	34	34	34	34	34	34	31	34	34	34	34	34	34	31
    # c. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Misassembled contigs length	4045598	4045621	4045594	4045589	4045227	4045309	4043006	4045598	4045629	4045591	4045590	4045220	4045285	4043036	4045598	4045626	4045592	4045592	4045212	4045306	4043032
# possibly misassembled contigs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
    # possible misassemblies	10	10	10	10	10	10	11	10	10	10	10	10	10	11	10	10	10	10	10	10	11
# local misassemblies	13	13	13	13	13	13	17	13	13	13	13	13	13	17	13	13	13	13	13	13	17
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# misassemblies caused by fragmented reference	49	49	49	49	49	49	30	49	49	49	49	49	49	30	49	49	49	49	49	49	30
# unaligned mis. contigs	6	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	6	6	6	4
# mismatches	3901	3801	3830	3835	3867	3930	3310	3922	3829	3894	3888	3932	3958	3486	3871	3736	3940	3816	3968	3950	3406
# indels	440	443	417	402	925	801	4148	447	450	418	419	925	847	4145	440	428	424	408	937	841	4161
    # indels (<= 5 bp)	391	394	367	355	876	754	4087	398	401	369	370	876	797	4081	391	380	375	360	887	792	4098
    # indels (> 5 bp)	49	49	50	47	49	47	61	49	49	49	49	49	50	64	49	48	49	48	50	49	63
Indels length	2575	2583	2562	2509	3180	2968	7299	2596	2603	2556	2557	3169	3079	7318	2575	2551	2566	2528	3216	3076	7319
