S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	42379	42213	1	sa_ill_sa_contig18	contig_103	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1727	42214	43887	sa_ill_sa_contig46	contig_103	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	857	45274	44417	sa_ill_sa_contig54	contig_103	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	26180	45640	71829	sa_ill_sa_contig29	contig_103	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	4636	71830	76414	sa_ill_sa_contig40	contig_103	99.91		True
fake: not a misassembly [fragmentation of reference genome]
1	5318	81736	76415	sa_ill_sa_contig38	contig_103	99.83		True
fake: not a misassembly [fragmentation of reference genome]
56	4636	86320	81737	sa_ill_sa_contig40	contig_103	99.91		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	130429	86321	216690	sa_ill_sa_contig9	contig_103	99.79		True
translocation
71	20896	216691	237539	sa_ill_sa_contig32	contig_103	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	539	237540	238023	sa_ill_sa_contig65	contig_103	100.0		True
fake: not a misassembly [fragmentation of reference genome]
56	720	239807	239143	sa_ill_sa_contig60	contig_103	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	125486	365530	239808	sa_ill_sa_contig10	contig_103	99.68		True
fake: not a misassembly [fragmentation of reference genome]
1	13692	366262	379963	sa_ill_sa_contig35	contig_103	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2978	379964	382884	sa_ill_sa_contig43	contig_103	99.6		True
fake: not a misassembly [fragmentation of reference genome]
56	861	383809	383003	sa_ill_sa_contig53	contig_103	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30897	414714	383810	sa_ill_sa_contig27	contig_103	99.87		True
fake: not a misassembly [fragmentation of reference genome]
1	149926	564262	414760	sa_ill_sa_contig5	contig_103	99.55		True
fake: not a misassembly [fragmentation of reference genome]
1	131983	696640	564604	sa_ill_sa_contig8	contig_103	99.87		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	700134	697012	sa_ill_sa_contig41	contig_103	99.71		True
translocation
1	34367	700299	734684	sa_ill_sa_contig25	contig_103	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	588	735217	734685	sa_ill_sa_contig63	contig_103	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	38786	735218	774005	sa_ill_sa_contig22	contig_103	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
19	34443	774006	808443	sa_ill_sa_contig24	contig_103	99.9		True
translocation
1	1604	810048	808444	sa_ill_sa_contig8	contig_103	99.47		True
fake: not a misassembly [fragmentation of reference genome]
203	3323	813588	810466	sa_ill_sa_contig41	contig_103	99.71		True
translocation
62396	62502	813695	813589	sa_ill_sa_contig14	contig_103	98.6		True
local misassembly
1	62604	876187	813745	sa_ill_sa_contig14	contig_103	99.57		True
translocation
98092	98471	876188	876566	sa_ill_sa_contig11	contig_103	97.97		True
local misassembly [fragmentation of reference genome]
1	39729	916301	876567	sa_ill_sa_contig21	contig_103	99.88		True
fake: not a misassembly [fragmentation of reference genome]
1	28120	944427	916306	sa_ill_sa_contig28	contig_103	99.87		True
translocation
1	1604	946031	944428	sa_ill_sa_contig8	contig_103	99.47		True
fake: not a misassembly [fragmentation of reference genome]
198	3323	949578	946453	sa_ill_sa_contig41	contig_103	99.78		True
translocation
2	925	951052	950133	sa_ill_sa_contig51	contig_103	97.85		True
local misassembly [fragmentation of reference genome]
1	32969	984225	951257	sa_ill_sa_contig26	contig_103	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	14210	984379	998588	sa_ill_sa_contig34	contig_103	99.85		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	766	999300	998589	sa_ill_sa_contig55	contig_103	99.03		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21790	999301	1021094	sa_ill_sa_contig30	contig_103	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
