S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
1	720	720	1	pa_ill_pa_contig35	contig_142	99.86		True
fake: not a misassembly [fragmentation of reference genome]
1	266935	1330	268248	pa_ill_pa_contig6	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	111212	379456	268249	pa_ill_pa_contig20	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5452	384853	379457	pa_ill_pa_contig45	contig_142	99.36		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	118702	384854	503548	pa_ill_pa_contig19	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	503549	504040	pa_ill_pa_contig80	contig_142	99.34		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	505277	504041	pa_ill_pa_contig65	contig_142	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	889	506167	505278	pa_ill_pa_contig71	contig_142	98.73		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	702	506168	506814	pa_ill_pa_contig8	contig_142	99.05		True
translocation
1	23992	506815	530802	pa_ill_pa_contig40	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	530803	532160	pa_ill_pa_contig62	contig_142	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	56682	532161	588837	pa_ill_pa_contig30	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	588838	589654	pa_ill_pa_contig73	contig_142	97.63		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	204999	794511	589655	pa_ill_pa_contig12	contig_142	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1437	794512	795893	pa_ill_pa_contig61	contig_142	99.87		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106796	795894	902672	pa_ill_pa_contig21	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	903819	902673	pa_ill_pa_contig64	contig_142	99.44		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	34328	903820	938144	pa_ill_pa_contig15	contig_142	99.85		True
local misassembly
34236	173697	938145	1077670	pa_ill_pa_contig15	contig_142	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	690	1077671	1078305	pa_ill_pa_contig76	contig_142	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	1028	1079448	1078421	pa_ill_pa_contig68	contig_142	99.81		True
fake: not a misassembly [fragmentation of reference genome]
1	592	1080204	1080795	pa_ill_pa_contig77	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	690	1080796	1081485	pa_ill_pa_contig76	contig_142	99.86		True
fake: not a misassembly [fragmentation of reference genome]
56	1028	1082573	1081601	pa_ill_pa_contig68	contig_142	99.51		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1661	1084180	1082574	pa_ill_pa_contig59	contig_142	99.94		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1627	1084181	1085807	pa_ill_pa_contig58	contig_142	99.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	4971	1085808	1090776	pa_ill_pa_contig46	contig_142	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1627	1090777	1092348	pa_ill_pa_contig58	contig_142	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3238	1092349	1095586	pa_ill_pa_contig50	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1095587	1096330	pa_ill_pa_contig75	contig_142	99.12		True
fake: not a misassembly [fragmentation of reference genome]
1	6148	1103164	1097020	pa_ill_pa_contig43	contig_142	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	799	1103165	1103908	pa_ill_pa_contig75	contig_142	98.62		True
fake: not a misassembly [fragmentation of reference genome]
1	68331	1104598	1172918	pa_ill_pa_contig28	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	1172919	1173793	pa_ill_pa_contig69	contig_142	98.48		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	30768	1204555	1173794	pa_ill_pa_contig38	contig_142	99.95		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	1206988	1204556	pa_ill_pa_contig48	contig_142	99.4		True
local misassembly
56	1079	1208167	1207144	pa_ill_pa_contig48	contig_142	99.54		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	6590	1208168	1214753	pa_ill_pa_contig42	contig_142	99.76		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3009	1217706	1214754	pa_ill_pa_contig51	contig_142	99.25		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	26794	1217707	1244499	pa_ill_pa_contig39	contig_142	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	1244992	1244500	pa_ill_pa_contig79	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	258570	1503542	1244993	pa_ill_pa_contig8	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	889	1503543	1504375	pa_ill_pa_contig71	contig_142	99.26		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1237	1504376	1505612	pa_ill_pa_contig65	contig_142	95.64		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	547	1506104	1505613	pa_ill_pa_contig80	contig_142	99.17		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	191344	1506105	1697421	pa_ill_pa_contig13	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
17	1142	1698547	1697422	pa_ill_pa_contig67	contig_142	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	86400	1698548	1784931	pa_ill_pa_contig25	contig_142	99.98		True
translocation
161	249467	1784932	2034215	pa_ill_pa_contig9	contig_142	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	2531	2037110	2034580	pa_ill_pa_contig53	contig_142	99.84		True
fake: not a misassembly [fragmentation of reference genome]
1	929	2038166	2037238	pa_ill_pa_contig72	contig_142	99.35		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2038679	2038167	pa_ill_pa_contig78	contig_142	97.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2038680	2042455	pa_ill_pa_contig47	contig_142	90.1		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	482	2042882	2042456	pa_ill_pa_contig84	contig_142	97.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	121067	2163941	2042883	pa_ill_pa_contig17	contig_142	99.99		True
fake: not a misassembly [fragmentation of reference genome]
1	56007	2164203	2220205	pa_ill_pa_contig32	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1203	2221353	2220206	pa_ill_pa_contig64	contig_142	99.84		True
indel: indel (> 5bp) [fragmentation of reference genome]
247199	542364	2516496	2221354	pa_ill_pa_contig2	contig_142	99.99		True
local misassembly
1	247083	2763533	2516497	pa_ill_pa_contig2	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	484	2763534	2763962	pa_ill_pa_contig84	contig_142	98.52		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	3774	2767736	2763963	pa_ill_pa_contig47	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	568	2767737	2768249	pa_ill_pa_contig78	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	929	2768250	2769179	pa_ill_pa_contig72	contig_142	98.39		True
fake: not a misassembly [fragmentation of reference genome]
1	2549	2769307	2771855	pa_ill_pa_contig52	contig_142	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	404310	3176472	2772214	pa_ill_pa_contig4	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1413	3176473	3177831	pa_ill_pa_contig62	contig_142	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	122468	3177832	3300278	pa_ill_pa_contig16	contig_142	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	53273	3353963	3300693	pa_ill_pa_contig33	contig_142	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	548	3354456	3353964	pa_ill_pa_contig79	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
41341	76514	3389626	3354457	pa_ill_pa_contig26	contig_142	99.96		True
local misassembly
1	41228	3430849	3389627	pa_ill_pa_contig26	contig_142	99.96		True
translocation
56	770	3431558	3430850	pa_ill_pa_contig20	contig_142	90.05		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5507	3437008	3431559	pa_ill_pa_contig45	contig_142	99.8		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	68413	3437009	3505414	pa_ill_pa_contig27	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	3511014	3505415	pa_ill_pa_contig44	contig_142	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	87995	3598992	3511015	pa_ill_pa_contig24	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	3598993	3600079	pa_ill_pa_contig67	contig_142	99.75		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	294591	3600080	3894643	pa_ill_pa_contig5	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	872	3894644	3895460	pa_ill_pa_contig73	contig_142	99.89		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	35776	3895461	3931233	pa_ill_pa_contig37	contig_142	99.96		True
fake: not a misassembly [fragmentation of reference genome]
56	2207	3934253	3932103	pa_ill_pa_contig55	contig_142	99.77		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	232544	3934254	4166796	pa_ill_pa_contig10	contig_142	99.97		True
translocation
129	1718	4166797	4168386	pa_ill_pa_contig57	contig_142	100.0		True
translocation
232388	237415	4168387	4173411	pa_ill_pa_contig10	contig_142	99.92		True
indel: indel (> 5bp) [fragmentation of reference genome]
1235	3667	4175844	4173412	pa_ill_pa_contig48	contig_142	99.6		True
local misassembly
1	1079	4177078	4176000	pa_ill_pa_contig48	contig_142	99.81		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	901	4177079	4177923	pa_ill_pa_contig70	contig_142	99.9		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	3064	4180932	4177924	pa_ill_pa_contig51	contig_142	99.71		True
indel: indel (> 5bp) [fragmentation of reference genome]
92967	210873	4298831	4180933	pa_ill_pa_contig11	contig_142	99.98		True
local misassembly
1	92856	4391683	4298832	pa_ill_pa_contig11	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	930	4391684	4392558	pa_ill_pa_contig69	contig_142	99.49		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	48969	4392559	4441526	pa_ill_pa_contig34	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5658	4441527	4447129	pa_ill_pa_contig44	contig_142	99.93		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	106324	4553450	4447130	pa_ill_pa_contig22	contig_142	99.98		True
fake: not a misassembly [fragmentation of reference genome]
1	90153	4643969	4553826	pa_ill_pa_contig23	contig_142	99.99		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	1142	4643970	4645056	pa_ill_pa_contig67	contig_142	99.83		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	465790	4645057	5110677	pa_ill_pa_contig3	contig_142	99.96		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	5110678	5113136	pa_ill_pa_contig54	contig_142	99.68		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	5113587	5113137	pa_ill_pa_contig83	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	868	5113588	5114455	pa_ill_pa_contig74	contig_142	99.54		True
fake: not a misassembly [fragmentation of reference genome]
1	119004	5115259	5234256	pa_ill_pa_contig18	contig_142	99.98		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	5713	5234257	5239914	pa_ill_pa_contig44	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	893	5239915	5240752	pa_ill_pa_contig63	contig_142	100.0		True
translocation
56	1405	5242102	5240753	pa_ill_pa_contig12	contig_142	90.74		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	1437	5242103	5243539	pa_ill_pa_contig61	contig_142	100.0		True
indel: indel (> 5bp) [fragmentation of reference genome]
1	21904	5243540	5265442	pa_ill_pa_contig41	contig_142	100.0		True
fake: not a misassembly [fragmentation of reference genome]
1	868	5266970	5266097	pa_ill_pa_contig74	contig_142	98.4		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	506	5266971	5267421	pa_ill_pa_contig83	contig_142	95.37		True
indel: indel (> 5bp) [fragmentation of reference genome]
56	2514	5269881	5267422	pa_ill_pa_contig54	contig_142	99.6		True
indel: indel (> 5bp) [fragmentation of reference genome]
