All statistics are based on contigs of size >= 5000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     r10_2bins_1_MP  r10_2bins_1_MP_helen  r10_2bins_1_r1_medaka  r10_2bins_1_r2_medaka  r10_2bins_1_racon_r1  r10_2bins_1_racon_r2  r10_2bins_1_raw  r10_2bins_2_MP  r10_2bins_2_MP_helen  r10_2bins_2_r1_medaka  r10_2bins_2_r2_medaka  r10_2bins_2_racon_r1  r10_2bins_2_racon_r2  r10_2bins_2_raw  r10_2bins_3_MP  r10_2bins_3_MP_helen  r10_2bins_3_r1_medaka  r10_2bins_3_r2_medaka  r10_2bins_3_racon_r1  r10_2bins_3_racon_r2  r10_2bins_3_raw
# contigs (>= 5000 bp)       7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8              
# contigs (>= 10000 bp)      7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8              
# contigs (>= 25000 bp)      7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8              
# contigs (>= 50000 bp)      7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8              
Total length (>= 5000 bp)    24075406        24070890              24072753               24062203               24060263              24054195              30849737         24074923        24071344              24072870               24062184               24061558              24055354              30850562         24074822        24070715              24072827               24063225               24060618              24054198              30850200       
Total length (>= 10000 bp)   24075406        24070890              24072753               24062203               24060263              24054195              30849737         24074923        24071344              24072870               24062184               24061558              24055354              30850562         24074822        24070715              24072827               24063225               24060618              24054198              30850200       
Total length (>= 25000 bp)   24075406        24070890              24072753               24062203               24060263              24054195              30849737         24074923        24071344              24072870               24062184               24061558              24055354              30850562         24074822        24070715              24072827               24063225               24060618              24054198              30850200       
Total length (>= 50000 bp)   24075406        24070890              24072753               24062203               24060263              24054195              30849737         24074923        24071344              24072870               24062184               24061558              24055354              30850562         24074822        24070715              24072827               24063225               24060618              24054198              30850200       
# contigs                    7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8                7               7                     7                      7                      7                     7                     8              
Largest contig               4766016         4765867               4765431                4765364                4764829               4764690               6787718          4765469         4765339               4765413                4765389                4765359               4764750               6788581          4765404         4765326               4765369                4765362                4764572               4764639               6788581        
